docity,do,city,longitude,latitude,dist_Wolseong_km,dist_Kori_Saeul_km,dist_Hanul_km,dist_Hanbit_km,
서울동작구,서울,동작구,126.941575,37.50965556,280.382166,318.1284241,299.3405038,237.4700025,237.4700025
인천시계양구,인천시,계양구,126.737744,37.53770728,295.6849011,332.3156428,317.5343124,237.6959988,237.6959988
인천시서구,인천시,서구,126.6759616,37.54546372,300.3365072,336.6360186,323.0295397,237.9659644,237.9659644
서울영등포구,서울,영등포구,126.8983417,37.52361111,284.2102101,321.778195,303.4190559,238.2729972,238.2729972
서울강남구,서울,강남구,127.0495556,37.514575,273.9918422,312.5075739,290.262326,240.0707401,240.0707401
서울강서구,서울,강서구,126.851675,37.54815556,289.0741956,326.5286305,308.086491,240.2587391,240.2587391
제주서귀포시,제주,서귀포시,126.5125556,33.25235,369.1152628,335.8553827,517.9300055,240.6134124,240.6134124
서울용산구,서울,용산구,126.9675222,37.53609444,280.7965737,318.9235004,297.8690161,240.8100207,240.8100207
서울송파구,서울,송파구,127.1079306,37.51175556,270.1780212,309.0717808,285.208788,241.0373726,241.0373726
서울마포구,서울,마포구,126.9105306,37.56070556,286.2985701,324.2367558,303.4322914,242.524154,242.524154
서울광진구,서울,광진구,127.0845333,37.53573889,273.5311194,312.4436271,287.9051238,243.0988057,243.0988057
강원양구군,강원,양구군,127.9922444,38.10729167,283.6087641,330.1943512,243.1121246,330.3502355,243.1121246
서울강동구,서울,강동구,127.1258639,37.52736667,270.3462609,309.4785566,284.1444924,243.1241774,243.1241774
서울중구,서울,중구,126.9996417,37.56100278,280.7584054,319.2882233,295.8689661,244.1108344,244.1108344
서울서대문구,서울,서대문구,126.9388972,37.57636667,285.7424671,323.9858469,301.4850857,244.7009443,244.7009443
서울종로구,서울,종로구,126.9816417,37.57037778,282.6142869,321.0945259,297.6783338,244.7966066,244.7966066
서울성동구,서울,성동구,127.039,37.56061111,278.3067556,317.0960784,292.5180888,244.8342318,244.8342318
경기김포시,경기,김포시,126.7177778,37.61245833,302.5777003,339.6771796,321.3317998,245.7531775,245.7531775
서울동대문구,서울,동대문구,127.0421417,37.571625,278.9977662,317.8885802,292.5888066,246.0898,246.0898
경기양평군,경기,양평군,127.4898861,37.48893611,246.1080561,287.5135631,252.1195293,249.5373856,246.1080561
경기하남시,경기,하남시,127.217,37.53649722,265.6574503,305.4792314,276.6968318,246.3246447,246.3246447
서울은평구,서울,은평구,126.9312417,37.59996944,288.0769044,326.4458777,302.8515108,247.151356,247.151356
서울성북구,서울,성북구,127.0203333,37.58638333,281.5123596,320.3656931,294.8919379,247.2605527,247.2605527
강원춘천시,강원,춘천시,127.7323111,37.87854167,270.4657232,315.2326722,248.937382,297.7575687,248.937382
경기구리시,경기,구리시,127.1318639,37.591625,275.2344601,314.8641246,285.6436066,250.1624141,250.1624141
서울중랑구,서울,중랑구,127.0947778,37.60380556,278.436874,317.9050028,289.1643924,250.6585682,250.6585682
경기고양시,경기,고양시,126.7770556,37.65590833,302.1078207,339.9072558,317.6278114,251.1666867,251.1666867
서울강북구,서울,강북구,127.0277194,37.63695556,285.1523877,324.4114882,295.8968457,252.8907944,252.8907944
서울노원구,서울,노원구,127.0583889,37.65146111,284.5104923,324.0666638,293.810788,255.060553,255.060553
서울도봉구,서울,도봉구,127.0495222,37.66583333,286.2181637,325.8136924,295.0461567,256.4440182,256.4440182
경기남양주시,경기,남양주시,127.2186333,37.63317778,273.6681809,314.1467746,279.7695419,256.6665371,256.6665371
경기강화군,경기,강화군,126.49,37.74385833,327.2322574,363.9522762,344.6205562,259.0244618,259.0244618
인천시강화군,인천시,강화군,126.4878417,37.74692907,327.6020006,364.3322053,344.9000679,259.3615086,259.3615086
경기파주시,경기,파주시,126.7819528,37.75708333,309.7432875,348.2897908,320.5756913,262.3818997,262.3818997
강원화천군,강원,화천군,127.7103556,38.10340833,293.4698514,338.8207141,263.2412567,320.1419417,263.2412567
경기의정부시,경기,의정부시,127.0358417,37.73528889,292.7782373,332.7383379,298.668585,263.7257038,263.7257038
경기가평군,경기,가평군,127.5117778,37.82883056,275.7033439,319.0494412,263.8130837,285.4182769,263.8130837
경기양주시,경기,양주시,127.0478194,37.78245,296.0478495,336.3727066,299.465642,269.0739485,269.0739485
경기동두천시,경기,동두천시,127.0626528,37.90091667,305.3604788,346.4499266,303.1150398,282.2301957,282.2301957
경기포천시,경기,포천시,127.2024194,37.89215556,297.0663067,338.9184996,291.4645098,284.0639607,284.0639607
강원철원군,강원,철원군,127.3157333,38.14405556,314.4801284,358.0478861,295.1463693,313.6745765,295.1463693
경기연천군,경기,연천군,127.0770667,38.09336389,321.5814094,363.7057171,310.9229957,303.4494365,303.4494365
