번호,회사명,단지명,대표자명,공장대표주소,업종명
2691,(주)씨엔지,장수천천농공단지,허*,"전라북도 장수군 천천면 장천로 901-13, 주) 씨엔지 (천천면)",고무의류 및 기타 위생용 고무제품 제조업
2692,반딧불에너지,장수농공단지,김*곤,전라북도 장수군 장수읍 두산리 1071번지,일반용 전기 조명장치 제조업 외 5 종
2693,(유)농업회사법인 진필팜,,전*영,전라북도 장수군 번암면 성암길 302-1,기타 비료 및 질소화합물 제조업
2694,나래식품(주),,박*경,전라북도 임실군 임실읍 호국로 1792-51 (나래식품),도시락 및 식사용 조리식품 제조업
2695,서광산업(주),임실오수농공단지,하*갑,전라북도 임실군 오수면 금암1길 66 (서광산업),금속압형제품 제조업 외 1 종
2696,(유)삼상퇴비산업,,양*락,전라북도 임실군 임실읍 치즈마을길 142-28 (삼산퇴비),기타 비료 및 질소화합물 제조업
2697,(유)세일산업,임실오수농공단지,이*수,전라북도 임실군 오수면 금암1길 39-6 (세일 산업),금속선 가공제품 제조업 외 2 종
2698,라이스영농조합법인,,김*기,전라북도 임실군 삼계면 만취정로 307-89 (심슨주식회사) (총 2 필지),전분제품 및 당류 제조업
2699,(주)궁중,임실오수농공단지,최*,전라북도 임실군 오수면 금암1길 46 (해 그림),"수산동물 훈제, 조리 및 유사 조제식품 제조업"
2700,임실치즈축산업협동조합,,설*섭,전라북도 임실군 성수면 도인리 687-10번지,액상시유 및 기타 낙농제품 제조업
2701,에스비비(주),,이*형,전라북도 임실군 임실읍 호반로 363-5,비내화 모르타르 제조업 외 1 종
2702,대진종이컵,,김*영,전라북도 순창군 풍산면 곡순로 2919 (감식초가공공장),그외 기타 종이 및 판지 제품 제조업
2703,영농조합법인 비엔푸드,,봉*숙,전라북도 순창군 풍산면 삼촌2길 47-15,가금류 가공 및 저장 처리업
2704,마포두부,,황*희,전라북도 순창군 순창읍 유등로 39,두부 및 유사식품 제조업
2705,아미산황토산업,,김*욱,전라북도 순창군 금과면 서암로 357-17,그외 기타 분류안된 비금속 광물제품 제조업
2706,주식회사 인플러스 제2공장,고창아산농공단지,송*연,"전라북도 고창군 아산면 아산농공단지길 42-1,  (아산농공단지내)",주방용 및 음식점용 목재가구 제조업 외 1 종
2707,매일유업(주) 상하공장,,김*완,전라북도 고창군 상하면 진암구시포로 412,액상시유 및 기타 낙농제품 제조업
2708,(유)대명산업,,정*기,전라북도 고창군 신림면 내사길 3 (대명산업) (총 2 필지),레미콘 제조업
2709,(주)비룡건설,,김*옥,전라북도 고창군 상하면 샘목로 835 (비룡건설),커튼 및 유사제품 제조업
2710,라인플라츠코스메틱,고창고수농공단지,이*연,전라북도 고창군 고수면 고수농공단지길 58,화장품 제조업
2711,신흥중기공업사,,김*배,전라북도 부안군 부안읍 연곡로 221 (신흥중기공업사) (총 2 필지),절삭가공 및 유사처리업
2712,(유)정우금속,부안행안농공단지,안*순,전라북도 부안군 행안면 부안농공단지길 32 (정우금속),알루미늄주물 주조업
2713,(유)징코푸드시스템,,문*웅,전라북도 부안군 주산면 주산동로 80-7 (일반공장),빵류 제조업
2714,(유)도시환경산업,,장*중,전라북도 부안군 상서면 고인돌로 211,레미콘 제조업
2715,제이페이퍼,부안줄포농공단지,문*정,"전라북도 부안군 줄포면 농공단지길 6, 제이페이퍼(줄포농공단지)",기타 종이 및 판지 제조업
2716,월령공방,,두*환,전라북도 군산시 개정면 최*장군길 124,장식용 목제품 제조업 외 2 종
2717,(유)옥시레킷벤키저,익산제2지방산업단지,박*석,"전라북도 익산시 석암로11길 99,  (지방산업단지내) (석암동)","치약, 비누 및 기타 세제 제조업 외 6 종"
2718,유한회사 시경,,염*호,전라북도 익산시 금마면 궁성로 748,구조용 금속판제품 및 금속공작물 제조업 외 1 종
2719,(유)씨앤투영,,지*경,전라북도 익산시 성당면 성당로 180-3,기계장비 조립용 플라스틱제품 제조업
2720,대진기공,,안*수,"전라북도 익산시 목천로8길 28 (인화동1가, 주택)","금속 문, 창, 셔터 및 관련제품 제조업"
2721,태성포리텍(주),익산삼기농공단지,이*혁,"전라북도 익산시 삼기면 삼기농공단지길 6-38,  삼기농공단지",산업용 비경화고무제품 제조업
2722,권포정미소,,정*봉,전라북도 남원시 운봉읍 고남로 271,곡물 도정업
2723,(유)영신,정읍제2지방산업단지,성*태,"전라북도 정읍시 서부산업도로 580 (하북동, (유) 영신쟁기)",농업 및 임업용 기계 제조업
2724,태영석공예,,김*태,전라북도 익산시 황등면 동연리 642-1번지,건설용 석제품 제조업 외 1 종
2725,고부도정공장,,박*범,전라북도 정읍시 고부면 영주로 572,곡물 도정업
2726,전북스크랩,정읍제2지방산업단지,박*필,"전라북도 정읍시 2산단1길 10 (하북동, 전북스크랩폐차장)",금속원료 재생업
2727,외화석재,,김*기,"전라북도 익산시 몽환신화길 164 (월성동, 주택)",건설용 석제품 제조업 외 1 종
2728,성보넥스코(주),남원광치2농공단지,"김*일, 윤*",전라북도 남원시 광치산업2길 42 (용정동),그외 기타 분류안된 화학제품 제조업
2729,장애인자립장영농조합법인,,김*곤,전라북도 순창군 적성면 율지길 78,곡물 도정업
2730,(주)토평,,김*수,전라북도 완주군 이서면 콩쥐팥쥐로 999,아스콘 제조업
2731,우진비엔지(주),,"강*진, 강*구",전라북도 임실군 지사면 충효로 2239 (임실생청국장),기타 비료 및 질소화합물 제조업
