순번,단지명,회사명,대표자명,공장대표주소(도로명),대표업종번호,업종명,생산품
482,개별입지,(주)아폴로,이용대,전북특별자치도 김제시 승암길 32 (검산동) 외 1필지,29210,농업 및 임업용 기계 제조업,분무기
483,개별입지,(주)알트론 김제공장,유동기,전북특별자치도 김제시 금구면 용복리 82-8번지 외 3필지 외 3필지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 휠
484,개별입지,(주)알파스틸,이상범,전북특별자치도 김제시 금산면 구성길 579 외 1필지,25113,육상 금속 골조 구조재 제조업 외 1 종,철근가공품
485,개별입지,(주)에스더블유,홍성진,전북특별자치도 김제시 금구면 연동길 96-150,30399,그 외 자동차용 신품 부품 제조업 외 5 종,자동파부품 및 파이프
486,개별입지,(주)에스디비,"김호선, 김성길",전북특별자치도 김제시 성덕면 해학로 631,20202,합성수지 및 기타 플라스틱 물질 제조업,탄성포장재
487,개별입지,(주)에스지테크,김영생,"전북특별자치도 김제시 백구면 공술길 79, (학동리106-1) 외 1필지",29133,"탭, 밸브 및 유사장치 제조업 외 1 종",스텐레스및 금속제품
488,개별입지,(주)에이티랩,김도훈,"전북특별자치도 김제시 봉황로 1140,   (월성동)",20312,복합비료 및 기타 화학비료 제조업 외 1 종,유기농업자재
489,개별입지,(주)예기산업,김무성,전북특별자치도 김제시 백산면 하공로 549,30399,그 외 자동차용 신품 부품 제조업,"자동차부품(에어혼,보조난방기등)"
490,개별입지,(주)옥산석물,이은숙,전북특별자치도 김제시 백구면 학동2길 108,23911,건설용 석제품 제조업 외 1 종,"판석,석제품"
491,개별입지,(주)완수산업아스콘,김완수,전북특별자치도 김제시 용지면 황토로 799,23991,아스팔트 콘크리트 및 혼합제품 제조업,아스콘
492,개별입지,(주)용산화학,김민욱,"전북특별자치도 김제시 모리생길 30 (상동동, (주)용산화학)",20203,혼성 및 재생 플라스틱 소재 물질 제조업,재생합성수지원료
493,개별입지,(주)용신프라임,강지만,전북특별자치도 김제시 백구면 번영로 2914-24 외 2필지,25111,"금속 문, 창, 셔터 및 관련제품 제조업","방화문,핸드레일"
494,개별입지,(주)우수한개발산업 2공장,박혜자,전북특별자치도 김제시 광활면 지평선로 448 외 1필지,10611,곡물 도정업,정맥
495,개별입지,(주)우수한산업개발,박혜자,전북특별자치도 김제시 광활면 옥포리 119번지 외 1필지,10611,곡물 도정업,백미
496,개별입지,(주)유로오토,이수근,"전북특별자치도 김제시 백구면 석담4길 159, (석담리326-3)",29241,건설 및 채광용 기계장비 제조업 외 3 종,건설기계 부품가공
497,개별입지,(주)유로파인디,이용우,전북특별자치도 김제시 성덕면 묘라길 12,25113,육상 금속 골조 구조재 제조업,이중보온관
498,개별입지,(주)유명사,이구,전북특별자치도 김제시 백구면 석담4길 131-9,25913,자동차용 금속 압형제품 제조업 외 27 종,"기계장비부품,자동차부품등"
499,개별입지,(주)은성오엔씨,은희성,전북특별자치도 김제시 용지면 효정1길 56,25112,구조용 금속 판제품 및 공작물 제조업 외 3 종,"금속 판, 금속구조재, 컨테이너"
500,개별입지,(주)인비텍 ,이정훈,전북특별자치도 김제시 금구면 월전리 273-9,22213,플라스틱 시트 및 판 제조업 외 1 종,
501,개별입지,(주)일광비티,이태용,전북특별자치도 김제시 금산면 용산3길 21,20312,복합비료 및 기타 화학비료 제조업 외 1 종,일광휴믹산(액상)
502,개별입지,(주)일광비티,이태용,전북특별자치도 김제시 금산면 용산3길 11,20313,유기질 비료 및 상토 제조업,친환경 유기농자재
503,개별입지,(주)전북스카니아,이기환,전북특별자치도 김제시 백구면 번영로 2493-9 (알파침대 전북 영업소) (총 4 필지) 외 3필지,29241,건설 및 채광용 기계장비 제조업,"유압감속기,차량자동덮개"
504,개별입지,(주)전일우드텍,문연실,전북특별자치도 김제시 백구면 금백로 1162,16101,일반 제재업 외 7 종,"제재목,목재파레트,목재칩"
505,개별입지,(주)정우산업,김상수,전북특별자치도 김제시 성덕면 후리길 34-3,29173,산업용 송풍기 및 배기장치 제조업,환풍기제조
506,개별입지,(주)제일건철,조용기,전북특별자치도 김제시 봉남면 초처로 215-29 (㈜제일철강),24199,그 외 기타 1차 철강 제조업,철가공품
507,개별입지,(주)중앙벽돌,곽재영,전북특별자치도 김제시 용지면 석정로 706,23231,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",적연와
508,개별입지,(주)지알씨,나정은,전북특별자치도 김제시 금구면 남양2길 326 (총 3 필지),23312,석회 및 플라스터 제조업 외 1 종,"액상석회, 요소수"
509,개별입지,(주)지티이엔지 김제공장,김명수,전북특별자치도 김제시 금구면 봉은길 683,25924,절삭가공 및 유사처리업,알루미늄 힐
510,개별입지,(주)진솔이엔지,박진성,전북특별자치도 김제시 백산면 대동공단2길 34-79,27213,"물질 검사, 측정 및 분석기구 제조업 외 1 종","시험용치구, 용접구조물, 기계장치, 시험기"
511,개별입지,(주)천양,국종민,전북특별자치도 김제시 황산면 용마로 172 (이스턴 펄 주식회사),29241,건설 및 채광용 기계장비 제조업,　
512,개별입지,(주)청풍피앤피 제1공장,박찬의,전북특별자치도 김제시 갈공동 401-3,22259,기타 플라스틱 발포 성형제품 제조업,플라스틱 발포성형 시트
513,개별입지,(주)케이더블유이앤씨,김은정,전북특별자치도 김제시 금산면 용산리 263-3번지 외 1필지,20499,그 외 기타 분류 안된 화학제품 제조업,요소수(촉매제)
514,개별입지,(주)코리웰,문형대,전북특별자치도 김제시 죽산면 해학로 240-55,22299,그 외 기타 플라스틱 제품 제조업,"보도경계블럭,등산로계단,도로가드레일등"
515,개별입지,(주)코어,송유진,전북특별자치도 김제시 황산로 81 (백학동),16229,기타 건축용 나무제품 제조업,음식물 운반용 목재카트
516,개별입지,(주)큰나래,이대범,전북특별자치도 김제시 금구면 광현1길 162-13,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"육류 기타, 돈두가공품"
517,개별입지,(주)태산도장건설,이정석,전북특별자치도 김제시 공덕면 유강로 241,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,미끄럼방지포장재
518,개별입지,(주)티에스팜,이상현,전북특별자치도 김제시 백구면 영상3길 121,29210,농업 및 임업용 기계 제조업 외 3 종,회전식 재배장치
519,개별입지,(주)퍼스트,윤재헌,"전북특별자치도 김제시 금구면 정농2길 26, (금구면 하신리 164-8)",28423,전시 및 광고용 조명장치 제조업 외 1 종,"LED TV, 전광판, LED광고, 조명장치 등"
520,개별입지,(주)풍남산업,김창곤,전북특별자치도 김제시 황산면 남산로 315,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,발포지에어캡
521,개별입지,(주)풍림,"전경옥,김태훈",전북특별자치도 김제시 황산면 황산로 639-31 ((주)풍림),16102,표면 가공 목재 및 특정 목적용 제재목 제조업,펄프제조용(우드칩)
522,개별입지,(주)피엘티,최규영,전북특별자치도 김제시 용지로 15 (상동동),25994,금속 표시판 제조업 외 1 종,"발광형 교통표지판, 전광표지판"
523,개별입지,(주)하이테크글로벌,김수철,전북특별자치도 김제시 백산면 지평선산단로 481,20499,그 외 기타 분류 안된 화학제품 제조업,산업용탈취제
524,개별입지,(주)한국건설기술공사,장승환,전북특별자치도 김제시 백구면 수룡귀지길 514 (한국건설기술공사),23321,비내화 모르타르 제조업,황토레미콘
525,개별입지,(주)한삶바이오텍,박창수,"전북특별자치도 김제시 백구면 번영로 2640-147, (석담리 274)",20312,복합비료 및 기타 화학비료 제조업 외 1 종,미생물 토양개량 
526,개별입지,(주)한성산업,이태곤,전북특별자치도 김제시 용지면 부교3길 276 (한성산업주식회사),25113,육상 금속 골조 구조재 제조업 외 1 종,유로폼
527,개별입지,(주)한솔제약,정연주,전북특별자치도 김제시 황산면 봉월5길 41-16,21220,한의약품 제조업,한약재
528,개별입지,(주)향미원,한솔,전북특별자치도 김제시 백구면 공술길 65,10301,김치류 제조업 외 2 종,"참기름,피클"
529,개별입지,(주)현대콘크리트,김영수,전북특별자치도 김제시 금구면 광현1길 54 (현대콘크리트),23322,레미콘 제조업 외 1 종,레미콘
530,개별입지,(주)혜성지테크 김제지점,박혜식,전북특별자치도 김제시 죽산면 죽산로 300-26,20411,일반용 도료 및 관련제품 제조업 외 1 종,시너
