시도,군구,관광지,내/외국인,총계(2023.01 ~ 2025.12),2023년,,,,,,,,,,,,,2024년,,,,,,,,,,,,,2025년,,,,,,,,,,,,,
,,,,,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,인원계,2024년 01월,2024년 02월,2024년 03월,2024년 04월,2024년 05월,2024년 06월,2024년 07월,2024년 08월,2024년 09월,2024년 10월,2024년 11월,2024년 12월,인원계,2025년 01월,2025년 02월,2025년 03월,2025년 04월,2025년 05월,2025년 06월,2025년 07월,2025년 08월,2025년 09월,2025년 10월,2025년 11월,2025년 12월,
인천광역시,미추홀구,송암 미술관,내국인,"73,618","14,401",569,965,"1,180","1,829","1,555",0,0,0,"1,991","2,167","2,197","1,948","26,361","1,931","1,722","2,123","1,611","2,193","2,292","2,307","2,584","2,608","3,165","2,152","1,673","32,856","1,639","1,429","1,351","2,151","2,707","2,736","3,734","3,902","3,429","3,466","3,287","3,025",
인천광역시,미추홀구,송암 미술관,합계,"73,618","14,401",569,965,"1,180","1,829","1,555",0,0,0,"1,991","2,167","2,197","1,948","26,361","1,931","1,722","2,123","1,611","2,193","2,292","2,307","2,584","2,608","3,165","2,152","1,673","32,856","1,639","1,429","1,351","2,151","2,707","2,736","3,734","3,902","3,429","3,466","3,287","3,025",
인천광역시,연수구,가스과학관,내국인,"76,666","29,987",614,"1,049","1,346","3,029","1,886","2,352","1,615","1,406","3,456","2,675","6,196","4,363","25,882","2,254",841,287,869,"1,550","1,940","2,370","2,388","1,710","2,936","4,450","4,287","20,797",997,872,283,"2,432","1,607","2,412","2,193","1,511","2,771","1,377","1,645","2,697",
인천광역시,연수구,가스과학관,외국인,"3,236",904,4,0,17,0,0,274,250,43,10,160,91,55,"1,460",50,85,237,346,70,128,380,60,6,11,51,36,872,35,53,40,207,63,101,42,3,34,68,162,64,
인천광역시,연수구,가스과학관,합계,"79,902","30,891",618,"1,049","1,363","3,029","1,886","2,626","1,865","1,449","3,466","2,835","6,287","4,418","27,342","2,304",926,524,"1,215","1,620","2,068","2,750","2,448","1,716","2,947","4,501","4,323","21,669","1,032",925,323,"2,639","1,670","2,513","2,235","1,514","2,805","1,445","1,807","2,761",
인천광역시,연수구,가천박물관,내국인,"32,636","14,153",652,968,"1,161","1,527","1,806","1,466","1,225",912,"1,009","1,048","1,527",852,"10,129",958,789,812,850,872,767,692,751,584,"1,304","1,151",599,"8,354",495,550,571,738,621,795,786,529,"1,001",654,969,645,
인천광역시,연수구,가천박물관,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,연수구,가천박물관,합계,"32,636","14,153",652,968,"1,161","1,527","1,806","1,466","1,225",912,"1,009","1,048","1,527",852,"10,129",958,789,812,850,872,767,692,751,584,"1,304","1,151",599,"8,354",495,550,571,738,621,795,786,529,"1,001",654,969,645,
인천광역시,연수구,인천도시역사관,내국인,"516,360","153,391","10,327","12,069","14,412","15,805","16,361","15,688","9,240","8,648","9,520","20,090","10,628","10,603","187,190","10,006","12,560","17,228","20,637","20,277","18,351","12,274","15,421","14,900","21,763","13,162","10,611","175,779","10,719","8,849","11,685","15,320","20,320","18,212","12,579","14,555","15,428","24,054","13,110","10,948",
인천광역시,연수구,인천도시역사관,외국인,"15,952","4,054",109,240,140,517,425,592,237,422,410,605,178,179,"3,985",204,136,368,615,514,820,0,0,0,796,307,225,"7,913",432,565,827,"1,056",545,249,"1,017",874,685,717,789,157,
