산업체,성북구사업체수,성북구종사자수,돈암1동사업체수,돈암1동종사자수,돈암2동사업체수,돈암2동종사자수,안암동사업체수,안암동종사자수,보문동사업체수,보문동종사자수,정릉1동사업체수,정릉1동종사자수,정릉2동사업체수,정릉2동종사자수,정릉3동사업체수,정릉3동종사자수,정릉4동사업체수,정릉4동종사자수,길음1동사업체수,길음1동종사자수,길음2동사업체수,길음2동종사자수,월곡1동사업체수,월곡1동종사자수,월곡2동사업체수,월곡2동종사자수,장위1동사업체수,장위1동종사자수,장위2동사업체수,장위2동종사자수,장위3동사업체수,장위3동종사자수,성북동사업체수,성북동종사자수,삼선동사업체수,삼선동종사자수,동선동사업체수,동선동종사자수,종암동사업체수,종암동종사자수,석관동사업체수,석관동종사자수
"핸드백, 가방 및 기타 보호용 케이스 제조업",30,102,,,,,1,3,3,12,,,,,,,,,1,1,,,6,39,1,4,7,21,3,6,,,2,6,1,1,1,1,,,4,8
핸드백 및 지갑 제조업,16,64,,,,,1,3,1,4,,,,,,,,,1,1,,,6,39,1,4,1,6,2,4,,,,,,,1,1,,,2,2
가방 및 기타 보호용 케이스 제조업,14,38,,,,,,,2,8,,,,,,,,,,,,,,,,,6,15,1,2,,,2,6,1,1,,,,,2,6
기타 가죽제품 제조업,2,6,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,3,,,,
기타 가죽제품 제조업,2,6,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,3,,,,
신발 및 신발 부분품 제조업,23,137,1,3,,,2,11,,,2,11,1,7,1,3,1,4,,,,,3,29,4,25,2,18,1,3,2,5,,,1,3,,,,,2,15
신발 제조업,21,133,1,3,,,2,11,,,2,11,1,7,,,1,4,,,,,3,29,3,24,2,18,1,3,2,5,,,1,3,,,,,2,15
구두류 제조업,18,123,,,,,2,11,,,2,11,1,7,,,1,4,,,,,2,25,3,24,2,18,,,2,5,,,1,3,,,,,2,15
기타 신발 제조업,3,10,1,3,,,,,,,,,,,,,,,,,,,1,4,,,,,1,3,,,,,,,,,,,,
신발 부분품 제조업,2,4,,,,,,,,,,,,,1,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,
신발 부분품 제조업,2,4,,,,,,,,,,,,,1,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,
목재 및 나무제품 제조업; 가구 제외,9,21,,,,,,,,,,,1,5,1,3,1,2,,,,,,,,,,,1,3,,,1,1,2,4,,,,,2,3
나무제품 제조업,9,21,,,,,,,,,,,1,5,1,3,1,2,,,,,,,,,,,1,3,,,1,1,2,4,,,,,2,3
건축용 나무제품 제조업,6,12,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,3,,,,,2,4,,,,,2,3
목재문 및 관련제품 제조업,6,12,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,3,,,,,2,4,,,,,2,3
기타 나무제품 제조업,3,9,,,,,,,,,,,1,5,1,3,,,,,,,,,,,,,,,,,1,1,,,,,,,,
목재 도구 및 주방용 나무제품 제조업,1,5,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장식용 목제품 제조업,1,3,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
그 외 기타 나무제품 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
"펄프, 종이 및 종이제품 제조업",8,65,,,,,,,,,,,,,,,,,,,,,,,4,28,,,,,,,,,,,,,3,7,1,30
"펄프, 종이 및 판지 제조업",1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
종이 및 판지 제조업,1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
"적층, 합성 및 특수표면처리 종이 제조업",1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
"골판지, 종이 상자 및 종이 용기 제조업",2,51,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,1,30
"종이포대, 판지상자 및 종이용기 제조업",2,51,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,1,30
종이 포대 및 가방 제조업,2,51,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,1,30
기타 종이 및 판지 제품 제조업,5,11,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,3,7,,
기타 종이 및 판지 제품 제조업,5,11,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,3,7,,
문구용 종이제품 제조업,5,11,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,3,7,,
인쇄 및 기록매체 복제업,32,139,,,,,2,13,4,10,1,1,1,5,3,9,,,,,1,1,2,5,1,3,2,4,3,5,1,1,1,47,4,14,1,7,2,8,3,6
인쇄 및 인쇄관련 산업,32,139,,,,,2,13,4,10,1,1,1,5,3,9,,,,,1,1,2,5,1,3,2,4,3,5,1,1,1,47,4,14,1,7,2,8,3,6
인쇄업,26,75,,,,,2,13,4,10,1,1,1,5,3,9,,,,,1,1,2,5,,,2,4,1,1,1,1,,,4,14,,,2,8,2,3
경 인쇄업,12,31,,,,,1,2,4,10,,,1,5,1,3,,,,,,,1,2,,,1,1,,,,,,,3,8,,,,,,
스크린 인쇄업,6,23,,,,,1,11,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,8,1,2
오프셋 인쇄업,1,3,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 인쇄업,7,18,,,,,,,,,,,,,1,3,,,,,1,1,1,3,,,1,3,1,1,,,,,1,6,,,,,1,1
인쇄관련 산업,6,64,,,,,,,,,,,,,,,,,,,,,,,1,3,,,2,4,,,1,47,,,1,7,,,1,3
