산업체,성북구사업체수,성북구종사자수,돈암1동사업체수,돈암1동종사자수,돈암2동사업체수,돈암2동종사자수,안암동사업체수,안암동종사자수,보문동사업체수,보문동종사자수,정릉1동사업체수,정릉1동종사자수,정릉2동사업체수,정릉2동종사자수,정릉3동사업체수,정릉3동종사자수,정릉4동사업체수,정릉4동종사자수,길음1동사업체수,길음1동종사자수,길음2동사업체수,길음2동종사자수,월곡1동사업체수,월곡1동종사자수,월곡2동사업체수,월곡2동종사자수,장위1동사업체수,장위1동종사자수,장위2동사업체수,장위2동종사자수,장위3동사업체수,장위3동종사자수,성북동사업체수,성북동종사자수,삼선동사업체수,삼선동종사자수,동선동사업체수,동선동종사자수,종암동사업체수,종암동종사자수,석관동사업체수,석관동종사자수
"컴퓨터 및 주변장치, 소프트웨어 도매업",15,109,,,,,4,7,1,1,1,1,,,,,2,8,,,,,,,,,,,1,3,,,2,81,3,7,,,,,1,1
"컴퓨터 및 주변장치, 소프트웨어 도매업",15,109,,,,,4,7,1,1,1,1,,,,,2,8,,,,,,,,,,,1,3,,,2,81,3,7,,,,,1,1
"가전제품, 통신장비 및 부품 도매업",35,174,,,1,1,1,24,3,11,,,1,4,1,3,3,4,1,1,1,7,1,1,4,22,4,6,3,20,,,2,4,4,35,1,1,3,6,1,24
가전제품 및 부품 도매업,16,97,,,1,1,1,24,1,3,,,,,1,3,1,1,1,1,1,7,,,1,1,1,1,3,20,,,,,4,35,,,,,,
통신·방송장비 및 부품 도매업,19,77,,,,,,,2,8,,,1,4,,,2,3,,,,,1,1,3,21,3,5,,,,,2,4,,,1,1,3,6,1,24
산업용 기계 및 장비 도매업,10,21,,,,,,,1,1,,,,,1,3,,,,,,,1,1,1,2,,,,,,,2,6,1,2,,,2,5,1,1
공작용 기계 및 장비 도매업,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
기타 산업용 기계 및 장비 도매업,9,19,,,,,,,1,1,,,,,1,3,,,,,,,1,1,1,2,,,,,,,2,6,1,2,,,1,3,1,1
기타 기계 및 장비 도매업,88,366,1,5,,,5,19,4,18,4,9,1,31,1,5,2,4,2,3,5,11,,,17,63,1,1,8,26,3,5,5,17,6,24,6,24,4,18,13,83
사무용 가구 및 기기 도매업,13,39,1,5,,,,,,,,,,,,,1,2,,,1,5,,,1,5,,,,,1,1,,,4,16,3,4,,,1,1
의료기기 도매업,26,86,,,,,2,10,2,11,1,2,,,,,,,,,,,,,6,16,,,6,23,1,2,,,1,2,1,5,2,8,4,7
정밀기기 및 과학기기 도매업,25,152,,,,,1,5,,,1,2,1,31,,,1,2,2,3,2,3,,,9,40,,,,,,,2,8,,,2,15,,,4,43
전기용 기계·장비 및 관련 기자재 도매업,10,25,,,,,2,4,,,,,,,,,,,,,2,3,,,,,,,,,1,2,2,6,1,6,,,1,3,1,1
전지 및 케이블 도매업,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그 외 기타 기계 및 장비 도매업,13,62,,,,,,,1,5,2,5,,,1,5,,,,,,,,,1,2,1,1,2,3,,,1,3,,,,,1,7,3,31
"건축자재, 철물 및 난방장치 도매업",68,217,1,5,,,5,7,4,4,1,1,2,3,1,6,1,1,,,2,4,10,28,3,4,1,3,3,4,2,6,1,3,6,64,3,3,4,17,18,54
일반 건축자재 도매업,25,55,,,,,3,4,3,3,1,1,1,2,1,6,,,,,,,2,4,2,3,,,1,1,,,1,3,1,3,1,1,2,8,6,16
원목 및 건축관련 목제품 도매업,12,22,,,,,2,3,2,2,,,1,2,,,,,,,,,1,3,1,2,,,,,,,,,,,1,1,1,3,3,6
"골재, 벽돌 및 시멘트 도매업",6,11,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,,,1,3,,,,,,,2,5
유리 및 창호 도매업,7,22,,,,,1,1,,,1,1,,,1,6,,,,,,,,,1,1,,,,,,,,,1,3,,,1,5,1,5
"냉·난방장치 및 철물, 수공구 도매업",16,80,,,,,2,3,1,1,,,1,1,,,,,,,1,1,2,12,1,1,,,,,1,2,,,2,42,1,1,,,4,16
배관 및 냉ㆍ난방장치 도매업,7,60,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,2,,,2,42,,,,,3,15
"철물, 금속 파스너 및 수공구 도매업",9,20,,,,,2,3,,,,,1,1,,,,,,,1,1,2,12,1,1,,,,,,,,,,,1,1,,,1,1
기타 건축자재 도매업,27,82,1,5,,,,,,,,,,,,,1,1,,,1,3,6,12,,,1,3,2,3,1,4,,,3,19,1,1,2,9,8,22
도료 도매업,7,14,,,,,,,,,,,,,,,,,,,1,3,2,3,,,,,,,,,,,1,2,,,1,2,2,4
벽지 및 장판류 도매업,5,21,1,5,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,1,7,2,6
그 외 기타 건축자재 도매업,15,47,,,,,,,,,,,,,,,1,1,,,,,3,6,,,1,3,2,3,1,4,,,2,17,1,1,,,4,12
기타 전문 도매업,105,410,,,2,2,16,91,10,35,1,5,3,17,4,29,,,1,3,2,2,6,16,8,25,2,2,8,14,2,10,4,17,10,26,6,52,11,27,9,37
"연료, 연료용 광물 및 관련제품 도매업",3,17,,,,,,,1,7,,,,,,,,,,,1,1,,,,,,,,,,,1,9,,,,,,,,
액체연료 및 관련제품 도매업,2,16,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,
기체연료 및 관련제품 도매업,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1차 금속제품 및 금속광물 도매업,5,7,,,,,,,2,3,,,,,,,,,,,,,,,,,,,2,2,,,1,2,,,,,,,,
1차 금속제품 도매업,4,5,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,2,,,1,2,,,,,,,,
금속광물 도매업,1,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화학물질 및 화학제품 도매업,18,87,,,,,2,8,1,1,,,,,,,,,,,1,1,1,1,3,11,,,1,1,,,1,5,2,7,2,44,2,6,2,2
"염료, 안료 및 관련제품 도매업",6,51,,,,,,,1,1,,,,,,,,,,,,,1,1,1,2,,,1,1,,,,,,,1,41,1,5,,
플라스틱물질 및 합성고무 도매업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
기타 화학물질 및 화학제품 도매업,11,35,,,,,2,8,,,,,,,,,,,,,1,1,,,2,9,,,,,,,1,5,2,7,1,3,1,1,1,1
"방직용 섬유, 실 및 직물 도매업",45,202,,,2,2,13,81,5,23,,,1,12,1,23,,,,,,,2,8,3,9,,,3,7,1,6,,,6,15,3,4,1,6,4,6
방직용 섬유 및 실 도매업,7,29,,,,,,,,,,,1,12,,,,,,,,,,,,,,,1,2,1,6,,,1,3,2,3,,,1,3
직물 도매업,38,173,,,2,2,13,81,5,23,,,,,1,23,,,,,,,2,8,3,9,,,2,5,,,,,5,12,1,1,1,6,3,3
재생용 재료 및 기타 상품 전문 도매업,34,97,,,,,1,2,1,1,1,5,2,5,3,6,,,1,3,,,3,7,2,5,2,2,2,4,1,4,1,1,2,4,1,4,8,15,3,29
재생용 재료 수집 및 판매업,30,89,,,,,,,1,1,1,5,2,5,3,6,,,,,,,3,7,1,3,1,1,2,4,1,4,1,1,2,4,1,4,8,15,3,29
그 외 기타 상품 전문 도매업,4,8,,,,,1,2,,,,,,,,,,,1,3,,,,,1,2,1,1,,,,,,,,,,,,,,
상품 종합 도매업,13,34,,,,,3,14,,,,,,,1,3,,,,,,,,,2,4,1,2,,,,,,,1,1,1,2,2,3,2,5
상품 종합 도매업,13,34,,,,,3,14,,,,,,,1,3,,,,,,,,,2,4,1,2,,,,,,,1,1,1,2,2,3,2,5
상품 종합 도매업,13,34,,,,,3,14,,,,,,,1,3,,,,,,,,,2,4,1,2,,,,,,,1,1,1,2,2,3,2,5
소매업; 자동차 제외,3698,10593,52,141,47,116,171,605,179,634,94,252,132,402,93,227,134,285,183,494,258,1137,221,506,258,845,139,296,181,361,72,207,187,439,322,1042,359,1052,302,744,314,808
종합 소매업,640,3265,9,37,9,63,55,219,31,111,22,91,24,174,29,100,32,110,23,166,26,473,35,107,39,331,33,103,27,97,14,75,31,119,52,263,50,220,49,224,50,182
대형 종합 소매업,4,566,,,,,,,,,,,,,,,,,,,3,407,,,1,159,,,,,,,,,,,,,,,,
백화점,1,159,,,,,,,,,,,,,,,,,,,1,159,,,,,,,,,,,,,,,,,,,,
대형 마트,3,407,,,,,,,,,,,,,,,,,,,2,248,,,1,159,,,,,,,,,,,,,,,,
음ㆍ식료품 위주 종합 소매업,613,2606,8,30,9,63,54,213,31,111,22,91,23,163,29,100,31,108,22,165,21,63,35,107,34,152,32,102,26,96,14,75,31,119,50,258,45,194,47,216,49,180
슈퍼마켓,65,729,1,6,4,44,,,3,25,2,13,4,95,,,6,26,7,110,,,4,27,3,46,1,20,3,26,3,29,3,28,9,120,2,12,5,51,5,51
체인화 편의점,298,1412,4,17,4,18,38,179,13,56,15,64,10,52,17,82,11,53,7,36,10,43,11,53,18,80,12,54,5,40,6,37,19,78,21,101,30,151,25,128,22,90
기타 음ㆍ식료품 위주 종합 소매업,250,465,3,7,1,1,16,34,15,30,5,14,9,16,12,18,14,29,8,19,11,20,20,27,13,26,19,28,18,30,5,9,9,13,20,37,13,31,17,37,22,39
그 외 기타 종합 소매업,23,93,1,7,,,1,6,,,,,1,11,,,1,2,1,1,2,3,,,4,20,1,1,1,1,,,,,2,5,5,26,2,8,1,2
그 외 기타 종합 소매업,23,93,1,7,,,1,6,,,,,1,11,,,1,2,1,1,2,3,,,4,20,1,1,1,1,,,,,2,5,5,26,2,8,1,2
음ㆍ식료품 및 담배 소매업,551,1176,10,23,11,14,6,19,24,46,13,22,24,53,15,24,22,40,49,125,21,73,38,72,34,85,17,27,40,71,11,16,16,31,71,178,20,43,56,104,53,110
식료품 소매업,521,1114,9,20,11,14,5,17,23,43,12,21,24,53,14,21,21,38,49,125,16,53,38,72,31,78,15,25,39,70,10,15,15,29,67,171,18,40,53,101,51,108
"곡물, 곡분 및 가축 사료 소매업",36,67,,,,,,,3,6,,,4,5,,,,,3,17,1,2,3,3,2,3,3,3,3,3,3,4,1,2,5,12,1,1,4,6,,
육류 소매업,159,366,6,16,4,5,1,2,6,8,8,12,5,18,4,9,9,17,11,23,6,30,7,15,13,33,7,15,10,22,2,2,6,10,18,44,3,5,14,35,19,45
건어물 및 젓갈류 소매업,27,50,,,,,,,2,3,,,1,2,,,1,2,4,12,,,2,4,1,2,,,6,10,,,1,1,7,11,,,,,2,3
"신선, 냉동 및 기타 수산물 소매업",31,58,,,,,,,2,3,,,1,2,1,1,,,3,6,1,1,5,7,,,1,2,4,9,,,,,6,18,,,2,2,5,7
"채소, 과실 및 뿌리작물 소매업",86,204,,,1,2,,,4,12,2,5,2,4,1,2,2,5,12,25,1,1,8,15,6,18,2,3,7,11,1,3,3,9,10,39,3,7,12,26,9,17
"빵류, 과자류 및 당류 소매업",36,70,,,2,3,2,3,,,,,3,5,5,6,1,2,3,5,1,2,1,3,3,5,,,,,2,3,,,4,11,3,5,3,3,3,14
건강보조식품 소매업,51,107,2,2,,,2,12,1,2,1,1,5,13,1,1,3,4,2,4,5,13,7,15,,,1,1,1,2,,,2,3,5,11,4,8,7,12,2,3
조리 반찬류 소매업,53,105,1,2,3,3,,,3,5,1,3,2,2,1,1,3,4,7,22,,,2,5,2,7,1,1,5,7,,,1,3,5,13,1,2,9,15,6,10
기타 식료품 소매업,42,87,,,1,1,,,2,4,,,1,2,1,1,2,4,4,11,1,4,3,5,4,10,,,3,6,2,3,1,1,7,12,3,12,2,2,5,9
음료 및 담배 소매업,30,62,1,3,,,1,2,1,3,1,1,,,1,3,1,2,,,5,20,,,3,7,2,2,1,1,1,1,1,2,4,7,2,3,3,3,2,2
음료 소매업,17,43,,,,,,,,,1,1,,,1,3,1,2,,,5,20,,,1,5,,,,,1,1,1,2,3,6,1,1,2,2,,
담배 소매업,13,19,1,3,,,1,2,1,3,,,,,,,,,,,,,,,2,2,2,2,1,1,,,,,1,1,1,2,1,1,2,2
가전제품 및 정보통신장비 소매업,217,600,1,1,1,1,9,22,11,63,5,8,10,25,3,11,5,9,11,28,6,33,15,43,26,61,5,6,11,17,4,5,8,25,21,58,24,58,21,63,20,63
"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",178,418,1,1,1,1,9,22,10,23,4,7,9,23,3,11,4,8,11,28,3,4,12,21,22,49,3,3,7,11,4,5,7,15,14,38,24,58,15,43,15,47
"컴퓨터 및 주변장치, 소프트웨어 소매업",20,46,,,,,1,1,2,8,,,1,1,2,9,,,,,,,1,1,4,9,1,1,,,,,,,2,3,3,10,2,2,1,1
통신기기 소매업,158,372,1,1,1,1,8,21,8,15,4,7,8,22,1,2,4,8,11,28,3,4,11,20,18,40,2,2,7,11,4,5,7,15,12,35,21,48,13,41,14,46
가전제품 소매업,39,182,,,,,,,1,40,1,1,1,2,,,1,1,,,3,29,3,22,4,12,2,3,4,6,,,1,10,7,20,,,6,20,5,16
가전제품 소매업,39,182,,,,,,,1,40,1,1,1,2,,,1,1,,,3,29,3,22,4,12,2,3,4,6,,,1,10,7,20,,,6,20,5,16
"섬유, 의복, 신발 및 가죽제품 소매업",711,1354,8,19,12,16,17,27,24,29,10,11,16,24,7,7,13,17,36,52,117,267,33,72,45,105,21,34,26,49,10,15,53,97,46,79,109,280,53,73,55,81
의복 소매업,524,1032,8,19,12,16,11,13,15,18,9,10,11,15,4,4,10,14,28,41,87,204,24,59,32,85,18,31,22,40,8,12,40,74,35,62,79,205,37,56,34,54
남자용 겉옷 소매업,38,67,,,,,1,1,2,3,,,,,,,,,4,5,17,33,,,2,4,,,2,4,,,,,4,8,3,6,2,2,1,1
여자용 겉옷 소매업,200,363,4,12,5,5,3,3,6,8,5,6,7,10,3,3,5,5,6,8,25,55,11,38,12,18,7,11,2,4,5,5,12,17,13,28,36,70,16,27,17,30
속옷 및 잠옷 소매업,39,117,,,,,1,1,1,1,,,1,2,,,,,3,5,6,13,1,1,1,1,2,3,6,11,,,3,3,2,4,7,67,2,2,3,3
셔츠 및 블라우스 소매업,116,205,1,1,5,9,3,3,2,2,3,3,2,2,1,1,2,2,4,6,17,52,2,2,8,8,1,3,1,3,1,3,17,35,8,8,21,41,7,7,10,14
한복 소매업,6,9,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,2,4,,,1,2,,,,
가죽 및 모피의복 소매업,29,38,1,2,2,2,,,1,1,,,,,,,1,4,1,1,1,2,1,1,,,3,3,5,6,,,2,2,2,2,7,10,2,2,,
유아용 의류 소매업,18,68,,,,,,,1,1,,,1,1,,,1,1,,,2,3,1,1,5,50,1,1,,,,,1,1,2,3,,,3,6,,
기타 의복 소매업,78,165,2,4,,,3,5,2,2,1,1,,,,,1,2,10,16,19,46,8,16,2,2,3,9,6,12,2,4,3,12,4,9,4,9,5,10,3,6
"섬유, 직물 및 의복액세서리 소매업",125,193,,,,,4,4,9,11,1,1,4,8,3,3,2,2,7,10,6,12,8,12,11,18,3,3,4,9,2,3,11,18,9,12,16,35,11,12,14,20
가정용 직물제품 소매업,50,72,,,,,3,3,3,4,1,1,1,2,1,1,1,1,2,4,4,7,2,3,3,4,1,1,,,2,3,5,9,4,7,1,1,7,8,9,13
의복 액세서리 및 모조 장신구 소매업,61,96,,,,,1,1,4,5,,,3,6,1,1,1,1,5,6,2,5,4,4,6,9,2,2,1,1,,,6,9,2,2,15,34,3,3,5,7
"섬유 원단, 실 및 기타 섬유제품 소매업",14,25,,,,,,,2,2,,,,,1,1,,,,,,,2,5,2,5,,,3,8,,,,,3,3,,,1,1,,
신발 소매업,44,91,,,,,,,,,,,,,,,,,,,21,44,1,1,2,2,,,,,,,2,5,1,2,8,28,4,4,5,5
신발 소매업,44,91,,,,,,,,,,,,,,,,,,,21,44,1,1,2,2,,,,,,,2,5,1,2,8,28,4,4,5,5
가방 및 기타 가죽제품 소매업,18,38,,,,,2,10,,,,,1,1,,,1,1,1,1,3,7,,,,,,,,,,,,,1,3,6,12,1,1,2,2
가방 및 기타 가죽제품 소매업,18,38,,,,,2,10,,,,,1,1,,,1,1,1,1,3,7,,,,,,,,,,,,,1,3,6,12,1,1,2,2
기타 생활용품 소매업,339,558,7,17,1,1,3,3,20,31,14,21,11,19,12,19,14,16,10,14,18,26,31,44,24,54,18,26,27,45,8,14,15,33,34,58,18,27,19,31,35,59
"철물, 공구, 창호 및 건설자재 소매업",206,314,4,6,,,2,2,13,19,12,19,7,13,9,15,10,10,3,3,8,9,26,37,12,25,10,16,15,24,6,8,8,12,16,26,9,11,11,18,25,41
철물 및 난방용구 소매업,97,135,2,3,,,1,1,10,14,4,10,4,6,3,4,3,3,2,2,6,7,10,15,8,11,5,8,4,5,2,3,3,3,7,11,6,8,4,5,13,16
공구 소매업,8,14,,,,,,,,,,,,,,,,,,,1,1,3,5,,,,,,,,,,,1,1,1,1,,,2,6
"벽지, 마루덮개 및 장판류 소매업",58,90,2,3,,,,,3,5,5,6,1,3,3,4,6,6,1,1,,,7,10,3,7,3,4,6,9,1,2,1,2,6,10,,,4,8,6,10
"페인트, 창호 및 기타 건설자재 소매업",43,75,,,,,1,1,,,3,3,2,4,3,7,1,1,,,1,1,6,7,1,7,2,4,5,10,3,3,4,7,2,4,2,2,3,5,4,9
가구 소매업,39,71,2,3,,,,,4,6,1,1,1,1,1,2,,,,,3,5,1,2,1,1,3,5,7,11,1,2,5,18,6,8,,,1,3,2,3
가구 소매업,39,71,2,3,,,,,4,6,1,1,1,1,1,2,,,,,3,5,1,2,1,1,3,5,7,11,1,2,5,18,6,8,,,1,3,2,3
그 외 기타 가정용품 소매업,94,173,1,8,1,1,1,1,3,6,1,1,3,5,2,2,4,6,7,11,7,12,4,5,11,28,5,5,5,10,1,4,2,3,12,24,9,16,7,10,8,15
전기용품 및 조명장치 소매업,39,56,,,,,1,1,1,2,1,1,1,1,2,2,3,5,1,2,,,3,4,5,10,3,3,3,5,,,1,1,6,8,3,4,3,4,2,3
"주방용품 및 가정용 유리, 요업 제품 소매업",39,78,,,,,,,2,4,,,2,4,,,,,4,6,5,9,1,1,4,15,2,2,2,5,1,4,1,2,2,2,5,10,3,4,5,10
악기 소매업,4,14,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,2,12,,,,,,
그 외 기타 분류 안된 가정용품 소매업,12,25,1,8,1,1,,,,,,,,,,,,,1,2,2,3,,,2,3,,,,,,,,,2,2,1,2,1,2,1,2
"문화, 오락 및 여가 용품 소매업",159,369,4,10,3,5,12,36,9,14,2,2,4,6,7,10,9,15,7,16,6,9,10,17,11,24,3,5,6,12,5,11,8,13,8,16,18,104,12,17,15,27
서적 및 문구용품 소매업,111,275,4,10,2,4,10,32,8,13,1,1,3,5,6,8,7,10,4,8,2,2,5,5,8,20,2,2,,,4,8,7,12,6,14,15,96,8,13,9,12
"서적, 신문 및 잡지류 소매업",35,85,3,3,,,4,19,2,2,,,1,2,1,1,4,6,2,5,,,,,1,5,,,,,1,2,4,7,2,10,6,18,2,3,2,2
문구용품 및 회화용품 소매업,76,190,1,7,2,4,6,13,6,11,1,1,2,3,5,7,3,4,2,3,2,2,5,5,7,15,2,2,,,3,6,3,5,4,4,9,78,6,10,7,10
음반 및 비디오물 소매업,2,4,,,,,,,,,,,,,,,,,,,1,1,,,,,1,3,,,,,,,,,,,,,,
음반 및 비디오물 소매업,2,4,,,,,,,,,,,,,,,,,,,1,1,,,,,1,3,,,,,,,,,,,,,,
운동용품 및 자전거 소매업,41,81,,,1,1,2,4,1,1,1,1,1,1,1,2,2,5,2,7,3,6,4,9,3,4,,,5,9,1,3,1,1,1,1,3,8,4,4,5,14
운동 및 경기용품 소매업,23,49,,,1,1,2,4,,,1,1,,,1,2,2,5,1,6,2,5,2,5,1,1,,,5,9,1,3,1,1,,,2,5,1,1,,
자전거 및 기타 운송장비 소매업,18,32,,,,,,,1,1,,,1,1,,,,,1,1,1,1,2,4,2,3,,,,,,,,,1,1,1,3,3,3,5,14
"게임용구, 인형 및 장난감 소매업",5,9,,,,,,,,,,,,,,,,,1,1,,,1,3,,,,,1,3,,,,,1,1,,,,,1,1
"게임용구, 인형 및 장난감 소매업",5,9,,,,,,,,,,,,,,,,,1,1,,,1,3,,,,,1,3,,,,,1,1,,,,,1,1
연료 소매업,38,183,1,1,,,2,5,3,16,1,3,4,12,,,2,15,,,3,26,2,12,2,8,3,10,3,9,1,20,,,,,1,2,6,29,4,15
운송장비용 연료 소매업,25,161,,,,,1,4,2,13,1,3,2,10,,,2,15,,,3,26,1,9,2,8,2,9,1,6,1,20,,,,,,,6,29,1,9
운송장비용 주유소 운영업,22,113,,,,,1,4,2,13,1,3,2,10,,,1,5,,,2,8,1,9,2,8,2,9,1,6,,,,,,,,,6,29,1,9
운송장비용 가스 충전업,3,48,,,,,,,,,,,,,,,1,10,,,1,18,,,,,,,,,1,20,,,,,,,,,,
가정용 연료 소매업,13,22,1,1,,,1,1,1,3,,,2,2,,,,,,,,,1,3,,,1,1,2,3,,,,,,,1,2,,,3,6
가정용 고체연료 소매업,1,3,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가정용 액체연료 소매업,10,14,1,1,,,1,1,,,,,2,2,,,,,,,,,,,,,1,1,1,1,,,,,,,1,2,,,3,6
가정용 가스연료 소매업,2,5,,,,,,,,,,,,,,,,,,,,,1,3,,,,,1,2,,,,,,,,,,,,
기타 상품 전문 소매업,739,1536,12,33,8,14,40,146,20,35,21,41,34,64,12,19,33,58,43,88,54,127,38,69,59,126,27,40,32,50,11,20,40,85,54,127,88,190,57,107,56,97
"의약품, 의료용 기구, 화장품 및 방향제 소매업",371,912,6,19,6,11,22,112,10,21,15,31,16,38,2,5,21,43,23,56,27,63,15,38,31,78,12,18,11,22,8,15,14,28,30,83,41,101,30,66,31,64
의약품 및 의료용품 소매업,207,536,2,9,5,10,11,80,7,17,9,21,9,20,2,5,12,27,15,34,14,35,9,25,12,31,8,14,10,21,5,9,7,17,16,44,17,32,20,46,17,39
의료용 기구 소매업,35,73,1,2,,,2,3,,,1,1,2,5,,,2,2,2,5,3,4,1,1,4,9,,,,,1,2,1,1,7,19,2,3,1,1,5,15
"화장품, 비누 및 방향제 소매업",129,303,3,8,1,1,9,29,3,4,5,9,5,13,,,7,14,6,17,10,24,5,12,15,38,4,4,1,1,2,4,6,10,7,20,22,66,9,19,9,10
"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",94,170,2,10,1,1,13,26,2,3,1,3,4,5,1,1,3,5,6,8,6,17,8,9,7,9,4,5,4,7,1,2,4,7,3,6,14,32,5,8,5,6
사무용 기기 소매업,2,10,1,9,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
안경 및 렌즈 소매업,91,159,1,1,1,1,13,26,2,3,1,3,4,5,1,1,3,5,6,8,6,17,7,8,7,9,4,5,4,7,1,2,4,7,3,6,13,31,5,8,5,6
기타 광학 및 정밀 기기 소매업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
시계 및 귀금속 소매업,60,111,,,,,,,1,1,1,1,2,4,2,3,1,1,2,4,15,38,5,5,4,10,,,4,5,,,3,3,4,7,7,18,5,6,4,5
시계 및 귀금속 소매업,60,111,,,,,,,1,1,1,1,2,4,2,3,1,1,2,4,15,38,5,5,4,10,,,4,5,,,3,3,4,7,7,18,5,6,4,5
"예술품, 기념품 및 장식용품 소매업",34,72,,,,,1,3,,,,,2,2,1,2,2,2,3,6,,,,,1,2,2,6,1,1,,,10,32,2,2,6,8,2,3,1,3
예술품 및 골동품 소매업,18,42,,,,,,,,,,,1,1,1,2,2,2,1,3,,,,,,,1,4,,,,,7,25,1,1,3,3,1,1,,
"기념품, 관광 민예품 및 장식용품 소매업",16,30,,,,,1,3,,,,,1,1,,,,,2,3,,,,,1,2,1,2,1,1,,,3,7,1,1,3,5,1,2,1,3
그 외 기타 상품 전문 소매업,149,230,2,2,1,2,4,5,7,10,2,3,8,13,4,5,4,4,9,14,4,7,8,13,12,19,6,8,11,14,1,2,7,13,15,29,16,26,15,24,13,17
화초 및 식물 소매업,86,127,1,1,1,2,4,5,3,3,,,6,7,1,2,2,2,7,11,2,4,4,5,7,9,3,4,4,4,1,2,5,10,9,15,10,14,9,17,7,10
애완용 동물 및 관련용품 소매업,38,64,1,1,,,,,3,6,1,1,2,6,1,1,1,1,,,2,3,2,3,4,7,2,2,2,4,,,1,2,6,14,3,5,4,5,3,3
그 외 기타 분류 안된 상품 전문 소매업,25,39,,,,,,,1,1,1,2,,,2,2,1,1,2,3,,,2,5,1,3,1,2,5,6,,,1,1,,,3,7,2,2,3,4
중고 상품 소매업,31,41,2,2,,,,,,,2,3,2,2,2,3,2,3,,,2,2,2,4,4,8,3,3,1,1,1,1,2,2,,,4,5,,,2,2
중고 가구 소매업,5,10,,,,,,,,,,,1,1,,,,,,,,,2,4,2,5,,,,,,,,,,,,,,,,
중고 가전제품 및 통신장비 소매업,10,13,,,,,,,,,,,1,1,,,1,2,,,1,1,,,2,3,,,1,1,1,1,1,1,,,2,3,,,,
기타 중고 상품 소매업,16,18,2,2,,,,,,,2,3,,,2,3,1,1,,,1,1,,,,,3,3,,,,,1,1,,,2,2,,,2,2
무점포 소매업,304,1552,,,2,2,27,128,37,289,6,53,5,25,8,37,4,5,4,5,7,103,19,70,18,51,12,45,9,11,8,31,16,36,36,263,31,128,29,96,26,174
통신 판매업,258,880,,,2,2,23,74,33,210,3,4,5,25,5,10,4,5,4,5,3,4,16,54,17,45,9,16,9,11,5,9,16,36,29,123,27,84,26,88,22,75
전자상거래 소매 중개업,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,1,1
전자상거래 소매업,253,860,,,2,2,23,74,33,210,3,4,5,25,5,10,4,5,4,5,3,4,15,44,17,45,9,16,8,9,5,9,15,30,29,123,27,84,25,87,21,74
기타 통신 판매업,2,16,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,1,6,,,,,,,,
기타 무점포 소매업,46,672,,,,,4,54,4,79,3,49,,,3,27,,,,,4,99,3,16,1,6,3,29,,,3,22,,,7,140,4,44,3,8,4,99
자동판매기 운영업,3,5,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,
계약배달 판매업,26,261,,,,,3,53,3,27,3,49,,,3,27,,,,,,,3,16,,,1,19,,,3,22,,,2,20,1,3,2,3,2,22
방문 판매업,17,406,,,,,,,1,52,,,,,,,,,,,4,99,,,1,6,2,10,,,,,,,5,120,1,37,1,5,2,77
운수 및 창고업,3557,6130,107,128,103,103,93,129,272,320,150,173,243,397,163,411,226,984,164,200,83,115,280,296,150,213,198,202,172,197,149,483,78,93,148,163,73,216,289,338,416,969
육상운송 및 파이프라인 운송업,3503,6003,107,128,102,102,88,121,268,308,149,171,243,397,160,408,225,983,163,197,77,81,280,296,146,206,196,196,170,194,148,482,74,88,143,147,65,207,285,334,414,957
육상 여객 운송업,1859,4100,55,74,62,62,40,60,207,219,87,87,132,273,98,328,138,896,93,127,34,34,144,144,62,86,87,87,84,104,69,401,41,53,74,74,31,149,120,157,201,685
도시 정기 육상 여객 운송업,20,1334,1,20,,,2,22,1,13,,,,,3,233,2,621,2,36,,,,,2,26,,,,,1,40,1,13,,,2,46,1,38,2,226
도시철도 운송업,9,111,,,,,2,22,1,13,,,,,,,,,1,14,,,,,2,26,,,,,,,1,13,,,1,14,,,1,9
