순번,회사명,공장대표주소(도로명),업종번호,업종명
83,(주)나라켐 2공장,충청남도 아산시 음봉면 월암로 304,"20203, 22212, 22213",혼성 및 재생 플라스틱 소재 물질 제조업 외 2 종
84,(주)나루,충청남도 아산시 둔포면 아산밸리로388번길 16,"29271, 29272, 29280, 29299",반도체 제조용 기계 제조업 외 3 종
85,(주)나바켐,충청남도 아산시 둔포면 봉재길63번길 81 외 2필지,"20422, ","치약, 비누 및 기타 세제 제조업"
86,(주)나스테크,"충청남도 아산시 수장로25번길 51 (배미동, (주)나스테크)","24122, ",냉간 압연 및 압출 제품 제조업
87,(주)나우메딕,충청남도 아산시 둔포면 봉신로 258-36,"13229, ",기타 직물제품 제조업
88,(주)나우이엔지,충청남도 아산시 음봉면 아산밸리로388번길 181,"29271, ",반도체 제조용 기계 제조업
89,(주)나우정밀,충청남도 아산시 음봉면 산동로 145-13,"29271, ",반도체 제조용 기계 제조업
90,(주)나인엔지니어링,충청남도 아산시 선장면 서부남로172번길 12-37,"24121, ",열간 압연 및 압출 제품 제조업
91,(주)나인이엔지,충청남도 아산시 둔포면 이화길 222-2,"25999, 32091",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
92,(주)나인이엔지,충청남도 아산시 음봉면 음봉면로 188-34,"25112, ",구조용 금속 판제품 및 공작물 제조업
93,(주)나진,충청남도 아산시 음봉면 연암율금로 74,"22232, ",포장용 플라스틱 성형용기 제조업
94,(주)남방에프.씨,"충청남도 아산시 둔포면 아산밸리남로 52, (운교리 97번지)","20121, ",산업용 가스 제조업
95,(주)남방에프.씨2공장,충청남도 아산시 둔포면 관대안길 62-42,"20121, 20321, 20322, 20423",산업용 가스 제조업 외 3 종
96,(주)남영산업,충청남도 아산시 영인면 신봉길 170,"22299, ",그 외 기타 플라스틱 제품 제조업
97,(주)남일수출포장,충청남도 아산시 음봉면 월암로 332-48,"16232, 16231","목재 포장용 상자, 드럼 및 유사용기 제조업 외 1 종"
98,(주)남일수출포장 2공장,충청남도 아산시 음봉면 월암로 336-30 외 2필지,"16231, 16232",목재 깔판류 및 기타 적재판 제조업 외 1 종
99,(주)네오스펙,충청남도 아산시 음봉면 산동로 246-70,"29271, ",반도체 제조용 기계 제조업
100,(주)네오테크,충청남도 아산시 음봉면 월산로201번길 26-40,"29271, ",반도체 제조용 기계 제조업
101,(주)네오텍,충청남도 아산시 선장면 서부남로 127 외 9필지,"25113, ",육상 금속 골조 구조재 제조업
102,(주)네오텍,충청남도 아산시 영인면 월선서길 77-47,"25113, ",육상 금속 골조 구조재 제조업
103,(주)넥스콘,"충청남도 아산시 음봉면 연암산로 88 충남 디스플레이센터 112호, 210호","27193, 27199",안경 및 안경렌즈 제조업 외 1 종
104,(주)넥스킨,충청남도 아산시 둔포면 신남리 662-15 외 3필지,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업"
105,(주)넥스플러스,충청남도 아산시 선장면 부엉산길 39 (선장면) 외 1필지,"30310, 25113, 25929, 26211",자동차 엔진용 신품 부품 제조업 외 3 종
106,(주)넵,"충청남도 아산시 배방읍 호서로79번길 20, 호서신기술창업보육센타 4/205","20129, ",기타 기초 무기 화학물질 제조업
107,(주)노바테크,충청남도 아산시 음봉면 음봉로 471-12 (신종철강),"29172, ",공기 조화장치 제조업
108,(주)노블레스지케이,"충청남도 아산시 염치읍 은행나무길 223, 중소기업지원센터 311호","28511, 28512, 28519",주방용 전기기기 제조업 외 2 종
109,(주)농심,충청남도 아산시 탕정면 탕정면로 485 ((주)농심 아산공장),"10713, 10799, 11209",과자류 및 코코아 제품 제조업 외 2 종
110,(주)농업회사법인 인주바이오,충청남도 아산시 인주로 224 -12(인주면),"20313, ",유기질 비료 및 상토 제조업
111,(주)눈소프트,"충청남도 아산시 신창면 순천향로 22, 앙뜨레프레너관 205호","26410, 26421, 26429",유선 통신장비 제조업 외 2 종
112,(주)뉴아이티,충청남도 아산시 음봉면 월산로201번길 48,"28903, 26421, 28423",교통 신호장치 제조업 외 2 종
113,(주)뉴엔,충청남도 아산시 음봉면 4산단로 131-3,"25929, ",그 외 기타 금속가공업
