순번,회사명,공장대표주소(도로명),업종번호,업종명
2069,주식회사 와이씨,충청남도 아산시 둔포면 아산밸리로406번길 19,"29271, ",반도체 제조용 기계 제조업
2070,주식회사 원에이스,충청남도 아산시 탕정면 용머리길 16 1동 B1층 B122호,"29174, ",기체 여과기 제조업
2071,주식회사 유니테크,충청남도 아산시 음봉면 월산로 216-40,"28123, ",배전반 및 전기 자동제어반 제조업
2072,주식회사 이노테크,"충청남도 아산시 음봉면 스마트산단로 102, 아산스마트밸리 일반산업단지 A2-6","29299, 29175",그 외 기타 특수목적용 기계 제조업 외 1 종
2073,주식회사 이스턴에프티씨,충청남도 아산시 둔포면 봉신로 275 외 2필지,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1 종
2074,주식회사 이엘씨,충청남도 아산시 음봉면 스마트산단1로 20,"29280, ",산업용 로봇 제조업
2075,주식회사 이케이테크,충청남도 아산시 탕정면 갈산리 100 선문 대학교 산학 협력관 408호,"29272, ",디스플레이 제조용 기계 제조업
2076,주식회사 이티에스,충청남도 아산시 음봉면 스마트산단로 91,"29199, 29272",그 외 기타 일반목적용 기계 제조업 외 1 종
2077,주식회사 인방콘크리트,충청남도 아산시 선장면 서부남로172번길 12-57,"23325, ",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
2078,주식회사 일류텍,충청남도 아산시 음봉면 아산밸리로387번길 78,"29294, ",주형 및 금형 제조업
2079,주식회사 일지,충청남도 아산시 둔포면 아산밸리북로 125,"30320, ",자동차 차체용 신품 부품 제조업
2080,주식회사 정석,충청남도 아산시 둔포면 아산밸리서로 147,"28519, ",기타 가정용 전기기기 제조업
2081,주식회사 제이디에스,"충청남도 아산시 음봉면 월암로436번길 96-16, (주)제이디에스","30332, ",자동차용 신품 전기장치 제조업
2082,주식회사 제이비이에스티,"충청남도 아산시 배방읍 호서로79번길 20, 103, 104, 105호(호서대학교 벤처창업기업관)","28202, ",축전지 제조업
2083,주식회사 제이앤아이워터,충청남도 아산시 음봉면 산동로 325-1,"25122, 30320",금속탱크 및 저장용기 제조업 외 1 종
2084,주식회사 제이엠텍,충청남도 아산시 둔포면 아산밸리북로 121,"29299, ",그 외 기타 특수목적용 기계 제조업
2085,주식회사 제이와이테크,충청남도 아산시 둔포면 윤보선로336번길 12-19,"25924, ",절삭가공 및 유사처리업
2086,주식회사 조이피플라이프,충청남도 아산시 둔포면 운교길 275-11,"13229, ",기타 직물제품 제조업
2087,주식회사 중동,충청남도 아산시 선장면 서부남로 150-44,"16101, 16102, 16103",일반 제재업 외 2 종
2088,주식회사 지에스테크,충청남도 아산시 배방읍 세출리-202번지 산학협동4호관,"27213, ","물질 검사, 측정 및 분석기구 제조업"
2089,주식회사 충무,충청남도 아산시 선장면 가산남길53번길 38,"16101, 16102, 22299, 25112, 25944",일반 제재업 외 4 종
2090,주식회사 케이.디,충청남도 아산시 온천대로1770번길 63 (남동),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2091,주식회사 케이.디 1공장,충청남도 아산시 온천대로1770번길 63 (남동),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2092,주식회사 케이블루,충청남도 아산시 신통길46번길 7 (도고면) 1층,"26299, 26295",그 외 기타 전자부품 제조업 외 1 종
2093,주식회사 케이엔제이,충청남도 아산시 음봉면 스마트산단1로 22,"29271, ",반도체 제조용 기계 제조업
2094,주식회사 케이엠티,충청남도 아산시 둔포면 아산밸리로387번길 52,"29299, 29261, 29271",그 외 기타 특수목적용 기계 제조업 외 2 종
2095,주식회사 코아콘,충청남도 아산시 월산로 100 -3(음봉면),"29172, ",공기 조화장치 제조업
2096,주식회사 태성공영,충청남도 아산시 음봉면 산동로 115,"23993, ",비금속광물 분쇄물 생산업
2097,주식회사 톱텍,충청남도 아산시 둔포면 아산밸리북로 111-38,"29199, ",그 외 기타 일반목적용 기계 제조업
2098,주식회사 톱텍,충청남도 아산시 둔포면 아산밸리북로 111-31,"29199, ",그 외 기타 일반목적용 기계 제조업
2099,주식회사 티앤비,충청남도 아산시 탕정면 갈산리 100번지 선문대학교 산학협력센터410B,"28519, ",기타 가정용 전기기기 제조업
2100,주식회사 티앤비테크,충청남도 아산시 둔포면 아산밸리북로 111-21,"29299, ",그 외 기타 특수목적용 기계 제조업
2101,주식회사 틴텍아산,충청남도 아산시 음봉면 음봉로681번길 40-37,"29180, ",사무용 기계 및 장비 제조업
2102,주식회사 프라피아,충청남도 아산시 둔포면 신왕리 34-13,"22232, ",포장용 플라스틱 성형용기 제조업
2103,주식회사 프로메카,"충청남도 아산시 둔포면 아산밸리로405번길 49, (주)프로메카","29132, ",기체 펌프 및 압축기 제조업
2104,주식회사 피엔피,충청남도 아산시 음봉면 산동리 999,"29271, ",반도체 제조용 기계 제조업
2105,주식회사 한국그린스마트건설,"충청남도 아산시 음봉면 연암산로 30-5, 2동","25112, 25119",구조용 금속 판제품 및 공작물 제조업 외 1 종
2106,주식회사 한뫼,충청남도 아산시 둔포면 아산밸리서로 16,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2107,주식회사 한성이엔지,충청남도 아산시 둔포면 아산밸리서로 57,"29142, ",기어 및 동력전달장치 제조업
2108,주식회사 해솔마루,"충청남도 아산시 인주면 인주로 163-25, (91-11번지) 외 2필지","17211, 17212",골판지 제조업 외 1 종
2109,주식회사 휴림에이텍 아산공장,충청남도 아산시 영인면 윤보선로 230 외 4필지,"30399, ",그 외 자동차용 신품 부품 제조업
2110,주식회사 휴먼엔,충청남도 아산시 인주면 인주산단로 65,"38311, 38312",금속류 해체 및 선별업 외 1 종
2111,주식회사에스엠하이텍,충청남도 아산시 월산로 204 -15(음봉면),"29271, ",반도체 제조용 기계 제조업
2112,주식회사오투바이오,"충청남도 아산시 배방읍 호서로79번길 20, 호서신기술창업보육센터4호관 204호","10796, 10797",건강보조용 액화식품 제조업 외 1 종
2113,주식회사티케이케미칼이엔에이치공장,충청남도 아산시 둔포면 아산밸리북로 112,"26299, 26295",그 외 기타 전자부품 제조업 외 1 종
2114,주식회사풍원,충청남도 아산시 온천대로1122번길 35-11 (득산동),"25229, ",기타건축용플라스틱조립제품제조업
2115,주식회사프로케어,충청남도 아산시 둔포면 운교길126번길 25 외 1필지,"28519, ",기타 가정용 전기기기 제조업
2116,주식회사현대솔라,충청남도 아산시 둔포면 둔포리 176,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종"
2117,주안케미칼,충청남도 아산시 둔포면 운교길126번길 79-22,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업
2118,주원범퍼산업,충청남도 아산시 둔포면 이화서길 77-34,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업
2119,주원테크(주),충청남도 아산시 음봉면 아산밸리로459번길 32,"25113, 25112, 25114",육상 금속 골조 구조재 제조업 외 2 종
2120,주현테크,충청남도 아산시 배방읍 휴대리 24,"29229, ",기타 가공 공작기계 제조업
2121,중부매일 굿디자인,"충청남도 아산시 시민로208번길 9, 2층 (용화동)","33910, ",간판 및 광고물 제조업
2122,중부에스켐(주),충청남도 아산시 영인면 장영실로 681 외 1필지,"20411, ",일반용 도료 및 관련제품 제조업
2123,중부에스켐(주)(제2공장),충청남도 아산시 장영실로 689 (영인면),"20411, ",일반용 도료 및 관련제품 제조업
2124,중앙마이크로닉스(주),충청남도 아산시 영인면 역리 375-14번지,"29271, 29272",반도체 제조용 기계 제조업 외 1 종
2125,중앙복층유리,충청남도 아산시 신창면 순천향로 223-17 (신창면),"23112, 23119",안전유리 제조업 외 1 종
2126,중앙산업(주),충청남도 아산시 온천대로1182번길 12 (득산동),"25111, ","금속 문, 창, 셔터 및 관련제품 제조업"
2127,중앙파우다,충청남도 아산시 배방읍 갈산교로 71-13 (중앙파우다),"28909, ",그 외 기타 전기장비 제조업
2128,지산기공,충청남도 아산시 음봉면 산동로 379-18,"25122, ",금속탱크 및 저장용기 제조업
2129,지안산업(주),충청남도 아산시 영인면 장영실로 860,"29169, 25111, 29133",기타 물품 취급장비 제조업 외 2 종
2130,지앤지몰딩도어,충청남도 아산시 둔포면 관용로 35 외 3필지,"22223, 16221",플라스틱 창호 제조업 외 1 종
2131,지에스건설(주),충청남도 아산시 신창면 서부남로 779-45,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
2132,지에스테크,충청남도 아산시 둔포면 염작리 301-1,"18119, 18113",기타 인쇄업 외 1 종
2133,지에스텍,충청남도 아산시 음봉면 연암율금로295번길 78-23 외 1필지,"26121, 26129",발광 다이오드 제조업 외 1 종
2134,지에이비테크,충청남도 아산시 음봉면 율금1길 39-1,"25112, ",구조용 금속 판제품 및 공작물 제조업
2135,지원상사,충청남도 아산시 영인면 영인로 194,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
2136,지케이산업,충청남도 아산시 영인면 아산호로840번길 116,"22212, ",플라스틱 필름 제조업
2137,지큐에스,충청남도 아산시 배방읍 휴대길 146,"29163, 29169",컨베이어장치 제조업 외 1 종
2138,지피엠,충청남도 아산시 선장면 서부남로 103-35,"20202, ",합성수지 및 기타 플라스틱 물질 제조업
2139,지한이엔씨,충청남도 아산시 염치읍 쌍죽길 144-11,"25112, ",구조용 금속 판제품 및 공작물 제조업
2140,진광,충청남도 아산시 음봉면 산동로 246-38,"29271, ",반도체 제조용 기계 제조업
2141,진선,충청남도 아산시 둔포면 윤보선로336번길 35,"22232, ",포장용 플라스틱 성형용기 제조업
2142,진성코리아 주식회사,충청남도 아산시 장영실로 931 (둔포면),"13225, ",직물포대 제조업
2143,진양산업(주),충청남도 아산시 영인면 신봉길 103-30,"22212, 22213",플라스틱 필름 제조업 외 1 종
2144,진정밀,충청남도 아산시 산동로 259 (음봉면),"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업
2145,진테크,충청남도 아산시 월산로 166 -2(음봉면),"29271, ",반도체 제조용 기계 제조업
2146,진테크(주),충청남도 아산시 도고면 덕암산로 376 외 3필지,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
2147,진한ENG,"충청남도 아산시 탕정면 용머리길 40, 1동 6층 650호","28909, ",그 외 기타 전기장비 제조업
2148,진흥테크,충청남도 아산시 둔포면 장영실로 929-39,"29272, ",디스플레이 제조용 기계 제조업
2149,찬울산업,충청남도 아산시 음봉면 월암로 336-61,"28123, ",배전반 및 전기 자동제어반 제조업
2150,참빛기술,충청남도 아산시 둔포면 아산밸리로 87-1,"25924, ",절삭가공 및 유사처리업
2151,참자연주식회사,충청남도 아산시 탕정면 선문로221번길 70 (선문대학교),"10612, ",곡물 제분업
2152,참퍼니처,충청남도 아산시 둔포면 운용길 8-17,"32029, 32021",기타 목재가구 제조업 외 1 종
2153,창대산업(주)아산지점,충청남도 아산시 영인면 신봉길 154-3,"13229, ",기타 직물제품 제조업
2154,창성(주),충청남도 아산시 음봉면 월암로 352,"29271, ",반도체 제조용 기계 제조업
2155,창성(주),충청남도 아산시 음봉면 아산밸리로388번길 156,"29271, ",반도체 제조용 기계 제조업
2156,창성TECH,충청남도 아산시 음봉면 월산로 192-115 (음봉면 산동리 950-83 공장 (허성국)),"30399, 22299, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 4 종
2157,창용목장,충청남도 아산시 영인면 창룡리 27-203번지,"10801, 10802",배합 사료 제조업 외 1 종
2158,창운포장,충청남도 아산시 신창면 행목로 167 (총 2 필지) 외 1필지,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업"
2159,창운포장산업,충청남도 아산시 선장면 부엉산길 290 외 2필지,"22212, 22213",플라스틱 필름 제조업 외 1 종
2160,철우테크(주),충청남도 아산시 영인면 토정샘로 86,"25113, ",육상 금속 골조 구조재 제조업
2161,청도자기,충청남도 아산시 배방읍 구령길52번길 1,"23221, ",가정용 및 장식용 도자기 제조업
2162,청솔산업,충청남도 아산시 염치읍 쌍죽길 40,"29271, ",반도체 제조용 기계 제조업
2163,청원엔지니어링,충청남도 아산시 음봉면 월랑길 15-6,"31920, ",모터사이클 제조업
2164,초일정밀,충청남도 아산시 둔포면 봉신로 258-58,"25924, ",절삭가공 및 유사처리업
2165,충남이엔씨(주),충청남도 아산시 배방읍 고불로365번길 94 외 3필지,"23991, 23993",아스팔트 콘크리트 및 혼합제품 제조업 외 1 종
2166,충남타이어,"충청남도 아산시 월선길 2 -1(영인면, 영인면 월선리 175-1 제2종근린생활시설 ()","22112, ",타이어 재생업
2167,충만산업,충청남도 아산시 영인면 와신길60번길 99-6 외 2필지,"10802, ",단미 사료 및 기타 사료 제조업
2168,충무정밀(주),충청남도 아산시 배방읍 솔치로 174 외 1필지,"28119, 22241, 22249, 26224, 26295, 26299, 26410, 26421, 26429, 26529, 27212, 27309, 28111, 28112, 28121, 28122, 31311, 31312",기타 전기 변환장치 제조업 외 17 종
2169,충무플라스틱공업,충청남도 아산시 신창면 궁화리 170번지,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종
2170,충부타이어,충청남도 아산시 도고면 온천대로94번길 35,"22112, ",타이어 재생업
2171,충진정밀,충청남도 아산시 음봉면 음봉로 471-42 (충진정밀),"29294, ",주형 및 금형 제조업
2172,충진정밀,충청남도 아산시 음봉면 월산로 75 (충진정밀) 외 1필지,"29294, ",주형 및 금형 제조업
2173,카라이엔지(주),충청남도 아산시 신창면 수장로 107,"29241, ",건설 및 채광용 기계장비 제조업
2174,카이엠 주식회사 제4공장,충청남도 아산시 둔포면 아산밸리남로110번길 77,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2175,카호코리아(주),충청남도 아산시 음봉면 월산로 192-99,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2176,캠트(주),충청남도 아산시 둔포면 신양리 98-7번지 (아산시 봉신로 278-25),"22213, ",플라스틱 시트 및 판 제조업
2177,커피1380,충청남도 아산시 송악면 송악로 53,"10791, ",커피 가공업
2178,케이디이앤씨(주),충청남도 아산시 음봉면 산동로 145-7,"29172, ",공기 조화장치 제조업
2179,케이비아이동국실업(주),충청남도 아산시 선장면 서부남로 100,"30399, ",그 외 자동차용 신품 부품 제조업
2180,케이비아이동국실업(주)아산공장,충청남도 아산시 신창면 서부북로 362,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2181,케이비아이알로이(주),충청남도 아산시 남성길 256 (배미동),"38312, ",금속류 원료 재생업
2182,케이비오토텍(주),충청남도 아산시 탕정면 선문로254번길 10,"29171, 29172, 29174",산업용 냉장 및 냉동 장비 제조업 외 2 종
2183,케이씨비,충청남도 아산시 둔포면 운교길126번길 19 외 2필지,"30399, ",그 외 자동차용 신품 부품 제조업
2184,케이아이호이스트,충청남도 아산시 음봉면 월산로 190-18,"29169, ",기타 물품 취급장비 제조업
2185,케이에스스틸,충청남도 아산시 음봉면 월산로 120,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
2186,케이에스테크,충청남도 아산시 온천대로1122번길 35-8 (득산동),"29294, ",주형 및 금형 제조업
2187,케이에치트레이딩(주),"충청남도 아산시 음봉면 아산밸리로388번길 175, 2동, 3동","30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2188,케이엔솔(주),충청남도 아산시 둔포면 아산밸리로388번길 70,"29172, ",공기 조화장치 제조업
2189,케이엘엠(주),충청남도 아산시 신창면 학성로 70 (총 8 필지) 외 7필지,"23911, ",건설용 석제품 제조업
2190,케이엠엔지니어링(주),충청남도 아산시 둔포면 아산밸리로388번길 48-7,"29272, 29261, 29299",디스플레이 제조용 기계 제조업 외 2 종
2191,케이엠피(주),충청남도 아산시 둔포면 해위안길 108 외 4필지,"18119, 18113",기타 인쇄업 외 1 종
2192,케이테크,충청남도 아산시 둔포면 아산밸리동로 156,"26299, 25999",그 외 기타 전자부품 제조업 외 1 종
2193,케이텍(주),충청남도 아산시 온천대로1182번길 17-31 (득산동),"29294, ",주형 및 금형 제조업
2194,케이텍(주),충청남도 아산시 탕정면 탕정면로313번길 11 (케이텍(주)),"29294, ",주형 및 금형 제조업
2195,케이투시스템이엔지(주),"충청남도 아산시 둔포면 아산밸리로 85, (아산밸리로 85)","25924, ",절삭가공 및 유사처리업
2196,케이피엘,충청남도 아산시 음봉면 연암율금로295번길 78-19,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업
2197,코닝정밀소재(주),충청남도 아산시 탕정면 탕정로 212,"23129, 23122",기타 산업용 유리제품 제조업 외 1 종
2198,코닝정밀소재(주),충청남도 아산시 탕정면 탕정로 181,"23129, 23122",기타 산업용 유리제품 제조업 외 1 종
2199,코라텍 주식회사,충청남도 아산시 배방읍 세출리 165번지 호서대학교 산학협동4호관 307,"27112, ",전기식 진단 및 요법 기기 제조업
2200,코리아웨코스타(주),충청남도 아산시 둔포면 운교길 275-20,"30399, ",그 외 자동차용 신품 부품 제조업
2201,코스모폴(주),충청남도 아산시 둔포면 윤보선로 652-46,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종
2202,코아콘,충청남도 아산시 음봉면 산동로 107 외 5필지,"29172, ",공기 조화장치 제조업
2203,코팁산업(주),충청남도 아산시 온천대로1770번길 63 (남동),"13999, ",그 외 기타 분류 안된 섬유제품 제조업
2204,코파스 주식회사,충청남도 아산시 음봉면 월산로 274-1,"25941, ",볼트 및 너트류 제조업
2205,쿠리타한수 주식회사,충청남도 아산시 둔포면 아산밸리중앙로 160,"29175, ",액체 여과기 제조업
2206,크루셜텍(주),충청남도 아산시 배방읍 호서로79번길 20 (호서대학교),"26121, 26129",발광 다이오드 제조업 외 1 종
2207,크린팩토메이션(주),충청남도 아산시 음봉면 충무로 1110-22,"29199, 29176",그 외 기타 일반목적용 기계 제조업 외 1 종
2208,킹즈메디케어시스템(주),충청남도 아산시 음봉면 월산로201번길 26-31,"18129, 18112",기타 인쇄관련 산업 외 1 종
2209,탑아이,충청남도 아산시 아산호로 1029 (둔포면),"27193, 27301",안경 및 안경렌즈 제조업 외 1 종
2210,탑아이,충청남도 아산시 둔포면 신남길46번길 15-9,"27301, ",광학렌즈 및 광학요소 제조업
2211,탑엠씨테크,충청남도 아산시 산동로 323 -6(음봉면),"29133, ","탭, 밸브 및 유사장치 제조업"
2212,탑이엔지 2공장,충청남도 아산시 음봉면 월산로 214-24,"29272, ",디스플레이 제조용 기계 제조업
2213,탑테이프,충청남도 아산시 신창면 서부북로 388,"22291, 22292",플라스틱 접착처리 제품 제조업 외 1 종
2214,탕정그린영농조합법인,충청남도 아산시 탕정면 용두리 472번지,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업
2215,태경산업,충청남도 아산시 영인면 신봉길 155,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종
2216,태경아이엔디,충청남도 아산시 영인면 신봉길 159,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2217,태경이엔지,충청남도 아산시 연암율금로295번길 68 -49(음봉면),"29299, ",그 외 기타 특수목적용 기계 제조업
2218,태경인터내셔널,"충청남도 아산시 배방읍 호서로 2, C동","20203, ",혼성 및 재생 플라스틱 소재 물질 제조업
2219,태광푸드,충청남도 아산시 음봉면 번지외 1필지,"10212, ",수산동물 건조 및 염장품 제조업
2220,태림포장 주식회사,충청남도 아산시 인주면 인주산단로 123-16 ((주)서영),"30399, 17211, 17212, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 5 종
2221,태성비닐,충청남도 아산시 염치읍 송곡길 165 (염치읍 송곡리 196-9 공장 (김근태)),"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업"
2222,태성연와주식회사,충청남도 아산시 선장면 삽교천로 2-17,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업"
2223,태성이엔지,충청남도 아산시 음봉면 산동로 80-17,"29199, 29176",그 외 기타 일반목적용 기계 제조업 외 1 종
2224,태성이엔지 주식회사,"충청남도 아산시 둔포면 아산밸리로 89, 운용일반산업단지 B-3","26299, ",그 외 기타 전자부품 제조업
2225,태성정밀,충청남도 아산시 신창면 행목로192번길 68-17,"25121, ",산업용 난방보일러 및 방열기 제조업
2226,태성정밀,충청남도 아산시 둔포면 봉신로 258-50,"25924, ",절삭가공 및 유사처리업
2227,태신물산,충청남도 아산시 둔포면 운용리 415번지,"10121, ",가금류 가공 및 저장 처리업
2228,태신정공,충청남도 아산시 음봉면 산동리 171,"29294, ",주형 및 금형 제조업
2229,태아산업,충청남도 아산시 송악면 도송로689번길 10-7,"22232, 22241, 22249",포장용 플라스틱 성형용기 제조업 외 2 종
2230,태양수지,충청남도 아산시 둔포면 이화서길 77-30,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업
2231,태양전기이엔지(주),충청남도 아산시 무궁화로 46-1 (초사동),"25112, ",구조용 금속 판제품 및 공작물 제조업
2232,태영바이오켐,충청남도 아산시 둔포면 이화길65번길 70,"20422, ","치약, 비누 및 기타 세제 제조업"
2233,태을산업가스(주),충청남도 아산시 영인면 영인산로 494,"20121, ",산업용 가스 제조업
2234,태의상사,충청남도 아산시 염치읍 은행나무길215번길 7-4,"31311, 31312","유인 항공기, 항공우주선 및 보조장치 제조업 외 1 종"
2235,태정기공,충청남도 아산시 둔포면 봉신로 258-62 (총 2 필지),"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
2236,태진엔지니어링,충청남도 아산시 둔포면 둔포리 93-1번지 외 2필지,"22212, 22213",플라스틱 필름 제조업 외 1 종
2237,태창레이저,충청남도 아산시 둔포면 아산밸리남로 140,"25929, ",그 외 기타 금속가공업
2238,태창아이앤디(주),충청남도 아산시 선장면 서부남로172번길 16,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2239,태평양에어콘트롤공업(주) (2공장),충청남도 아산시 온천대로1122번길 16-3 (득산동),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2240,태평양에어콘트롤공업(주) 1공장,충청남도 아산시 온천대로1122번길 15-14 (득산동),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2241,태평양에어콘트롤공업(주) 3공장,충청남도 아산시 온천대로1122번길 16-7 (득산동),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2242,태평양에어콘트롤공업(주) 5공장,충청남도 아산시 온천대로1122번길 16-13 (득산동),"30399, ",그 외 자동차용 신품 부품 제조업
2243,태평양에어콘트롤공업(주) 제4공장,충청남도 아산시 득산동 312-42번지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2244,테이진리엘소트코리아(주),"충청남도 아산시 둔포면 충청남도 아산시 둔포면 윤보선로450번길 95-75, 테이진리엘소트코리아","28202, ",축전지 제조업
2245,테크노실업,충청남도 아산시 아산호로638번길 35 -38(영인면),"22249, ",기타 기계.장비 조립용 플라스틱 제품 제조업
2246,트렘코씨피지코리아(유),충청남도 아산시 둔포면 봉재길63번길 9,"20493, ",접착제 및 젤라틴 제조업
2247,티에스모스트(주),충청남도 아산시 음봉면 월암로436번길 79-11,"25912, 25913",금속 단조제품 제조업 외 1 종
2248,티에스빌코리아(주),충청남도 아산시 음봉면 음봉로586번길 41-16,"22223, ",플라스틱 창호 제조업
2249,티에스테크,충청남도 아산시 둔포면 봉신로 258-26,"29271, ",반도체 제조용 기계 제조업
2250,티에스테크,충청남도 아산시 둔포면 장영실로 929-57,"25929, ",그 외 기타 금속가공업
2251,티에스테크 2공장,"충청남도 아산시 배방읍 휴대세교길 231, 1동","28903, 28422, 28423",교통 신호장치 제조업 외 2 종
2252,티엠제이(주),충청남도 아산시 산동로 309 -1(음봉면),"25934, ",톱 및 호환성 공구 제조업
2253,티오피,충청남도 아산시 음봉면 산동리 950-108,"29271, ",반도체 제조용 기계 제조업
2254,티와이테크(주),충청남도 아산시 둔포면 윤보선로336번길 71-42,"30399, 29294",그 외 자동차용 신품 부품 제조업 외 1 종
2255,티와이파우들러(주),충청남도 아산시 둔포면 봉신로 103 외 2필지,"26299, 26295",그 외 기타 전자부품 제조업 외 1 종
2256,티케이씨,충청남도 아산시 음봉면 산동로 296,"22211, ","플라스틱 선, 봉, 관 및 호스 제조업"
2257,파이온시스템,충청남도 아산시 순천향로 22 (신창면) 순천향대 산학협력관 B402호,"28123, 29280",배전반 및 전기 자동제어반 제조업 외 1 종
2258,파이온시스템,"충청남도 아산시 신창면 순천향로 22, B402호, B426호","29280, 28123",산업용 로봇 제조업 외 1 종
2259,파인테크,충청남도 아산시 탕정면 삼성로 331,"25942, 22211, 28123",그 외 금속파스너 및 나사제품 제조업 외 2 종
2260,파인텍,충청남도 아산시 둔포면 아산호로1032번길 77,"20493, ",접착제 및 젤라틴 제조업
2261,포스윈테크,충청남도 아산시 산동로 307 -6(음봉면),"29271, ",반도체 제조용 기계 제조업
2262,포스트마린,충청남도 아산시 염치읍 현대로 243-44,"31113, ",기타 선박 건조업
2263,포엠이노텍(주),"충청남도 아산시 신창면 순천향로 22, E-403호(순천향대학교, 비아이티창업보육센터)","28511, ",주방용 전기기기 제조업
2264,푸드렐라(주),충청남도 아산시 둔포면 충무로 1342,"10121, 10122",가금류 가공 및 저장 처리업 외 1 종
2265,푸른들 영농조합법인,충청남도 아산시 음봉면 충무로676번길 38,"10611, ",곡물 도정업
2266,푸른들영농조합법인 제1공장,충청남도 아산시 영인면 아산호로746번길 93 외 2필지,"10794, 10309",두부 및 유사식품 제조업 외 1 종
2267,푸른들영농조합법인 제2공장,충청남도 아산시 영인면 신봉길 271-106 (영인면 신봉리 987 공장 (푸른들영농조합법) 외 1필지,"10794, ",두부 및 유사식품 제조업
2268,풍성기업,충청남도 아산시 월암로436번길 79 -20(음봉면),"13999, ",그 외 기타 분류 안된 섬유제품 제조업
2269,프라임미강(주),충청남도 아산시 아산호로 133 (영인면),"10611, 10802",곡물 도정업 외 1 종
2270,프레뉴,"충청남도 아산시 선문로221번길 70 (탕정면, 선문대학교) 산학협력관 417B호","29272, ",디스플레이 제조용 기계 제조업
2271,프로미스(주),충청남도 아산시 음봉면 월암로 336-43,"29271, ",반도체 제조용 기계 제조업
2272,프리시젼 다이아몬드(주),충청남도 아산시 음봉면 산동로59번길 29,"25934, ",톱 및 호환성 공구 제조업
2273,플라즈코(주),충청남도 아산시 부엉산길 68 (선장면),"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업"
2274,피에이치에이(주),충청남도 아산시 영인면 아산로1233번길 21-5,"30320, ",자동차 차체용 신품 부품 제조업
2275,피에이치에이에차 유한회사,충청남도 아산시 영인면 월선리 59-3,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
2276,피엔텍(주),충청남도 아산시 음봉면 의식리 24-21,"29271, ",반도체 제조용 기계 제조업
2277,피코씨스,충청남도 아산시 염치읍 송곡길 145,"29271, ",반도체 제조용 기계 제조업
2278,필립이엔씨,충청남도 아산시 음봉면 월산로 209,"25929, ",그 외 기타 금속가공업
2279,하나더블유엘에스(주),충청남도 아산시 음봉면 연암율금로 77,"26111, 26112",메모리용 전자집적회로 제조업 외 1 종
2280,하나로천막,"충청남도 아산시 둔포면 해위길 135, 외 2필지","13224, 13229","천막, 텐트 및 유사 제품 제조업 외 1 종"
2281,하나마이크론(주),충청남도 아산시 음봉면 연암율금로 77,"26111, 26112, 26321",메모리용 전자집적회로 제조업 외 2 종
2282,하나머티리얼즈(주),충청남도 아산시 음봉면 연암율금로 77-24,"26129, ",기타 반도체소자 제조업
2283,하나비젼특장,충청남도 아산시 둔포면 봉신로230번길 46-7,"30201, 30202",차체 및 특장차 제조업 외 1 종
