순번,회사명,대표업종차수,대표업종번호,업종번호,업종명,시도,시군구,사업유형,남종업원,여종업원,외국인(남),외국인(여),종업원수
12762,진테크,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,아산시,제조업,3,1,0,0,4
12763,진테크,11,25112,"25112, 25929, 28909, 30391, 30392, 30399, 30400, 31114, 31202",구조용 금속 판제품 및 공작물 제조업 외 8 종,충청남도,금산군,제조업,20,,,,20
12764,진테크(주),11,30320,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종,충청남도,아산시,제조업,40,5,0,0,45
12765,진테크(주),11,30320,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종,충청남도,예산군,제조업,35,20,5,,60
12766,진푸드,11,10602,"10602, ",빵류 제조업,충청남도,천안시 서북구,제조업,5,10,0,0,15
12767,진한ENG,11,28909,"28909, ",그 외 기타 전기장비 제조업,충청남도,아산시,제조업,2,0,,,2
12768,진현민(주),11,68112,"68112, ",비주거용 건물 임대업,충청남도,논산시,제조업,0,0,0,0,0
12769,진현산업,11,25119,"25119, ",기타 구조용 금속제품 제조업,충청남도,당진시,제조업,12,5,,,17
12770,진혜정공,11,25913,"25913, 25914, 25941, 25942, 25999",자동차용 금속 압형제품 제조업 외 4 종,충청남도,천안시 동남구,제조업,4,0,7,0,11
12771,진호산업,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,금산군,제조업,4,1,,,5
12772,진호테크,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,천안시 서북구,제조업,5,1,,,6
12773,진화케이블,11,28302,"28302, ",기타 절연선 및 케이블 제조업,충청남도,천안시 동남구,제조업,5,2,,,7
12774,진흥TECH,11,24290,"24290, ",기타 1차 비철금속 제조업,충청남도,당진시,제조업,2,1,,,3
12775,진흥건설공업(주),11,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,논산시,제조업,4,1,0,0,5
12776,진흥기계,11,34019,"34019, ",기타 일반 기계 및 장비 수리업,충청남도,태안군,제조업,1,1,,,2
12777,진흥기공사,11,25113,"25113, 25114, 28410, 28422",육상 금속 골조 구조재 제조업 외 3 종,충청남도,보령시,제조업,4,1,0,0,5
12778,진흥기업사,,,", ",,충청남도,보령시,제조업,8,0,0,0,8
12779,진흥이앤씨(주),11,29229,"29229, 29176",기타 가공 공작기계 제조업 외 1 종,충청남도,공주시,제조업,4,2,0,0,6
12780,진흥자동차공업(주),11,29241,"29241, ",건설 및 채광용 기계장비 제조업,충청남도,청양군,제조업,13,2,0,0,15
12781,진흥정공,11,31202,"31202, ",철도차량 부품 및 관련 장치물 제조업,충청남도,천안시 서북구,제조업,5,0,0,0,5
12782,진흥정밀,11,29271,"29271, 29293",반도체 제조용 기계 제조업 외 1 종,충청남도,천안시 서북구,제조업,5,1,0,0,6
12783,진흥콘크리트,11,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",충청남도,공주시,제조업,4,0,0,0,4
12784,진흥테크,11,29272,"29272, ",디스플레이 제조용 기계 제조업,충청남도,아산시,제조업,5,0,0,0,5
12785,차테크,11,25999,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업,충청남도,아산시,제조업,2,,,,2
12786,착한화장지,11,17902,"17902, ",위생용 종이제품 제조업,충청남도,금산군,제조업,9,,,,9
12787,찬울산업,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,아산시,제조업,10,1,0,0,11
12788,찬찬산업,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,아산시,제조업,3,1,0,0,4
12789,참맛김치,11,10301,"10301, 10302",김치류 제조업 외 1 종,충청남도,천안시 동남구,제조업,2,2,0,0,4
12790,참맛나라,11,10211,"10211, ","수산동물 훈제, 조리 및 유사 조제식품 제조업",충청남도,서산시,제조업,10,10,,,20
12791,참바다수산,11,10211,"10211, 10213","수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종",충청남도,태안군,제조업,4,,,,4
12792,참빛기술,11,25924,"25924, ",절삭가공 및 유사처리업,충청남도,아산시,제조업,1,,,,1
12793,참살이식품,11,10301,"10301, 10122, 10129, 10302",김치류 제조업 외 3 종,충청남도,논산시,제조업,2,8,0,0,10
12794,참생명,11,10896,"10896, ",건강보조용 액화식품 제조업,충청남도,계룡시,제조업,2,0,0,0,2
12795,참자연주식회사,11,10899,"10899, 10892",그 외 기타 식료품 제조업 외 1 종,충청남도,천안시 서북구,제조업,1,1,,,2
12796,참자연주식회사,11,10512,"10512, ",곡물 제분업,충청남도,아산시,제조업,1,2,0,0,3
12797,참퍼니처,11,32029,"32029, 32021",기타 목재가구 제조업 외 1 종,충청남도,아산시,제조업,5,0,0,0,5
12798,창대산업,11,30320,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종,충청남도,천안시 서북구,제조업,9,1,0,0,10
