순번,회사명,대표자명,공장대표주소(도로명),업종명
171,상삼화학,박영철,"부산광역시 금정구 반송로 462-6 (금사동, 상삼화학)",플라스틱 필름 제조업 외 1 종
172,상우정밀,최상익,부산광역시 금정구 공단로50번길 9 (금사동),주형 및 금형 제조업
173,새천년광고(주),오중기,"부산광역시 금정구 무학송로 145 (부곡동, 새천년광고(주))",전시 및 광고용 조명장치 제조업 외 1 종
174,서광인포컴(주),임정숙,"부산광역시 금정구 청룡예전로99번길 11 (청룡동, 동성)",방송장비 제조업 외 4 종
175,서밋닷컴 주식회사 부산지사,최정윤,부산광역시 금정구 공단로39번길 27 (금사동) 3층,"근무복, 작업복 및 유사의복 제조업 외 17 종"
176,서진어패럴,이채옥,부산광역시 금정구 금사로 27 (서동),"근무복, 작업복 및 유사의복 제조업 외 4 종"
177,성원전자,김동욱,부산광역시 금정구 개좌로 71 (금사동),메모리용 전자집적회로 제조업 외 1 종
178,성진정공,정명숙,부산광역시 금정구 개좌로 53 (금사동),육상 금속 골조 구조재 제조업 외 4 종
179,세기어닝시스템,조병곤,부산광역시 금정구 공단로50번길 11 (금사동),"천막, 텐트 및 유사 제품 제조업 외 1 종"
180,세방테크노,황홍석,"부산광역시 금정구 개좌로 62 (금사동, 국일반점)",그 외 기타 일반목적용 기계 제조업 외 1 종
181,세영섬유,길판순,부산광역시 금정구 개좌로 165 (회동동) 3층,그 외 기타 봉제의복 제조업
182,세일통영주식회사,이명숙,"부산광역시 금정구 반송로 476-15 (금사동, 세일(주))",기타 신발 제조업
183,세종금속,양덕봉,부산광역시 금정구 체육공원로 150 (구서동),기타 1차 비철금속 제조업 외 1 종
184,세한포장공업사,박무웅,"부산광역시 금정구 개좌로 207-1 (회동동, 새한포장공업사)",골판지 제조업 외 1 종
185,세화씨푸드(주),배기일,부산광역시 금정구 회천로26번길 31 (회동동),수산식물 가공 및 저장 처리업
186,세화씨푸드(주) 제2공장,배기일,부산광역시 금정구 회천로26번길 33 (회동동),수산식물 가공 및 저장 처리업
187,셀락코리아,이남훈,부산광역시 금정구 반송로 446-1 (금사동),일반용 도료 및 관련제품 제조업 외 5 종
188,수중모터 주식회사,안중진,부산광역시 금정구 동대로 20 (회동동),배전반 및 전기 자동제어반 제조업
189,승원모직,최원수,"부산광역시 금정구 공단서로 27 (금사동, 승원모직)",모 방적업 외 8 종
190,신광포장산업사,박미희,"부산광역시 금정구 동부곡로27번길 71, 지하 (부곡동, 아름마트)",직물포대 제조업
191,신기화학,김갑순,"부산광역시 금정구 수원지로 10-1 (회동동, 신기화학)",포장용 플라스틱 성형용기 제조업 외 2 종
192,신림포장공업사,정병재,부산광역시 금정구 두구로 69 (두구동),판지 상자 및 용기 제조업
193,신미섬유,남영애,"부산광역시 금정구 회천로 54 (회동동, 일성전기)",연사 및 가공사 제조업
194,신성씨피알,김홍기,"부산광역시 금정구 공단동로41번길 10, 6층 607 (금사동) 6층 607호",배전반 및 전기 자동제어반 제조업 외 8 종
195,신욱전자,신충열,"부산광역시 금정구 수원지로 14 (회동동, 신욱전자)",산업용 로봇 제조업
196,신화산업,김덕수,"부산광역시 금정구 공단서로8번길 80-5 (금사동, 욱일산업(주))",구두류 제조업 외 1 종
197,쎄븐어페럴,황옥희,"부산광역시 금정구 삼어로 204, 3층(금사동)",남자용 겉옷 제조업 외 4 종
198,아성사,박영환,"부산광역시 금정구 공단로 27 (금사동, 아성사)",그 외 기타 플라스틱 제품 제조업
199,안락어망,김광욱,"부산광역시 금정구 삼어로 230 (금사동, 부일정밀)",어망 및 기타 끈 가공품 제조업
200,에스피정공,김상호,부산광역시 금정구 반송로490번길 12-8 (금사동),디지털 적층 성형기계 제조업 외 1 종
201,엘리시온,노현석,"부산광역시 금정구 회천로26번길 27 (회동동, 엘리시온)",과자류 및 코코아 제품 제조업
202,엠에스건철주식회사,박성구,부산광역시 금정구 공단로 68-37 (금사동),"금속 문, 창, 셔터 및 관련제품 제조업"
203,영광시스템,이현희,"부산광역시 금정구 개좌로 200 (회동동, 영광시스템)",금속 가구 제조업
204,영진실업주식회사,"권태완,권중한",부산광역시 금정구 수원지로22번길 64 (회동동),구두류 제조업 외 1 종
205,영풍정밀(주),한석운,"부산광역시 금정구 동천로7번길 34-15 (회동동, 영풍정밀)",그 외 기타 전자부품 제조업 외 1 종
206,오성계기,김종분,"부산광역시 금정구 부곡로 127 (부곡동, 부곡엘지아파트)","전자기 측정, 시험 및 분석기구 제조업"
207,왕성정밀,박재준,"부산광역시 금정구 개좌로 47 (금사동, 금강정밀)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
208,용진H&C,김인숙,"부산광역시 금정구 동천로7번길 2 (회동동, 성진산업)",고무패킹류 제조업 외 61 종
209,우영식품,성영란,부산광역시 금정구 회천로32번길 25 (회동동),빵류 제조업
210,우영종합주방설비,우영식,부산광역시 금정구 동대로 20 (회동동) 외 1필지,음ㆍ식료품 및 담배 가공기계 제조업 외 10 종
211,우일정밀,유재덕,"부산광역시 금정구 공단서로 6 (금사동, 대원산업사)",자동차 엔진용 신품 부품 제조업 외 2 종
212,우주산업,"문순애, 김학성",부산광역시 금정구 공단동로29번길 55 (금사동),침구 및 관련제품 제조업 외 19 종
