산업분류,연제구 사업체수,연제구 종사자수,거제1동 사업체수,거제1동 종사자수,거제2동 사업체수,거제2동 종사자수,거제3동 사업체수,거제3동 종사자수,거제4동 사업체수,거제4동 종사자수,연산1동 사업체수,연산1동 종사자수,연산2동 사업체수,연산2동 종사자수,연산3동 사업체수,연산3동 종사자수,연산4동 사업체수,연산4동 종사자수,연산5동 사업체수,연산5동 종사자수,연산6동 사업체수,연산6동 종사자수,연산8동 사업체수,연산8동 종사자수,연산9동 사업체수,연산9동 종사자수
" 272.측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",4,10,2,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,1,X,0,0
 273.사진장비 및 광학기기 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 274.시계 및 시계부품 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 28.전기장비 제조업,46,196,2,X,2,X,3,28,3,17,3,17,1,X,0,0,2,X,11,41,5,5,4,7,10,38
" 281.전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",19,100,1,X,2,X,1,X,1,X,1,X,1,X,0,0,0,0,7,31,1,X,0,0,4,15
 282.일차전지 및 축전지 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 283.절연선 및 케이블 제조업,1,X,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 284.전구 및 조명장치 제조업,23,85,0,0,0,0,2,X,1,X,2,X,0,0,0,0,1,X,3,9,4,4,4,7,6,23
 285.가정용 기기 제조업,2,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,1,X,0,0,0,0,0,0
 289.기타 전기장비 제조업,1,X,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 29.기타 기계 및 장비 제조업,37,144,7,25,4,40,3,3,0,0,4,35,2,X,0,0,4,5,0,0,1,X,3,14,9,18
 291.일반 목적용 기계 제조업,29,123,7,25,4,40,2,X,0,0,4,35,2,X,0,0,1,X,0,0,1,X,1,X,7,15
 292.특수 목적용 기계 제조업,8,21,0,0,0,0,1,X,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,X,2,X
 30.자동차 및 트레일러 제조업,3,6,0,0,1,X,1,X,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
