title,description,link,pubDate
"SK텔레콤(017670), 실적 부진 속 AI 확장…효과 주목",첫번째 투자 포인트는 <b>앤트로픽</b>과의 전략적 파트너십이다. 대규모언어모델(LLM) '클로드'의 개발사인 <b>앤트로픽</b>에 약 1억달러를 투자하며 강력한 기술 동맹을 맺었다. 자사 AI 비서 서비스인 '에이닷(A.)'에 '클로드'를... ,https://www.incheonilbo.com/news/articleView.html?idxno=1320223,"Sun, 05 Apr 2026 16:00:00 +0900"
[안광섭의 AI 진테제] <b>앤트로픽</b> 소스코드 유출이 뜻하는 것,"지난 3월 31일, 미국 <b>앤트로픽</b>(Anthropic)의 AI 코딩 에이전트 클로드 코드(Claude Code)의 전체 소스코드가 유출되는 사건이 발생했다. npm(개발자용 패키지 저장소) 배포 버전에 소스맵 파일(원본 코드 복원용 디버깅 파일)... ",https://n.news.naver.com/mnews/article/092/0002417490?sid=105,"Sun, 05 Apr 2026 15:22:00 +0900"
"영국 정부, <b>앤트로픽</b> 영국 사업 확장 유치 추진","기업 <b>앤트로픽</b>의 영국 내 사업 확장을 유치하기 위해 런던 사무소 확대와 이중 상장 등 다양한 방안을 제시한 것으로 전해졌다. 파이낸셜타임스를 인용한 PANews 보도에 따르면, 영국 과학기술혁신부는 <b>앤트로픽</b>이 영국 내... ",https://www.tokenpost.kr/news/breaking/346457,"Sun, 05 Apr 2026 14:18:00 +0900"
카드로 보는 시사상식 [2026년 04월 첫째 주_시선뉴스],<b>앤트로픽</b> '<b>앤트로픽</b>(Anthropic)'은 2021년 오픈AI 출신 연구자인 다리오 아모데이와 다니엘라 아모데이 남매를 중심으로 설립된 인공지능이다. AI 기술 개발에 있어 '안전'과 '규제'를 최우선 가치로... ,http://www.sisunnews.co.kr/news/articleView.html?idxno=236279,"Sun, 05 Apr 2026 13:00:00 +0900"
데이터 전문 머코어 해킹으로 주요 AI 기업 '학습 비밀' 유출 비상,"변조된 '라이트LLM(LiteLLM)' 오픈소스 라이브러리를 이용한 이번 침해는 오픈AI와 <b>앤트로픽</b>의 조사를... 이 회사의 고객으로는 메타를 비롯해 오픈AI, <b>앤트로픽</b>, 구글 등이 있다. 보안 전문 업체들의 분석에 따르면... ",https://www.aitimes.com/news/articleView.html?idxno=208814,"Sun, 05 Apr 2026 11:54:00 +0900"
"메타 지원 데이터센터, 4.5조원 자금 조달 추진","구글도 텍사스에서 <b>앤트로픽</b>이 임차하는 대규모 데이터센터에 재정 지원을 제공할 계획이며, 해당 시설은 자체 가스터빈으로 전력을 공급받을 예정이다. 프로젝트 월아이는 초기 몇 년간 자체 마이크로그리드를 통해... ",https://n.news.naver.com/mnews/article/092/0002417473?sid=105,"Sun, 05 Apr 2026 11:47:00 +0900"
<b>앤트로픽</b> '클로드 코드' 외부 도구 연동 시 별도 과금…오픈클로 직격,<b>앤트로픽</b>이 인공지능(AI) 코딩 도구 '클로드 코드(Claude Code)'에서 외부 연동 도구(3rd party harness) 사용에 별도... <b>앤트로픽</b>은 4일(현지시각)부터 클로드에서 제공하던 기본 사용량을 오픈클로 등 외부 연동 도구에 사용할... ,https://it.chosun.com/news/articleView.html?idxno=2023092159859,"Sun, 05 Apr 2026 11:06:00 +0900"
클로드 월 구독제로 '오픈클로' 못 쓴다...&quot;시스템에 과도한 부담&quot;,<b>앤트로픽</b>이 수요 급증에 대응하기 위해 인기 AI 에이전트 '오픈클로'에 대한 '클로드' 구독 지원을... 지불하거나 <b>앤트로픽</b> 개발자 플랫폼을 통해 별도의 API를 사용해야 한다고 설명했다. 이번 조치는... ,https://www.aitimes.com/news/articleView.html?idxno=208811,"Sun, 05 Apr 2026 10:26:00 +0900"
"<b>앤트로픽</b>, &quot;클로드 코드 구독자, 오픈클로 지원은 별도 청구&quot;",<b>앤트로픽</b> 클로드. [사진: 셔터스톡] <b>앤트로픽</b>이 4일 정오부터 클로드 코드 구독자의 오픈클로(OpenClaw) 등 외부 도구 연동 사용에 구독 한도를 적용하지 않는다. 4일(현지시간) IT매체 테크크런치에 따르면 해당 사용량은... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=653664,"Sun, 05 Apr 2026 09:22:00 +0900"
&quot;AI에이전트 해커가 온다...사이버 보안 역사에 전환점&quot;,<b>앤트로픽</b>이 최근 유출된 블로그 초안에서 새로 개발 중인 AI 모델 클로드 '미토스'(Mythos) 등이 기존과 비교할 수 없는 속도로 보안 취약점을 찾아 공격할 수 있다는 점을 경고했다. <b>앤트로픽</b>은 &quot;미토스는 방어자들이... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=653642,"Sun, 05 Apr 2026 08:18:00 +0900"
