순번,회사명,공장소재지주소,생산품,업종명,데이터기준일자
1166,유승산업,경상북도 포항시 남구 연일읍 동문로54번길 29,제철설비 부품제작,절삭가공 및 유사처리업,2025-08-13
1167,유일사,경상북도 포항시 북구 중흥로171번길 20 (죽도동),옥외광고물,간판 및 광고물 제조업,2025-08-13
1168,유진엔지니어링,경상북도 포항시 남구 연일읍 형산강남로 428-6 외 2필지,산업기계 및 부품,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1169,유진테크,경상북도 포항시 남구 오천읍 문덕로64번길 9-1,"배전반, 자동제어반",배전반 및 전기 자동제어반 제조업 외 2 종,2025-08-13
1170,유징테크(주),경상북도 포항시 남구 효성로 70-22 (효자동),전기판넬,배전반 및 전기 자동제어반 제조업,2025-08-13
1171,은성이엔지,경상북도 포항시 남구 연일읍 중단길4번길 3,"전기판넬, 수배전반, PLC",배전반 및 전기 자동제어반 제조업,2025-08-13
1172,은성이엔지,경상북도 포항시 남구 대송면 장흥로 38-31,"전기판넬, 수배전반, PLC",전기회로 접속장치 제조업 외 1 종,2025-08-13
1173,이노바에프에이,경상북도 포항시 남구 연일읍 동문로94번길 26-8,"수배전반, 고저압반, 판넬류",배전반 및 전기 자동제어반 제조업 외 1 종,2025-08-13
1174,이동종합정비,경상북도 포항시 남구 연일읍 철강로107번길 20,건설기계 중장비부품,건설 및 채광용 기계장비 제조업,2025-08-13
1175,이레테크,경상북도 포항시 남구 연일읍 적계지길 22,pole외 기타특수 목적용품,그 외 기타 특수목적용 기계 제조업,2025-08-13
1176,이비덴그라파이트코리아(주),경상북도 포항시 북구 흥해읍 영일만산단남로75번길 41,흑연(특수탄소)제품,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,2025-08-13
1177,이스온 태양광발전소,경상북도 포항시 북구 흥해읍 영일만산단로118번길 151,전기,태양력 발전업,2025-08-13
1178,이아보트,"경상북도 포항시 북구 청하면 동해대로 2349, (A동 우측)",패들보트,오락 및 스포츠용 보트 건조업,2025-08-13
1179,이원스틸산업(주),경상북도 포항시 남구 연일읍 형산강남로418번길 69 (이원스틸산업),금속판제품,구조용 금속 판제품 및 공작물 제조업,2025-08-13
1180,이젠테크 2호태양광발전소,경상북도 포항시 남구 동해면 블루밸리동로248번길 8-17,전력생산,태양력 발전업,2025-08-13
1181,이젠테크1호태양광발전소,경상북도 포항시 남구 동해면 블루밸리동로248번길 8-17,전력생산,태양력 발전업,2025-08-13
1182,이젠테크3호태양광발전소,경상북도 포항시 남구 동해면 블루밸리동로248번길 8-17,전력생산,태양력 발전업,2025-08-13
1183,익산공업,경상북도 포항시 남구 연일읍 동문로94번길 42-8 (플러스정밀),압력탱크,금속탱크 및 저장용기 제조업 외 2 종,2025-08-13
1184,인스테크(주),경상북도 포항시 남구 오천읍 송덕로212번길 53,산업기계,그 외 기타 일반목적용 기계 제조업,2025-08-13
1185,인텍토요(주),경상북도 포항시 북구 청하면 사방공원길 188,철피복합내화물,정형 내화 요업제품 제조업 외 1 종,2025-08-13
1186,인텔철강(주),경상북도 포항시 북구 흥해읍 덕장길16번길 50 (총 14 필지),"가드레일, 철판망,데크플레이트",구조용 금속 판제품 및 공작물 제조업 외 5 종,2025-08-13
1187,인포나인(주),"경상북도 포항시 북구 흥해읍 신덕로 60, 101호 (포항대학)",IOT지수측정 장치,전자감지장치 제조업,2025-08-13
1188,인포디자인,경상북도 포항시 북구 불종로28번길 7 (대흥동),"간판, 현수막, 아크릴 박스, 현황판",간판 및 광고물 제조업,2025-08-13
1189,일성벤딩,경상북도 포항시 남구 연일읍 형산강남로418번길 55,"벤딩,철구조물",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1190,일신기업,경상북도 포항시 남구 연일읍 형산강남로418번길 66-22,기어,기어 및 동력전달장치 제조업,2025-08-13
1191,일신기업사,경상북도 포항시남구 연일읍 오천리 166-14번지,배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
1192,일진기업,경상북도 포항시 남구 연일읍 형산강남로380번길 19 ((주)두양건설공업) 외 2필지,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1193,일진테크,경상북도 포항시 남구 연일읍 형산강남로418번길 74-12 외 1필지,철구조재,육상 금속 골조 구조재 제조업 외 4 종,2025-08-13
1194,재상스틸 ,경상북도 포항시 남구 오천읍 철강산단로130번길 187-4 외 1필지,임대 ,비주거용 건물 임대업,2025-08-13
1195,재영산업,경상북도 포항시 북구 흥해읍 금장리 422번지 외 1필지,내진 및 재진 댐퍼,기타 구조용 금속제품 제조업,2025-08-13
1196,재영산업,경상북도 포항시 북구 흥해읍 용금길 189,내진구조물,기타 구조용 금속제품 제조업,2025-08-13
1197,재원TECH,경상북도 포항시 남구 대송면 장흥로 24 외 1필지,전기자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
1198,정무하이테크,경상북도 포항시 남구 연일읍 철강로107번길 59,산업기계 설비,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1199,정신기계(주),경상북도 포항시 북구 흥해읍 덕장길 21 외 1필지,"펌프, 광물취급장비",액체 펌프 제조업 외 1 종,2025-08-13
1200,정우ENG,경상북도 포항시 남구 연일읍 형산강남로380번길 21,"롤, 산업용기계",그 외 기타 특수목적용 기계 제조업,2025-08-13
1201,정일중기정비,경상북도 포항시 남구 정몽주로 893 (청림동) (총 2 필지) 외 1필지,중기정비,건설 및 채광용 기계장비 제조업,2025-08-13
1202,정화식품,경상북도 포항시 북구 중앙로419번길 12-1 (우현동),조미오징어,"수산동물 훈제, 조리 및 유사 조제식품 제조업",2025-08-13
1203,정화식품(주),경상북도 포항시 북구 청하면 해안로 2415-21 외 7필지,조미오징어,"수산동물 훈제, 조리 및 유사 조제식품 제조업",2025-08-13
1204,정화식품(주)(냉동지점),경상북도 포항시 북구 해동로 313 (동빈1가) 외 1필지,식용얼음,얼음 제조업,2025-08-13
1205,제이스틸(주),경상북도 포항시남구 구룡포읍 성동리 400번지 외 1필지 외 1필지,스틸와이어,철강선 제조업,2025-08-13
1206,제이티아이 주식회사,"경상북도 포항시 남구 연일읍 철강로107번길 26,가동 (연일읍)","전동기, 발전기",전동기 및 발전기 제조업 외 4 종,2025-08-13
1207,제일산기(주),경상북도 포항시 남구 오천읍 철강산단로130번길 207-2 (오천읍),"Briquetting Machine, 산업기계 ",그 외 기타 특수목적용 기계 제조업 외 3 종,2025-08-13
1208,제일연마공업(주),경상북도 포항시 남구 대송로101번길 34 (장흥동),연마지석,연마재 제조업,2025-08-13
1209,제일정밀,경상북도 포항시 남구 연일읍 철강로107번길 60,실린더 롤러,금속 절삭기계 제조업,2025-08-13
1210,조령산업(주),경상북도 포항시남구 장흥동 1825번지,산화철,기타 기초 무기 화학물질 제조업,2025-08-13
1211,조선내화(주) 포항공장,경상북도 포항시 남구 괴동로 114 외 4필지,내화연와,정형 내화 요업제품 제조업 외 1 종,2025-08-13
1212,조선내화(주) 포항제2공장,경상북도 포항시 남구 괴동로 42 (장흥동),내화연와,정형 내화 요업제품 제조업 외 1 종,2025-08-13
1213,조선선재(주) 제1공장,"경상북도 포항시 남구 괴동로 43 (장흥동, 조선선재(주))",용접재료 등,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-08-13
1214,조선선재(주) 제2공장,"경상북도 포항시 남구 괴동로 6(장흥동, 조선선재(주)) 외 1필지",용접재료,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-08-13
1215,종은라운드폴리,경상북도 포항시 남구 연일읍 동문로54번길 23,"캐노피(비가림),자전거보관소,스텐가공",구조용 금속 판제품 및 공작물 제조업,2025-08-13
1216,주식회사 가가,경상북도 포항시 남구 대이로59번길 9 (대잠동) 동제빌딩 2층,레이더센서,그 외 기타 전자부품 제조업 외 2 종,2025-08-13
1217,주식회사 국민기계,경상북도 포항시 남구 연일읍 형산강남로418번길 66-1,철강 제조공정 연구장치 외,그 외 기타 특수목적용 기계 제조업,2025-08-13
1218,주식회사 남경,경상북도 포항시 남구 연일읍 중단길 12,생산품 환경측정기,"전자기 측정, 시험 및 분석기구 제조업",2025-08-13
1219,주식회사 동영엔터프라이즈,경상북도 포항시 북구 기계면 성계길 226,플라스틱 ,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",2025-08-13
1220,주식회사 동우,경상북도 포항시 남구 연일읍 철강로141번길 53-10,자동화기계,그 외 기타 일반목적용 기계 제조업,2025-08-13
1221,주식회사 든든푸드,경상북도 포항시 남구 구룡포읍 병포길 106,전복죽,"수산동물 훈제, 조리 및 유사 조제식품 제조업",2025-08-13
1222,주식회사 디에스시스템,경상북도 포항시 남구 대송면 운제로 29,"전기판넬, 수배전반, PLC",배전반 및 전기 자동제어반 제조업,2025-08-13
1223,주식회사 리코디오코리아,경상북도 포항시 북구 흥해읍 삼흥로502번길 25-15,이동식 부스,기타 구조용 금속제품 제조업,2025-08-13
1224,주식회사 맥스퍼,경상북도 포항시 남구 대송면 장흥로 38-42,전기 자동제어반 소형마그네틱 커플링,배전반 및 전기 자동제어반 제조업,2025-08-13
1225,주식회사 미르텍,"경상북도 포항시 북구 장량로17번길 30, 103호 (장성동)",라디오재방송,방송장비 제조업,2025-08-13
1226,주식회사 미르퍼니처,경상북도 포항시 북구 흥해읍 동해대로 1075,씽크대 및 가구제작,주방용 및 음식점용 목재가구 제조업,2025-08-13
1227,주식회사 미스터시스템,경상북도 포항시 남구 오천읍 냉천로284번길 37-6,"전력감시시스템, 로컬판넬",배전반 및 전기 자동제어반 제조업,2025-08-13
1228,주식회사 비에스,경상북도 포항시 북구 법원로116번길 49-7 (장성동),"무인사진촬영장치, 키오스크",기타 광학기기 및 사진기 제조업,2025-08-13
1229,주식회사 신화티엔씨,경상북도 포항시 북구 포스코대로 317-27 (죽도동),전기조명장치,일반용 전기 조명장치 제조업,2025-08-13
1230,주식회사 싸이오,"경상북도 포항시 북구 흥해읍 융합기술로 66, 402, 403호",대기오염물질 흡착제,기타 기초 무기 화학물질 제조업,2025-08-13
1231,주식회사 아이애드,경상북도 포항시 북구 대곡로43번길 3-3(두호동),"안전표지판, 아크릴간판, 현수막 등",전시 및 광고용 조명장치 제조업 외 4 종,2025-08-13
1232,주식회사 아이테크,경상북도 포항시 남구 대송면 장흥로 38-45,"완철밴드, 완철밴드, 완철밴드, 완철밴드",육상 금속 골조 구조재 제조업 외 3 종,2025-08-13
1233,주식회사 안전티앤에프,경상북도 포항시 남구 대이로175번길 21-13 (이동),"LED바닥 신호등, 유도블록 및 교통시설물",교통 신호장치 제조업 외 2 종,2025-08-13
1234,주식회사 어업회사법인 바다36,경상북도 포항시 남구 구룡포읍 일출로 308-26,과메기,수산동물 건조 및 염장품 제조업,2025-08-13
1235,주식회사 에스이넷 포항방송,경상북도 포항시 남구 송림로55번길 12 (송도동),"태양광표지병,LED 조명, 태양광표지병,LED 조명, 태양광표지병,LED 조명, 태양광표지병,LED 조명, 태양광표지병,LED 조명, 태양광표지병,LED 조명",전구 및 램프 제조업 외 5 종,2025-08-13
1236,주식회사 에스지아이엔씨,경상북도 포항시 남구 대송면 철강로 170-9,산업자동제어장비. 전기제어판넬,배전반 및 전기 자동제어반 제조업,2025-08-13
1237,주식회사 에이멕,"경상북도 포항시 북구 흥해읍 융합기술로 66, 504, 505호",방열모듈(방열소재),일반용 도료 및 관련제품 제조업,2025-08-13
1238,주식회사 에이엔이,경상북도 포항시 남구 대송면 제내길31번길 35,"압축기, 압축기 수리",기체 펌프 및 압축기 제조업 외 1 종,2025-08-13
1239,주식회사 엔다이브,경상북도 포항시 북구 흥해읍 죽천리 701-2번지,전기,기타 발전업 외 2 종,2025-08-13
1240,주식회사 엘케이앤텍,"경상북도 포항시 북구 법원로139번길 14, A동 (장성동)","메시망 분급틀, 메시망 분급틀 자동화 설비",광물처리 및 취급장비 제조업 외 1 종,2025-08-13
1241,주식회사 엠아이티,경상북도 포항시 남구 희망대로 1025 (해도동),"유압제품, 오일흡착제, 작업등브라켓트",유압기기 제조업,2025-08-13
1242,주식회사 엠엑스 디 정원,"경상북도 포항시 북구 청하면 동해대로 2490-17 가동, 다동 주식회사 엠엑스 디 정원",안치단,그 외 기타 분류 안된 금속 가공 제품 제조업,2025-08-13
1243,주식회사 오픈인,경상북도 포항시 남구 대이로60번길 4-10 (대잠동) 1층,"분석자동화장비, 3D 측정기, 자동화시스템",산업용 로봇 제조업,2025-08-13
1244,주식회사 유니코정밀화학,경상북도 포항시 남구 섬안로46번길 15 (괴동동) 외 1필지,"표면처리제, 방식제, 분산제 외, 표면처리제, 방식제, 분산제 외",그 외 기타 분류 안된 화학제품 제조업 외 1 종,2025-08-13
1245,주식회사 유성이앤지,"경상북도 포항시 남구 대송면 운제로 23, 주식회사 유성이앤지","유압, 공압기기",유압기기 제조업,2025-08-13
1246,주식회사 유투엔지,"경상북도 포항시 북구 흥해읍 융합기술로 66, 501호",통신장비,시스템 소프트웨어 개발 및 공급업 외 3 종,2025-08-13
1247,주식회사 이브이세상,경상북도 포항시 북구 청하면 동해대로 2055,전기차충전기,기타 전기 변환장치 제조업,2025-08-13
1248,주식회사 이에스,경상북도 포항시 남구 청림남길 64 (청림동),산업용 청소장비,그 외 기타 일반목적용 기계 제조업,2025-08-13
1249,주식회사 이필알티,경상북도 포항시북구 청하면 하대리 424-21번지 외 1필지,"철구조물, 철구조물",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1250,주식회사 일성테크,경상북도 포항시 남구 연일읍 철강로107번길 64-1,"산업기계제작 및 가공, 조립",그 외 기타 금속가공업,2025-08-13
1251,주식회사 장호이앤티,경상북도 포항시 남구 연일읍 철강로 123-8,"철 구조물, 일반산업기계류",육상 금속 골조 구조재 제조업,2025-08-13
1252,주식회사 지알피,경상북도 포항시 남구 동해면 일월로278번길 45,에프알피 소형 선박,합성수지선 건조업,2025-08-13
1253,주식회사 큐어씨케이,경상북도 포항시 남구 대송면 장흥로 38-45,와이어 절단품,육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
1254,주식회사 태산,경상북도 포항시 남구 연일읍 연일로 342-36,"금속흡음천장재, 태양전지가로등, 압형품(건축내, 외장재)",구조용 금속 판제품 및 공작물 제조업 외 3 종,2025-08-13
1255,주식회사 태원전기통신,경상북도 포항시 북구 용당로 56(용흥동),"영상장치, CCTV, 보안용카메라, 출입통제시스템",방송장비 제조업 외 5 종,2025-08-13
1256,주식회사 파이비스,"경상북도 포항시 남구 지곡로 394, 제1벤처동 208호(지곡동, 포항테크노파크)","제품 표면 결함 검사 시스템, 설비 이상 상태 진단 시스템","물질 검사, 측정 및 분석기구 제조업",2025-08-13
1257,주식회사 포항텍,경상북도 포항시 남구 연일읍 동문로94번길 31,펌프시스템,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
1258,주식회사 폴라리스쓰리디,"경상북도 포항시 남구 시청로 18, 301호 (대잠동)",서빙로봇 등,산업용 로봇 제조업,2025-08-13
1259,주식회사 푸드명가,경상북도 포항시 남구 연일읍 철강로141번길 15,"도시락 제조, 도시락 제조",도시락류 제조업 외 1 종,2025-08-13
1260,주식회사 한국정밀,경상북도 포항시 북구 해동로 247 (동빈2가),"컨베이어, 철구조물",컨베이어장치 제조업,2025-08-13
1261,주식회사 한얼물산,"경상북도 포항시 남구 구룡포읍 일출로 173, 주식회사 한얼물산",수산물가공품,수산동물 건조 및 염장품 제조업,2025-08-13
1262,주식회사 해닮,"경상북도 포항시 북구 기계면 기계로428번길 8, (지가리 518)",수산물가공품,수산동물 건조 및 염장품 제조업,2025-08-13
1263,주식회사 현대FA,경상북도 포항시 남구 연일읍 형산강남로418번길 65 (현대FA),유공압기기,유압기기 제조업,2025-08-13
1264,주식회사 호암이노텍,경상북도 포항시 북구 흥해읍 성곡길182번길 66-13,가로등주 주조명장치,육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
1265,주식회사숲길,경상북도 포항시 북구 청하면 용산길 207,"보행매트, 목재, 디자인형 울타리",특수 직물 및 기타 직물 직조업 외 2 종,2025-08-13
1266,주영정보통신 주식회사,"경상북도 포항시 남구 상공로56번길 2, 2층 (상도동)","통합단자함, 영상감시장치",유선 통신장비 제조업 외 1 종,2025-08-13
1267,주은기업,경상북도 포항시 남구 연일읍 형산강남로418번길 66-22,기계부품,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1268,준텍레이저,경상북도 포항시 남구 연일읍 철강로107번길 65,철판제조,그 외 기타 1차 철강 제조업,2025-08-13
1269,중앙기공,경상북도 포항시 남구 대송면 제내길19번길 6-4,철구조물,구조용 금속 판제품 및 공작물 제조업,2025-08-13
1270,중앙산업(주),"경상북도 포항시 남구 장흥로 191 (호동, JAI중앙산업)",조선기자재(강재표면처리),"도금, 착색 및 기타 표면처리강재 제조업 외 1 종",2025-08-13
1271,중앙산업(주) 가공공장,경상북도 포항시 남구 오천읍 철강산단로130번길 207-16,"후판 절단, 가공",그 외 기타 1차 철강 제조업,2025-08-13
1272,지게차포항센터,경상북도 포항시 남구 연일읍 동문로 76,중기정비,건설 및 채광용 기계장비 제조업,2025-08-13
1273,지디테크,"경상북도 포항시 남구 지곡로 394, 제4벤처동 308호(지곡동, 포항테크노파크)",디스플레이용 진공증착 장비 (sputtering 외),디스플레이 제조용 기계 제조업,2025-08-13
1274,지멘스헬시니어스(주),"경상북도 포항시 남구 지곡로 394, 제2,3,4벤처동(총93개호실)(지곡동, 포항테크노파크)",초음파 의료장비,그 외 기타 의료용 기기 제조업,2025-08-13
1275,지엠텍(주),경상북도 포항시 남구 해병로 25 (청림동),"기계, 철구조물 제작, 부품가공",구조용 금속 판제품 및 공작물 제조업,2025-08-13
1276,지창테크,경상북도 포항시 남구 연일읍 형산강남로398번길 12,펌프,액체 펌프 제조업,2025-08-13
1277,진미식품,경상북도 포항시 북구 흥해읍 용전길 30 외 1필지,맛김,수산식물 가공 및 저장 처리업,2025-08-13
1278,진방스틸(주) ,경상북도 포항시 남구 호동로 80 (호동),"강관, C형강, DECK PLATE",강관 제조업 외 1 종,2025-08-13
1279,진보철강,경상북도 포항시 남구 대송면 철강로250번길 13-3,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1280,진삼카보링센터,경상북도 포항시 북구 흥해읍 삼흥로502번길 41,자동차용 엔진,자동차용 엔진 제조업,2025-08-13
1281,진성금속공업,"경상북도 포항시 북구 장량로87번길 14, 진성금속공업 (장성동)",주방기구,수동식 식품 가공기기 및 금속 주방용기 제조업 외 7 종,2025-08-13
1282,진성금속공업,경상북도 포항시 남구 연일읍 동문로94번길 47,"주방기기,싱크대",수동식 식품 가공기기 및 금속 주방용기 제조업 외 2 종,2025-08-13
1283,진성에스에이치신에너지 주식회사,,"비철금속(니켈, 코발트, 망간)","기타 비철금속 제련, 정련 및 합금 제조업 외 1 종",2025-08-13
1284,진성테크,경상북도 포항시 남구 오천읍 기림로 1760,"케이블 하네스, 판넬제조",배전반 및 전기 자동제어반 제조업 외 1 종,2025-08-13
1285,진성파워텍(주),경상북도 포항시 남구 연일읍 동문로94번길 26-6,펌프,액체 펌프 제조업,2025-08-13
1286,진영 E.C.M,경상북도 포항시 남구 연일읍 철강로141번길 35,일반철물,일반철물 제조업 외 2 종,2025-08-13
1287,진우푸드(주),경상북도 포항시 남구 구룡포읍 병포길129번길 17 외 1필지,어육가공품,기타 수산동물 가공 및 저장 처리업,2025-08-13
1288,진우푸드(주),"경상북도 포항시 남구 구룡포읍 병포길129번길 25-8, 진우푸드(주)","절신오징어, 손질가자미",수산동물 냉동품 제조업,2025-08-13
1289,진흥산업기계,경상북도 포항시 북구 칠성천길 82 (죽도동),기계설비 부품,절삭가공 및 유사처리업,2025-08-13
1290,창한 ,경상북도 포항시 남구 오천읍 철강산단로130번길 198,"붓싱, 라이너, 패킹링",기타 비철금속 주조업,2025-08-13
1291,창화철강(주),경상북도 포항시 남구 철강로 489 (장흥동),후판절단가공,그 외 기타 1차 철강 제조업,2025-08-13
1292,천명케미칼,경상북도 포항시 남구 연일읍 인주길 50-5,자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
1293,천세철강(주),경상북도 포항시 남구 대송면 철강산단로66번길 115 (천세철강),"밀스케일, 비중물원료",금속류 해체 및 선별업 외 1 종,2025-08-13
1294,천세철강(주)1공장,경상북도 포항시 남구 대송면 송덕로126번길 19 (삼정철강(주)),밀스케일,금속류 해체 및 선별업 외 1 종,2025-08-13
1295,천안중기정비,경상북도 포항시 남구 대송면 철강로 234,건설기계부품제조 및 정비,건설 및 채광용 기계장비 제조업,2025-08-13
1296,청경씨푸드(주),경상북도 포항시 북구 흥해읍 사방공원길 575,수산물가공품,기타 수산동물 가공 및 저장 처리업,2025-08-13
1297,청룡테크,경상북도 포항시 남구 대송면 제내길53번길 33 (원진테크),철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1298,청미식품,경상북도 포항시 남구 정몽주로847번길 20-22 (청림동),김치,김치류 제조업 외 1 종,2025-08-13
1299,청우에스앤피,경상북도 포항시 남구 동해면 상정길100번길 54,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1300,청우피앤티(P&T),경상북도 포항시 남구 연일읍 동문로 84,산업기계,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
1301,청운정밀기계,경상북도 포항시 남구 연일읍 철강로107번길 17,산업기계,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1302,청운정밀기계,경상북도 포항시 남구 연일읍 동문로54번길 31,산업기계,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
1303,청월테크,경상북도 포항시 남구 해병로 71-11 (청림동),유공압기기장치제조,유압기기 제조업 외 1 종,2025-08-13
1304,카리타스보호작업장,경상북도 포항시 북구 청하면 동해대로2315번길 33 ((주)태경산업),"화장지, 문구용 종이",위생용 종이제품 제조업 외 1 종,2025-08-13
1305,카페몰리,경상북도 포항시 북구 삼흥로 77-18(장성동),원두커피,커피 가공업,2025-08-13
1306,케이에스이앤지,경상북도 포항시 남구 대송면 제내길31번길 15-4,탱크 밒 저장용기제조,기타 구조용 금속제품 제조업 외 1 종,2025-08-13
1307,케이에스피코리아(주),경상북도 포항시 남구 오천읍 송덕로 222,스크랩 등,금속류 원료 재생업 외 6 종,2025-08-13
1308,케이엠레미콘(주),경상북도 포항시남구 인덕동 71-3번지 외 5필지,레디믹스콘크리트,레미콘 제조업 외 3 종,2025-08-13
1309,케이피알,,"자동차 샤시, 자동차 프레임, 자동차 범퍼",자동차 차체용 신품 부품 제조업 외 1 종,2025-08-13
1310,코하이젠(주),경상북도 포항시 남구 철강로 181 (장흥동),수소충전,운송장비용 가스 충전업 외 1 종,2025-08-13
1311,퀵스탑119,경상북도 포항시 북구 청하면 동해대로 2249,"소화패치, 소화패치",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,2025-08-13
1312,클라리언트코리아(주),경상북도 포항시 남구 대송면 철강로492번길 78 (한국수드케미(주)),벤토나이트,비금속광물 분쇄물 생산업,2025-08-13
1313,클래드코리아 주식회사,경상북도 포항시 남구 대송로101번길 57 (장흥동),"롤러,라이너(하드페이싱)",그 외 기타 1차 철강 제조업 외 3 종,2025-08-13
1314,탑테크(주),경상북도 포항시 남구 연일읍 형산강남로418번길 51-3,"시헝장비제조, 환경부식플랜트제작및시공",그 외 기타 특수목적용 기계 제조업 외 2 종,2025-08-13
1315,태경산업(주)포항 제1공장,경상북도 포항시 남구 섬안로45번길 18 (괴동동),카바이드 ,기타 기초 무기 화학물질 제조업,2025-08-13
1316,태광기전,경상북도 포항시 남구 연일읍 동문로76번길 42 ((주)서강),수배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
1317,태광레미콘(주),경상북도 포항시 북구 기계면 기계로 292 (총 2 필지) 외 1필지,레미콘,레미콘 제조업,2025-08-13
1318,태광마린,경상북도 포항시 남구 구룡포읍 일출로 147-8,통발자동탈착기,운송장비 조립용 플라스틱제품 제조업 외 1 종,2025-08-13
1319,태광중기공업,경상북도 포항시 남구 오천읍 문덕로80번길 15,중기부품,건설 및 채광용 기계장비 제조업,2025-08-13
1320,태백종합인쇄공사,"경상북도 포항시 남구 대이로5번길 26-6 (대잠동, 태백빌딩)",인쇄물,기타 인쇄업 외 2 종,2025-08-13
1321,태성,경상북도 포항시 남구 오천읍 송덕로 228-2 (태흥스텐),고철,금속류 해체 및 선별업 외 1 종,2025-08-13
1322,태성중기정비,경상북도 포항시 북구 흥해읍 동해대로1954번길 20-1,건설기계정비,건설 및 채광용 기계장비 제조업,2025-08-13
1323,태양밴딩,경상북도 포항시 남구 연일읍 철강로107번길 72 외 1필지,"철판,형강 밴딩 및 철구조물 제작",자동차용 금속 압형제품 제조업 외 1 종,2025-08-13
1324,태영상사(주),경상북도 포항시 남구 대송면 장흥로 4-19,수세미,분말 야금제품 제조업 외 2 종,2025-08-13
1325,태은상사,경상북도 포항시 남구 구룡포읍 땅끝마을길 8,건오징어,수산동물 건조 및 염장품 제조업,2025-08-13
1326,태인시스템(주),경상북도 포항시남구 연일읍 중단리 536-2번지,"수배전반, 전기자동제어반,제어장비제조",배전반 및 전기 자동제어반 제조업 외 1 종,2025-08-13
1327,태진산업,경상북도 포항시 남구 연일읍 동문로76번길 15-1,"산업용기계 제작, 기계가공 강구조물 등",기타 가공 공작기계 제조업,2025-08-13
1328,태창철강(주),경상북도 포항시 남구 대송면 송덕로 68 (태창철강주식회사) (총 2 필지),"열연,SHEET",그 외 기타 1차 철강 제조업,2025-08-13
1329,태화금속,경상북도 포항시 북구 기북면 기북로 202,"플라스틱 덮개, 수도밸브",설치용 및 위생용 플라스틱제품 제조업 외 1 종,2025-08-13
1330,태화산업,경상북도 포항시 남구 연일읍 철강로107번길 75-5 ((주)태화산업),산업기계,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
1331,태흥전기(주),경상북도 포항시남구 동해면 석리 112-1번지 외 3필지 외 3필지,배전반 및 전기자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
1332,티씨씨엔지니어링(주),"경상북도 포항시 남구 괴동로 100 (장흥동, (주)동양석판)",산업기계제작,그 외 기타 1차 철강 제조업,2025-08-13
1333,티씨씨엔지니어링(주),경상북도 포항시 남구 철강로 513 (장흥동),산업기계,그 외 기타 1차 철강 제조업 외 1 종,2025-08-13
1334,티지에스파이프(주),경상북도 포항시 남구 대송면 철강산단로34번길 51,강관,강관 제조업,2025-08-13
1335,파워토탈시스템,경상북도 포항시 북구 양학천로 91-4 (죽도동),"책자,명판",경 인쇄업 외 1 종,2025-08-13
1336,"파티마보조기, 의료기백화점",경상북도 포항시 북구 용당로 82-2 (대흥동),보조기기,치과기공물 제조업 외 2 종,2025-08-13
1337,포스(FOS),경상북도 포항시 남구 대송면 철강로 220-12 (총 2 필지) 외 1필지,수질개선용 준설로봇 ,산업용 로봇 제조업,2025-08-13
1338,포스마텍(주),경상북도 포항시 남구 연일읍 형산강남로418번길 2,"제철설비, 특수장비",산업용 로봇 제조업 외 38 종,2025-08-13
1339,포스머티리얼(주),경상북도 포항시 남구 해병로 25 (청림동),"그레이팅, 육상 금속 구조재",구조용 금속 판제품 및 공작물 제조업 외 1 종,2025-08-13
1340,포스산전(주),경상북도 포항시 남구 대송면 철강로 170-11,배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
1341,포스코스틸리온(주)도금공장,경상북도 포항시 남구 철강로 173(장흥동) 외 3필지,"아연,알루미늄 도금강판","도금, 착색 및 기타 표면처리강재 제조업",2025-08-13
1342,포스코스틸리온(주)컬러공장,경상북도 포항시 남구 대송로 243 외 2필지,"도장강판,냉연강판 가공","도금, 착색 및 기타 표면처리강재 제조업",2025-08-13
