순번,회사명,공장소재지주소,생산품,업종명,데이터기준일자
124,(주)동해이엔에스,경상북도 포항시 남구 대해로 140 (대도동),"CCTV, 영상감시장치, 차량번호판독기",방송장비 제조업 외 1 종,2025-08-13
125,(주)동화이앤아이,경상북도 포항시 북구 청하면 용산길 296,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
126,(주)동화이앤아이,경상북도 포항시 북구 청하면 사방공원길 188,철구조물,육상 금속 골조 구조재 제조업,2025-08-13
127,(주)두루,경상북도 포항시 남구 철강로 536(장흥동),,비주거용 건물 임대업,2025-08-13
128,(주)두루 ,경상북도 포항시 남구 철강로492번길 44 (장흥동),"철판절단가공, 숏트블라스트,비금속광물분쇄물","도금, 착색 및 기타 표면처리강재 제조업 외 1 종",2025-08-13
129,(주)두루 2공장,경상북도 포항시 남구 철강로492번길 44 (장흥동),보관창고,일반 창고업 외 1 종,2025-08-13
130,(주)두루 제1공장 ,경상북도 포항시 남구 서원재로 80(호동) 외 3필지,철판가공,그 외 기타 금속가공업,2025-08-13
131,(주)두림계전,경상북도 포항시 남구 연일읍 동문로40번길 53-2 외 3필지,"전기자동제어반,수배전반",배전반 및 전기 자동제어반 제조업,2025-08-13
132,(주)두림계전,경상북도 포항시 남구 연일읍 동문로40번길 53-10,배전반 및 전기자동제어반 제조업,배전반 및 전기 자동제어반 제조업,2025-08-13
133,(주)두성엔지니어링,경상북도 포항시 남구 대송면 제내길31번길 25,공작기계 부품,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
134,(주)두성테크,경상북도 포항시 남구 연일읍 형산강남로398번길 5,산업기계,육상 금속 골조 구조재 제조업 외 3 종,2025-08-13
135,(주)두양EMI,경상북도 포항시 남구 연일읍 형산강남로380번길 19 ((주)두양건설공업) 외 2필지,"철물,창호",육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
136,(주)두영,경상북도 포항시 남구 정몽주로847번길 20-8 (청림동),판넬외함 및 전기자재,배전반 및 전기 자동제어반 제조업,2025-08-13
137,(주)드림에코,경상북도 포항시 북구 청하면 청하로 51-1,벽돌 바닥재,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",2025-08-13
138,(주)드림월드,경상북도 포항시 남구 오천읍 냉천로 560,작업복,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-08-13
139,(주)드림텍,경상북도 포항시 남구 대송면 장흥로 38-23,전기자동 제어반,배전반 및 전기 자동제어반 제조업 외 2 종,2025-08-13
140,(주)디에스아이,경상북도 포항시 남구 호동로 30 (호동),"밀스케일,분철브리켓",금속류 해체 및 선별업 외 1 종,2025-08-13
141,(주)디에스아이,경상북도 포항시 북구 청하면 동해대로2315번길 14,슬라스틱 제품,그 외 기타 플라스틱 제품 제조업 외 2 종,2025-08-13
