순번,회사명,공장대표주소(지번),업종명
17,(주)루왁코리아,경상북도 문경시 가은읍 왕능리 643 외 2필지,커피 가공업 외 1 종
251,메종,문경시 매봉로 143 (모전동),커튼 및 유사제품 제조업
177,클라임코리아 주식회사,경상북도 문경시 산양면 진정리 690-1,"체조, 육상 및 체력단련용 장비 제조업 외 5 종"
187,호진기계(주),경상북도 문경시 신기동 1141-1번지 외 1필지,"체조, 육상 및 체력단련용 장비 제조업 외 4 종"
178,클라임코리아(주),경상북도 문경시 산양면 진정리 692-2,"체조, 육상 및 체력단련용 장비 제조업 외 2 종"
10,(주)대명화학3공장,경상북도 문경시 산양면 진정리 600-9번지,체외 진단 시약 제조업 외 1 종
152,유한회사 농업회사법인 삼미식품,경상북도 문경시 신기동 1141번지,천연 및 혼합조제 조미료 제조업
265,새재식품,문경시 마성면 동성길 54,차류 가공업 외 2종
32,(주)썬레이크푸드,경상북도 문경시 마성면 오천리 895번지,차류 가공업 외 1 종
229,그린종합식품,문경시 장승백이3길 25 (공평동) 그린종합식품,차류 가공업
273,이젠하우스,문경시 동로면 무라이길 296,차류 가공업
297,해밀,문경시 마성면 새재로 80-6,차류 가공업
294,한국토탈산업,"문경시 중앙로 19-1, 한국토탈산업 (모전동)",주방용 및 음식점용 목재가구 제조업 외 1종
205,(주)새재씽크,문경시 진곡길 122(공평동),주방용 및 음식점용 목재가구 제조업
274,점촌종합씽크공장,문경시 산양면 중앙로 409-14,주방용 및 음식점용 목재가구 제조업
166,주식회사 코엘,경상북도 문경시 신기동 1136-7 외 1필지,절연 코드세트 및 기타 도체 제조업 외 5 종
267,씨엘디자인 주식회사,문경시 중앙로 54 (모전동),전시 및 광고용 조명장치 제조업 외 8종
299,흥덕식품,문경시 주평5길 33 (신기동),전분제품 및 당류 제조업
50,(주)우일,경상북도 문경시 산양면 진정리 630-7 주식회사 우일,전동기 및 발전기 제조업 외 1 종
16,(주)럭스코,경상북도 문경시 산양면 진정리 산 29번지 일원 산양제2농공단지 제5블럭,전동기 및 발전기 제조업
40,(주)에스더블유,경상북도 문경시 산양면 진정리 686,전동기 및 발전기 제조업
142,영남에너지서비스(주),경상북도 문경시 가은읍 왕능리 638,전동기 및 발전기 제조업
25,(주)비에이치,경상북도 문경시 산양면 진정리 692-4,전기회로 접속장치 제조업 외 9 종
278,주식회사 대훈,문경시 공평로 134-25(공평동),전구 및 램프 제조업
113,농업회사법인(주)원스팜,경상북도 문경시 신기동 1143-4,장류 제조업 외 1 종
234,농업회사법인(주)모심정,문경시 마성면 봉생1길 13,장류 제조업
210,(주)에스엠아이이엔지,문경시 마성면 동성길 74,자동차용 금속 압형제품 제조업 외 1종
118,마성산업(주),경상북도 문경시 마성면 오천리 894번지 외 2필지,자동차 차체용 신품 부품 제조업 외 2 종
41,(주)에스에이치전기조명,경상북도 문경시 산양면 진정리 693,일반용 전기 조명장치 제조업 외 6 종
155,정우전기조명,경상북도 문경시 가은읍 왕능리 616-2번지,일반용 전기 조명장치 제조업 외 3 종
37,(주)애니룩스,경상북도 문경시 신기동 1136번지,일반용 전기 조명장치 제조업 외 2 종
43,(주)엔에스라이팅,경상북도 문경시 영순면 율곡리 1087번지,일반용 전기 조명장치 제조업 외 2 종
78,(주)화물맨,경상북도 문경시 가은읍 왕능리 645번지,일반용 전기 조명장치 제조업 외 2 종
280,주식회사 문경전력,문경시 우지공평로 25(우지동),일반용 전기 조명장치 제조업 외 1종
159,주식회사 브이아이파워,경상북도 문경시 영순면 의곡리 1288-1,일반용 전기 조명장치 제조업
192,효승라이팅,경상북도 문경시 산양면 진정리 600-11 외 1필지,일반용 전기 조명장치 제조업
33,(주)씨씨티연구소,경상북도 문경시 가은읍 왕능리 612번지,일반용 도료 및 관련제품 제조업 외 5 종
21,(주)미래케미칼,경상북도 문경시 가은읍 왕능리 612번지,일반용 도료 및 관련제품 제조업 외 1 종
158,주식회사 미래케미칼,경상북도 문경시 신기동 1141-7,일반용 도료 및 관련제품 제조업 외 1 종
124,미림산업(주),경상북도 문경시 마성면 오천리 896번지,일반 제재업 외 2 종
123,미림산업(주),경상북도 문경시 마성면 오천리 896번지,일반 제재업 외 1 종
141,영강씽크가구공장,경상북도 문경시 산양면 진정리 688-1,의료용 가구 제조업 외 2 종
121,미래테크(주),경상북도 문경시 신기동 1138번지,육상 금속 골조 구조재 제조업 외 1 종
135,에코테인먼트코리아(주),경상북도 문경시 유곡동 712 제2호,육상 금속 골조 구조재 제조업
180,한국건설,경상북도 문경시 산양면 진정리 600-11번지,육상 금속 골조 구조재 제조업
223,(주)한국건설,문경시 호계면 가섭길 458-9,육상 금속 골조 구조재 제조업
302,㈜세영ENG,문경시 흥덕1길 16-14 (흥덕동),육상 금속 골조 구조재 제조업
