순번,회사명,대표자명,전화번호,팩스번호,생산품,공장대표주소
71,산촌마을농업회사법인유한회사,김종철,_033_4355575,_033_4320503,"찰옥수수범벅, 수리취떡",강원도 홍천군 남면 설악로 569
72,삼광기업(주),"최재경, 최홍석",_033_4350035,_033_4350038,"레미콘, 아스콘",강원도 홍천군 북방면 송학정로 34-29 (총 6 필지)
73,삼성메디슨(주) 제1공장,김용관,_033_4301900,_033_4329905,초음파진단기,강원도 홍천군 남면 한서로 3366
74,삼성메디슨(주) 제2공장,김용관,_033_4301900,_033_4329905,초음파 진단기,강원도 홍천군 남면 한서로 3366
75,삼성메디슨주식회사(상오안지점),전동수,_033_4301900,_033_4329905,초음파의료진단기,강원도 홍천군 홍천읍 농공단지길 23-19 (총 2 필지)
76,삼영이엔지,이병삼,_033_4340889,_033_4346345,수문제작,강원도 홍천군 홍천읍 열산골길 17
77,서곡물산,이복순,_033_4337330,_033_4332966,잣,강원도 홍천군 북방면 성동로 56
78,선일생약(주),강선원,_033_4368836,_033_4368837,한약재제조업,강원도 홍천군 남면 흥성길 193 (총 2 필지)
79,소담영농조합법인,김부야,_033_4320189,_033_4341313,"한과, 조청",강원도 홍천군 홍천읍 석화로3길 78
80,송림그린산업,조종구,_033_4357728,____________,유기질 비료,강원도 홍천군 남면 용수길 152
81,신성화학,함성복,_033_4339337,_033_4337754,"에폭시 도료, 접착제, 합성수지",강원도 홍천군 남면 흥성길 223
82,신영인쇄기획,이만우,_033_4343445,_033_4342234,"제책,경인쇄,각종인쇄물",강원도 홍천군 홍천읍 꽃뫼로 100
83,신우임산(주),이기세,_033_4344796,_033_4341397,"우드칩, 톱밥",강원도 홍천군 홍천읍 원터길 19 (총 10 필지)
84,신풍건설기계정비,이채섭,____________,_033________,"금속조립 및 철물제작, 건설기계정비",강원도 홍천군 북방면 송학정로 41
85,신희종합식품주식회사,문관욱,_033_4329556,_033_4329557,김치류,강원도 홍천군 홍천읍 설악로 962-7
86,아람식품,이호성,_033_4351010,_033_4351459,육수 소스,강원도 홍천군 홍천읍 설악로 1009-10
87,아리인포테크 주식회사,이동훈,_033_8307710,_033_8307715,봉제기기 생산 정보관리 시스템,"강원도 홍천군 희망로 91, 203호 (홍천읍)"
88,양덕임업사,김장한,_033_4321062,_033_4322453,목재,강원도 홍천군 남면 월천리 390-7번지 외 1필지
89,양지말화로구이식품,전혜연,_033_4368001,_033_4368003,"축산가공품(양념육), 식품(소스,김치,더덕)",강원도 홍천군 홍천읍 양지말길 22 (총 3 필지)
90,에이솔,이승한,____________,_07086731333,단열재,"강원도 홍천군 남면 흥성길 201, 화전농공단지"
91,영농조합법인 홍천명품한과,이예연,_033_4335521,_033_4335665,"단호박한과, 조청, 약과",강원도 홍천군 내촌면 아홉사리로 927-19
92,영안모자(주)홍천공장,백승수,_033_4321701,_033_4337502,모자,강원도 홍천군 홍천읍 생명과학관길 52
