순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
7119,성서지방산업단지,서흥정밀,대구광역시 달서구 장동 333-88번지 (1차단지 32-1B 10-1L),대구광역시 달서구 장동 333-88번지 (1차단지 32-1B 10-1L),자동차 차체용 신품 부품 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,에어컨폴리 외 자동차부품,
7120,,석담정밀,대구광역시 군위군 효령면 용매로 1055-33 외 1필지,대구광역시 군위군 효령면 고곡리 1408-32번지 외 1필지,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종",대구광역시 군위군,일반,"금속롤링도어, 소음기부품","황동,스텐,철판,"
7121,서대구일반산업단지,석림세라믹스,대구광역시 서구 와룡로 391-7 (중리동),대구광역시 서구 중리동 1030-39번지,위생용 및 산업용 도자기 제조업,서대구산업단지관리공단,일반산업단지,세라믹,
7122,,석브라인드,대구광역시 북구 동천로 35-12 (동천동) 102호,대구광역시 북구 동천동 942-14 102호,커튼 및 유사제품 제조업,대구광역시 북구,일반,블라인드,"원단,알루미늄"
7123,,석상지퍼,대구광역시 달서구 유천동 150-3번지,대구광역시 달서구 유천동 150-3번지,단추 및 유사 파스너 제조업,대구광역시 달서구,일반,지퍼,"천, 스라이더, 호크"
7124,성서지방산업단지,석영침장,"대구광역시 달서구 성서서로34길 11, (1차단지 90B 12L) (갈산동)",대구광역시 달서구 갈산동 355-10번지,침구 및 관련제품 제조업,대구성서산업단지관리공단,일반산업단지,침구관련제품,
7125,,석진산업,대구광역시 달성군 옥포면 이팝나무길 60 외 1필지,대구광역시 달성군 옥포면 교항리 1847번지 외 1필지,전구 및 램프 제조업,대구광역시 달성군,일반,자동차부품,
7126,,석화에너지,대구광역시 달성군 하빈면 하산길 54-7,대구광역시 달성군 하빈면 하산리 947-107 번지,산업용 난방보일러 및 방열기 제조업 외 2 종,대구광역시 달성군,일반,보일러,
7127,북구검단일반산업단지,선경산업사,대구광역시 북구 검단공단로 70 (검단동),대구광역시 북구 검단동 887-154번지,기타 인쇄업 외 3 종,대구시티밸리산업단지관리공단,일반산업단지,"인쇄물, 쇼핑백, 쓰레기봉투","PE, PP, 종이펄프, 잉크"
7128,성서지방산업단지,선경타올공업사,"대구광역시 달서구 성서로75길 23-1, 1차단지 40B 10-1L (이곡동) 외 1필지",대구광역시 달서구 이곡동 918-19번지 1차단지 40B 10-1L 외 1필지,비주거용 건물 임대업,대구성서산업단지관리공단,일반산업단지,타올,
7129,성서지방산업단지,선경화스너,"대구광역시 달서구 성서공단북로77길 11, (1차단지 33B 2-1L) 1차단지 33/2-1 (장동)",대구광역시 달서구 장동 333-13번지 1차단지 33/2-1,비주거용 건물 임대업,대구성서산업단지관리공단,일반산업단지,임대업,
7130,,선광WM시스템,대구광역시 달성군 하빈면 하빈로77길 23,대구광역시 달성군 하빈면 현내리 858-26번지,그 외 기타 특수목적용 기계 제조업 외 1 종,대구광역시 달성군,일반,용접자동화 기계,철자재
7131,북구검단일반산업단지,선광레이스,대구광역시 북구 검단로31길 51-7 (검단동),대구광역시 북구 검단동 838-23번지,자수제품 및 자수용재료 제조업 외 1 종,대구시티밸리산업단지관리공단,일반산업단지,자수제품,자수
