순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
4737,서대구일반산업단지,디토르테,대구광역시 서구 국채보상로19길 8 (이현동),대구광역시 서구 이현동 44-120번지,빵류 제조업 외 1 종,서대구산업단지관리공단,일반산업단지,"빵,비스켓",
4738,대구이시아폴리스일반산업단지,디티에스,대구광역시 동구 팔공로53길 130 (봉무동) 외 1필지,대구광역시 동구 봉무동 1563-5 외 1필지,기타 직물제품 제조업,대구시티밸리산업단지관리공단,일반산업단지,"마스크(KF 94, KF 80, KF AD)",부직포 MB필터
4739,북구검단일반산업단지,딩토,"대구광역시 북구 검단공단로 26, 3층 301, 302, 303 (검단동) 3층 301, 302, 303호","대구광역시 북구 검단동 887-62번지 3층 301, 302, 303 3층 301, 302, 303호",그 외 기타 달리 분류되지 않은 제품 제조업,대구시티밸리산업단지관리공단,일반산업단지,임플란트 보청기 스킨(케이스),PP Film
4740,서대구일반산업단지,따시온,대구광역시 서구 평리로33길 25 (중리동),대구광역시 서구 중리동 1149-1번지,침구 및 관련제품 제조업,서대구산업단지관리공단,일반산업단지,이불,원단 등
4741,성서지방산업단지,라마테크,"대구광역시 달서구 성서공단로39길 27, 3층 307 (갈산동) 3층 307호",대구광역시 달서구 갈산동 358-180번지 3층 307 3층 307호,그 외 기타 일반목적용 기계 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,자동화기계,"pvc, 각관, 형관"
4742,성서지방산업단지,라스고(주),"대구광역시 달서구 달서대로91길 67, (3차단지 95B 3L)(호림동)",대구광역시 달서구 호림동 2-1 (3차단지 95B 3L),그 외 기타 고무제품 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,방사선차폐품,고무
4743,서대구일반산업단지,라온JW,"대구광역시 서구 와룡로 307, 1층 101호(중리동) 1층 101호",대구광역시 서구 중리동 1166-1 1층 101호 1층 101호,비주거용 건물 임대업,서대구산업단지관리공단,일반산업단지,경영컨설팅,
4744,성서지방산업단지,라온시스템,"대구광역시 달서구 달구벌대로 1126, F동 (신당동)",대구광역시 달서구 신당동 1320-10 F동,"전기회로 개폐, 보호장치 제조업",대구성서산업단지관리공단,일반산업단지,"전기판넬, 자동제어전장판넬",자동제어 전장품
4745,대구금호워터폴리스일반산업단지,라이프 앤 사이언스(주),,대구광역시 북구 검단동 금호워터폴리스 A3-5,그 외 기타 전자부품 제조업,대구시티밸리산업단지관리공단,일반산업단지,코딩플랫폼 보드,PCB
4746,서대구일반산업단지,라인모터서비스,대구광역시 서구 국채보상로 86 (중리동),대구광역시 서구 중리동 1060-1,자동차 전문 수리업,서대구산업단지관리공단,일반산업단지,차량 정비,
