연번,회사명,사업유형,사업자등록번호,공장 주소,업종명,생산품
1170,삼성인스트루먼트,제조업,1170782556,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B236호 외 1필지","전자기 측정, 시험 및 분석기구 제조업",압력계
1171,삼성정밀,제조업,1221387893,"인천광역시 부평구 부평대로 337, 1층 106호(청천동, 부평 제이타워3차 지식산업센터) 1층 106호",동력식 수지공구 제조업,전동공구(드릴)
1172,삼양상사,제조업,1304653029,"인천광역시 부평구 새벌로 29, 2층 217호 (청천동, 부평테크노타워) 2층 217호",목재문 및 관련제품 제조업,목재 문 및 관련제품 제조
1173,삼양정밀,제조업,1370153994,인천광역시 부평구 백범로604번길 32-11 (십정동),운송장비 조립용 플라스틱제품 제조업 외 1 종,"플라스틱사출금형, 사출품"
1174,삼우산업,제조업,1110792361,인천광역시 부평구 안남로418번길 10(청천동),절삭가공 및 유사처리업,냉간단조
1175,삼우와이어,제조업,1223535378,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 607호",전자감지장치 제조업,"절열선,저항선"
1176,삼익전자공업(주),제조업,1228505864,인천광역시 부평구 새벌로 17 (청천동),금속 표시판 제조업 외 22 종,전광판
1177,삼익제약(주),제조업,1228113217,인천광역시 부평구 청안로 13 (청천동),완제 의약품 제조업,세자르 외 전문의약품
1178,삼익조명,제조업,1220859210,"인천광역시 부평구 청농로64번길 37, 1,2층 (청천동, 두리파크)",일반용 전기 조명장치 제조업,조명기구
1179,삼익포장,제조업,1222173787,인천광역시 부평구 서달로298번길 121 (청천동),그 외 기타 종이 및 판지 제품 제조업,골판지상자
1180,삼인기술(주),제조업,1228171842,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 4층 405호","전자기 측정, 시험 및 분석기구 제조업",전자기측정
1181,삼인다이아몬드,제조업,1371792571,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 5층 524호",톱 및 호환성 공구 제조업,다이아몬드공구
1182,삼일무역상사,제조업,5372200144,"인천광역시 부평구 부평대로 337, 2층 208호(청천동, 부평 제이타워3차 지식산업센터) 2층 208호",금속 단조제품 제조업,계장용 피팅 및 밸브
1183,삼주테크,제조업,1304175936,"인천광역시 부평구 새벌로 29 8층 814호 (청천동, 부평테크노타워) 8층 814호",스크린 인쇄업,"온도 조절기 , 우편함 명판"
1184,상광전자,제조업,1222188387,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 1층 102호 외 2필지",주형 및 금형 제조업,"금형제작, 사출기성형"
1185,상보인터내셔날,제조업,1370611330,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B105호","플라스틱 포대, 봉투 및 유사제품 제조업",플라스틱봉트외
1186,상승테크,제조업,1221534522,"인천광역시 부평구 새벌로 29, 6층 611호(청천동, 부평테크노타워) 6층 611호",주형 및 금형 제조업,금형
1187,상아시스템,제조업,1223231240,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 3층 303-B호",가정용 비전기식 조리 및 난방 기구 제조업,조리기구용 PCB
1188,상아일렉트론,제조업,1220624089,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 3층 304호",그 외 기타 전자부품 제조업 외 1 종,전자부품
1189,상원전자,제조업,1223282400,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 4층 402호",기타 절연선 및 케이블 제조업,전기메트열선
1190,상일금속,제조업,1390690739,"인천광역시 부평구 부평대로 337, 7층 701호(청천동, 부평 제이타워3차 지식산업센터) 7층 701호 외 1필지",날붙이 제조업,주방용품(수저)
1191,새명피앤에프,제조업,1220643918,인천광역시 부평구 세월천로25번길 14 (청천동),금속 가구 제조업,사무용 파티션
1192,새천년이엔씨(주),제조업,1218166104,"인천광역시 부평구 부평대로 301 6층 610호 (청천동, 남광센트렉스) 6층 610호",컴퓨터 제조업 외 4 종,"PC,네트워크 DVR 및 코텍,방송장치"
1193,새한정밀,제조업,1073985692,"인천광역시 부평구 평천로199번길 34, 1층 C-1호실 (청천동)",절삭가공 및 유사처리업 외 1 종,기계부품
1194,새한정수공업(주),제조업,1228107563,인천광역시 부평구 수변로19번길 5 (부개동),액체 여과기 제조업,"정수기계, 폐수기계,화공약품"
1195,서림와이어컷팅,제조업,1370364291,"인천광역시 부평구 백범로577번길 20 (십정동, 경인센타)",그 외 기타 전자부품 제조업 외 2 종,전자부품등
1196,서부사료(주),제조업,1228112275,인천광역시 부평구 부평북로 325 (갈산동),배합 사료 제조업 외 1 종,배합사료
1197,서영전자산업(주),제조업,1398129060,인천광역시 부평구 안남로402번길 80 (청천동),기타 음향기기 제조업,음향기기
1198,서울기공,제조업,1222184945,"인천광역시 부평구 부평대로 301 3층 314호 (청천동, 남광센트렉스) 3층 314호",톱 및 호환성 공구 제조업,공작기계용 공구
1199,서울기공,제조업,1222184945,"인천광역시 부평구 세월천로 205-1, 서울기공 (청천동, 서울기공) 외 1필지",톱 및 호환성 공구 제조업 외 1 종,"금형부품, 절삭공구, 공작기계용 공구"
1200,서울기공,제조업,1222184945,"인천광역시 부평구 세월천로 205-1 (청천동, 서울기공)",절삭가공 및 유사처리업 외 1 종,공작기계용공구
1201,서울산전기술(주),제조업,2138634847,"인천광역시 부평구 부평대로 301 4층 414호 (청천동, 남광센트렉스) 4층 414호",배전반 및 전기 자동제어반 제조업,배전반
1202,서울전자통신(주),제조업,1308110787,"인천광역시 부평구 새벌로 4, 424 (청천동)","전자코일, 변성기 및 기타 전자 유도자 제조업 외 2 종","무정전전원장치, 산업용충전장치"
1203,서울중석공업사,제조업,1222171116,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 1층 107호","기타 비철금속 압연, 압출 및 연신 제품 제조업","텅스텐션 및 모리브텐션, 광학부품"
1204,서울철강,제조업,1222080976,인천광역시 부평구 일신로39번길 16-27 (일신동),일반철물 제조업,"연통, 엘보, 티 등"
1205,서유전자(주),제조업,1318185199,인천광역시 부평구 백범로568번길 22 (십정동),전자부품 실장기판 제조업,인쇄회로기판 검사
1206,서일기전,제조업,1191696024,인천광역시 부평구 새벌로 29 (청천동) 부평테크노타워 718호,배전반 및 전기 자동제어반 제조업,산업기계제어반
1207,서일기전,제조업,1191696024,인천광역시 부평구 새벌로 29 (청천동) 7층 718호,배전반 및 전기 자동제어반 제조업,"자동제어, 산업기계제어반"
1208,서진산업,제조업,1525100259,"인천광역시 부평구 새벌로 29 B1층 B101호 (청천동, 부평테크노타워) B1층 B101호",그 외 기타 금속가공업,미용기구(뷰러)
1209,서진에스엠씨(주),제조업,1558102350,"인천광역시 부평구 새벌로 9, 6층(청천동)",도장 및 기타 피막처리업 외 2 종,친환경 복합 판넬
1210,서진전기,제조업,3502501381,"인천광역시 부평구 백범로577번길 20, 445호(십정동, 경인센타)",배전반 및 전기 자동제어반 제조업,전기자동제어반
1211,서진전자,제조업,2953400054,"인천광역시 부평구 부평대로 301 8층 806호 (청천동, 남광센트렉스) 8층 806호 외 1필지",전자부품 실장기판 제조업,PCB ASSY
1212,서진플랜트(주),제조업,3108123592,"인천광역시 부평구 부평대로 337, 8층 817호(청천동, 부평 제이타워3차 지식산업센터) 8층 817호",강관 제조업,배관 등
1213,서하몰드,제조업,6061171686,"인천광역시 부평구 부평대로 301 B1층 B110호 (청천동, 남광센트렉스) B1층 B110호",주형 및 금형 제조업,금형
1214,서현엔지니어링,제조업,1221057063,"인천광역시 부평구 부평대로 301 2층 201-2호 (청천동, 남광센트렉스) 2층 201-2호 외 1필지",배전반 및 전기 자동제어반 제조업,배전반
1215,서현오토메이션,제조업,4370401397,"인천광역시 부평구 부평대로 337, 7층 725호(청천동, 부평 제이타워3차 지식산업센터) 7층 725호",배전반 및 전기 자동제어반 제조업,제어판넬
1216,선우ENG,제조업,1211741228,"인천광역시 부평구 부평대로 301 6층 621호 (청천동, 남광센트렉스) 6층 621호",산업처리공정 제어장비 제조업,자동화 판넬
1217,선우어패럴,제조업,1220931354,"인천광역시 부평구 안남로 415, 동우빌딩 5층 (청천동)","근무복, 작업복 및 유사의복 제조업 외 2 종",학생교복
1218,선일공업,제조업,1221347606,인천광역시 부평구 세월천로 204-11 (청천동) (총 2 필지) 외 1필지,금속 절삭기계 제조업,중장비부품
1219,선일시스템,제조업,1400638878,인천광역시 부평구 부평대로329번길 42 (청천동),금속 캔 및 기타 포장용기 제조업 외 1 종,"판금 케이스,농업용 열풍기,제습기"
1220,선진기공,제조업,1225270940,인천광역시 부평구 항동로143번길 10-38 (일신동),일반철물 제조업,"샤클, 턴버클, 후크, 기타"
1221,선진기업,제조업,1223545328,"인천광역시 부평구 부평대로 301 2층 214호 (청천동, 남광센트렉스) 2층 214호",운송장비 조립용 플라스틱제품 제조업 외 1 종,사출
1222,선진모델,제조업,1221216367,인천광역시 부평구 경인로1059번길 28 (부개동),인형 및 장난감 제조업,모형완구
1223,선진정밀,제조업,1370462626,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",주형 및 금형 제조업 외 2 종,금형
1224,선테크,제조업,1221532581,"인천광역시 부평구 청천마차로 72, 2층 (청천동)",일반용 전기 조명장치 제조업,조명장치
1225,성광엔지니어링,제조업,1221967813,"인천광역시 부평구 부평대로 337, 6층 649호(청천동, 부평 제이타워3차 지식산업센터) 6층 649호 외 1필지",연마재 제조업,초경 세라믹 연마
1226,성광정밀,제조업,1222380813,"인천광역시 부평구 부평대로 283, 외7필지 B119호 (청천동)",자동차 엔진용 신품 부품 제조업 외 1 종,자동차엔진부품
1227,성덕산업 주식회사,제조업,3888602974,"인천광역시 부평구 무네미로448번길 56, S303호(구산동, 한국폴리텍대학(인천캠퍼스))",전시용 모형 제조업,전시용 모형 설계제적
1228,성림비전,제조업,6262200139,"인천광역시 부평구 평천로255번길 13, 3층 306호(청천동) 3층 306호","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종","자동화 기계 시스템, AI소프트웨어 개발"
1229,성림정밀,제조업,1302480470,인천광역시 부평구 청천동 383-11번지,주형 및 금형 제조업,금형
1230,성민금속,제조업,1390698876,"인천광역시 부평구 부평대로 301 3층 321호 (청천동, 남광센트렉스) 3층 321호 외 1필지","탭, 밸브 및 유사장치 제조업","탭,밸브"
1231,성신기전,제조업,1330682532,인천광역시 부평구 일신로39번길 16-25 (일신동),배전반 및 전기 자동제어반 제조업,배전반 및 자동제어반
1232,성신종합상사,제조업,1371451661,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 6층 608-B호",제판 및 조판업,판촉물
1233,성심정밀,제조업,1300190737,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 3층 301호",주형 및 금형 제조업,금형
1234,성심정밀,제조업,1233963026,"인천광역시 부평구 부평대로 301 2층 201-1호 (청천동, 남광센트렉스) 2층 201-1호",톱 및 호환성 공구 제조업,인써트 팁
1235,성우산업,제조업,1220358929,인천광역시 부평구 청농로64번길 43-8 (청천동),금속 성형기계 제조업,주방용품
1236,성일 F.A,제조업,1131069342,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 B1층 B108호",배전반 및 전기 자동제어반 제조업,자동제어반
1237,성일인쇄,제조업,2012573152,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 4층 407호",경 인쇄업 외 1 종,"스티커,라벨,메뉴얼"
1238,성지정밀,제조업,1222183140,"인천광역시 부평구 새벌로 29, B1층 B110호(청천동) B1층 B110호",절삭가공 및 유사처리업,"자동차용품, 배관부속부품, 악기부품"
1239,성지테크,제조업,1302967768,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 1층 141호",주형 및 금형 제조업,금형부품
1240,성진고무,제조업,1222283415,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B1층 B105호",고무 의류 및 기타 위생용 비경화 고무제품 제조업,위생용품
1241,성진보링,제조업,1225208280,"인천광역시 부평구 부평북로 38-1(청천동, 성진정밀)",자동차 재제조 부품 제조업,자동차 엔진 헤드
1242,성진산업,제조업,1220149765,인천광역시 부평구 장제로381번길 11-6 (갈산동),커튼 및 유사제품 제조업,롤 브라인드 등
1243,성진쇼파,제조업,2507700062,인천광역시 부평구 경인로 1014 (부개동) 1층,침구 및 관련제품 제조업 외 1 종,직물을 이용한 키즈보호대 (쿠션) / (쇼파)
1244,성진크리베이션(주),제조업,1348678218,"인천광역시 부평구 무네미로448번길 56, 하이테크관 307호 (구산동)",그 외 기타 플라스틱 제품 제조업,가스렌지 안전 가드
1245,성진테크,제조업,7521500065,"인천광역시 부평구 부평대로 337, 3층 336호(청천동, 부평 제이타워3차 지식산업센터) 3층 336호",컨베이어장치 제조업 외 1 종,컨베이어 등
1246,성한악기,제조업,1220537253,인천광역시 부평구 평천로141번길 41 (청천동),기타 악기 제조업 외 1 종,악기가방
1247,성호기업,제조업,1074667125,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",기어 및 동력전달장치 제조업,엘리베이트 감속기
1248,성호제어기기 주식회사,제조업,1228165845,인천광역시 부평구 안남로402번길 25 (청천동),"전기회로 개폐, 보호장치 제조업 외 2 종","자동제어기기 부품, 수배전반용 스위치"
1249,세계정밀,제조업,1303480334,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 B1층 B117호,주형 및 금형 제조업 외 1 종,자동차용 볼트
1250,세광산업,제조업,7901401512,"인천광역시 부평구 부평대로 337, 8층 803호(청천동, 부평 제이타워3차 지식산업센터) 8층 803호",컴퓨터 제조업,컴퓨터
1251,세기,제조업,,인천광역시 부평구 십정동 235-1,그 외 자동차용 신품 부품 제조업,자동차 및 중장비 산업용 집진필터
1252,세륭산업기계,제조업,1301264138,"인천광역시 부평구 부평대로 337, 2층 213호(청천동, 부평 제이타워3차 지식산업센터) 2층 213호",기타 일반 기계 및 장비 수리업,산업용 냉난방기 수리
1253,세이쿡,제조업,1301316083,"인천광역시 부평구 부평북로 376, 1층 (삼산동)",가정용 비전기식 조리 및 난방 기구 제조업 외 1 종,"로스타, 직화후드"
1254,세인기술,제조업,1301798593,"인천광역시 부평구 부평대로 301 6층 620호 (청천동, 남광센트렉스) 6층 620호",그 외 기타 전자부품 제조업 외 1 종,"Digi-Link,및 열차 냉난방기 콘트롤, 지하철신호등"
1255,세종기획출력,제조업,1220983454,인천광역시 부평구 평천로153번길 20 (청천동),기타 인쇄관련 산업,"필름출력,실크망사견장,실크제판,인쇄기자재"
1256,세진,제조업,1221486682,"인천광역시 부평구 부평대로 301 7층 722호 (청천동, 남광센트렉스) 7층 722호",액체 여과기 제조업,정수기필터
1257,세진상사,제조업,1302243831,인천광역시 부평구 가좌로96번길 63 (십정동),"금속 문, 창, 셔터 및 관련제품 제조업","자동문, 강화도어"
1258,세진에스엠테크,제조업,1222184528,인천광역시 부평구 청농로 31 (청천동),"탭, 밸브 및 유사장치 제조업",황동밸브 및 정수기 관련 제품
1259,세진정밀특수연마,제조업,1223176987,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 340호,절삭가공 및 유사처리업,특수공구
1260,세진정밀특수연마,제조업,1223176987,"인천광역시 부평구 부평대로 337, 340호(청천동, 부평 제이타워3차 지식산업센터) 340호",주형 및 금형 제조업,초경
1261,세진테크놀로지,제조업,3620102505,"인천광역시 부평구 부평대로 337, 9층 902호(청천동, 부평 제이타워3차 지식산업센터) 9층 902호",금속 성형기계 제조업 외 1 종,실리콘노즐
1262,세파 유한회사,제조업,2238120272,"인천광역시 부평구 안남로402번길 15, 3층, 5층 (청천동)",그 외 기타 분류 안된 섬유제품 제조업 외 2 종,산업용 필터 외
1263,소니아코리아(주),제조업,4778101514,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 5층 509호",유아용 의복 제조업,"유아 및 아동 의복, 액세서리, 캐릭터 상품 등"
1264,소프트오가닉,제조업,5980601319,"인천광역시 부평구 새벌로 29, 4층 418호(청천동, 부평테크노타워) 4층 418호",속옷 및 잠옷 제조업,"속옷, 잠옷"
1265,소프트하모니인터내셔널,제조업,1101168318,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 8층 802호",금속 표시판 제조업 외 4 종,"점자안내판, 음성유도기, 장애인편의시설"
1266,솔라비토(주),제조업,2148827756,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B2층 B235호",기타 구조용 금속제품 제조업 외 3 종,공기식 태양열집열패널 및 프레임
1267,송림기획,제조업,1211350054,"인천광역시 부평구 부평대로 301 9층 907호 (청천동, 남광센트렉스) 9층 907호",제책업 외 2 종,"서적의 인쇄 출판물, 실사출력"
1268,송메이드,제조업,2271062589,"인천광역시 부평구 부평대로 301, 3층 304호 (청천동, 남광센트렉스) 3층 304호",기타 인쇄업,"알루미늄 액자(사진), 자작나무 액자(사진)"
1269,송우어패럴,제조업,1222882081,"인천광역시 부평구 부평대로 301 3층 311호 (청천동, 남광센트렉스) 3층 311호",화학섬유직물 직조업,원단
1270,수경화학,제조업,1300565293,"인천광역시 부평구 부평대로 283, C동 B1층 B110 (청천동, 부평 우림라이온스밸리) C동 B1층 B110호",그 외 기타 고무제품 제조업,고무패킹
1271,수기술,제조업,3125100924,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 3층 321호",절연 코드세트 및 기타 도체 제조업,전기배선
1272,수에너지(주),제조업,2878100630,"인천광역시 부평구 무네미로448번길 56, 산학협력단 505호, 508호 (구산동, 폴리텍Ⅱ대학)",공기 조화장치 제조업 외 2 종,히트펌프 주변기기
1273,수연테크,제조업,1302767556,"인천광역시 부평구 평천로199번길 34, 1층 B-1호 (청천동)",그 외 기타 전자부품 제조업 외 1 종,반도체 부품
1274,쉬즈홈,제조업,1171686194,인천광역시 부평구 평천로 205 (청천동),침구 및 관련제품 제조업,침구
1275,스마텍 주식회사,제조업,1228634366,"인천광역시 부평구 안남로418번길 27, A동 210호 (청천동)",기타 1차 비철금속 제조업,NC
1276,스마트팩시스템,제조업,5810201216,"인천광역시 부평구 부평대로 337, 1층 110호 (청천동, 부평 제이타워3차 지식산업센터) 1층 110호",그 외 기타 특수목적용 기계 제조업,포장기계
1277,스마티카,제조업,2701002324,"인천광역시 부평구 부평대로 337, 7층 748호(청천동, 부평 제이타워3차 지식산업센터) 7층 748호",산업용 로봇 제조업,로봇
1278,스톰,제조업,2470200883,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 4층 446호",그 외 기타 분류 안된 금속 가공 제품 제조업,"안내판, 표지판, 도로명주소표지판 등"
1279,스튜디오원스,제조업,1222280188,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 537,538호",문구용 종이제품 제조업,앨범
1280,스포츠룩,제조업,1221461551,"인천광역시 부평구 부평대로 283, 우림라이온스밸리 B-310호 (청천동)",셔츠 및 블라우스 제조업 외 1 종,의류
1281,스피드가운,제조업,1231989746,"인천광역시 부평구 새벌로 29 1층 113호 (청천동, 부평테크노타워) 1층 113호",자수제품 및 자수용재료 제조업,"컴퓨터자수, 유니폼, 단체복, 냉각튜브"
1282,승명실업(주),제조업,1198117973,인천광역시 부평구 평천로255번길 23 (청천동),판지 상자 및 용기 제조업,새상자(BOX)
1283,승진산업,제조업,1222864782,"인천광역시 부평구 새벌로 29 2층 210호 (청천동, 부평테크노타워) 2층 210호",주형 및 금형 제조업,전자제품 금형
1284,시대산업전자(주),제조업,1378138020,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 11층 1105호",그 외 기타 전자부품 제조업,슬래드스크류
1285,시루방아,제조업,5690101427,"인천광역시 부평구 부평대로 301 2층 218호 (청천동, 남광센트렉스) 2층 218호",떡류 제조업,떡
1286,시은소,제조업,6963400640,"인천광역시 부평구 부평대로 337, 11층 1118호(청천동, 부평 제이타워3차 지식산업센터) 11층 1118호 외 1필지",경 인쇄업 외 1 종,네임스티커 등
1287,신기산업,제조업,1370868948,"인천광역시 부평구 가재울로 129, 103호 (십정동, 테크노1공장)",주형 및 금형 제조업,금형
1288,신기에스지,제조업,6252800730,"인천광역시 부평구 평천로255번길 13, 4층 403호 (청천동) 4층 403호",기타 음향기기 제조업,"스피커, 음향센서 "
1289,신도기전,제조업,1228621541,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",배전반 및 전기 자동제어반 제조업,수배전반
1290,신명기업(주),제조업,4878702716,"인천광역시 부평구 백범로578번길 65, 경남도금단지 103호 (십정동)",도금업,"의류부자재, 단추 등"
1291,신성기계,제조업,1076961872,인천광역시 부평구 부평북로 56 (청천동),"용기 세척, 포장 및 충전기 제조업",자동화기계
1292,신성기전,제조업,1342510309,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B228호",배전반 및 전기 자동제어반 제조업,"전기, 자동제어 및 수배전반 판넬"
1293,신성엘리베이터(주),제조업,1228543704,"인천광역시 부평구 영성중로 50, 미래타워 201 (삼산동)",전자부품 실장기판 제조업,"엘리베이터 기판 및 전기제품, 외장품"
1294,신성정밀(주),제조업,1228601360,인천광역시 부평구 백범로604번길 30 (십정동),그 외 기타 전자부품 제조업 외 1 종,휴대폰 스라이드
1295,신아기계,제조업,1132193227,인천광역시 부평구 구산동 1-3번지,금속탱크 및 저장용기 제조업 외 3 종,"콘베이어,탱크"
1296,신아산업,제조업,1220296964,인천광역시 부평구 백범로578번길 70 (십정동),도금업,"수전금구도금, 자동차용품, 필기구"
1297,신아테크,제조업,1223621978,"인천광역시 부평구 부평대로 337, 7층 741호(청천동, 부평 제이타워3차 지식산업센터) 7층 741호",배전반 및 전기 자동제어반 제조업,전기 판넬
1298,신영산업,제조업,1225174143,인천광역시 부평구 평천로141번길 34 (청천동),주형 및 금형 제조업 외 2 종,정수기부품
1299,신용정밀,제조업,1300811008,인천광역시 부평구 평천로 59-1 (청천동),그 외 기타 플라스틱 제품 제조업,"금형,사출품(도마)"
1300,신우몰드(주),제조업,1308175698,인천광역시 부평구 안남로402번길 84 (청천동),주형 및 금형 제조업,몰드베이스
1301,신우시스템(주),제조업,1218128264,인천광역시 부평구 백범로 597 (십정동),공기 조화장치 제조업 외 4 종,"열회수환기시스템,송풍기,열교환장치,금속울타리용 철물,조립식 구조물"
1302,신우이앤에스,제조업,1932700070,"인천광역시 부평구 부평대로 293, 부평테크시티 1210호 1211호 1212호 1213호 1214호 (청천동)","근무복, 작업복 및 유사의복 제조업",학생복 및 유니폼
1303,신우정공,제조업,1220826024,"인천광역시 부평구 새벌로 29 5층 516호 (청천동, 부평테크노타워) 5층 516호",스크린 인쇄업,실크인쇄
1304,신우테크,제조업,1300396230,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B2층 B207호 외 1필지",주형 및 금형 제조업,금형부품가공
1305,신우테크,제조업,1223185846,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 3층 308-B호",전자부품 실장기판 제조업,전자부품 표면 실장 처리
1306,신우테크,제조업,1223185846,"인천광역시 부평구 부평대로 283, C동 12층 1209 (청천동, 부평 우림라이온스밸리)","전기회로 개폐, 보호장치 제조업 외 1 종",블랙박스
1307,신우통상(주),제조업,3738700670,"인천광역시 부평구 부평대로 293 1층 B101호 (청천동, 부평테크시티) 1층 B101호",그 외 기타 봉제의복 제조업 외 19 종,"남성정장, 근무복, 유니폼 등"
1308,신의테크놀러지,제조업,1533100142,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B116호 외 3필지","탭, 밸브 및 유사장치 제조업","보일러, 정수기 부품, 밸브, 스위치, 센서"
1309,신진ENG,제조업,1220110445,"인천광역시 부평구 부평대로 283, C동 203B호, 204호, B237호 (청천동)",주형 및 금형 제조업,밸브부품
1310,신창산업,제조업,1303478274,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 1층 106호",주형 및 금형 제조업,금형
1311,신창하이텍,제조업,1210941470,"인천광역시 부평구 백범로577번길 20, 413호 414호(십정동, 경인센타)",배전반 및 전기 자동제어반 제조업,전기제어반
1312,신한산업,제조업,1301687411,인천광역시 부평구 부평북로 301 (갈산동),그 외 기타 고무제품 제조업,고무 / 실리콘 제품
1313,신한일전자(주),제조업,1228608567,인천광역시 부평구 경인로 1123 (일신동),구조용 금속 판제품 및 공작물 제조업 외 4 종,"탈수기,모타,카바(케이스)"
1314,신한테크,제조업,1222936681,"인천광역시 부평구 평천로 51, 신한테크 (청천동)","플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종","도전성 필름, 대전방지 필름, 난연필름"
1315,신화기업,제조업,2814800673,인천광역시 부평구 청농로 27 (청천동),주형 및 금형 제조업,금형 및 기계부품
1316,신화와이어컷팅,제조업,6774900643,"인천광역시 부평구 주부토로 236, A동 404호(갈산동, 인천테크노밸리 U1센터) A동 404호",그 외 기타 금속가공업,"프레스/사출 금형, 반도체/로봇 부품, 특수 전선 외"
1317,신화정밀,제조업,1225287005,인천광역시 부평구 백범로577번길 15-16 (십정동),운송장비 조립용 플라스틱제품 제조업 외 2 종,"사출금형, 의료기기사출품"
1318,신흥테크(주),제조업,1228620692,"인천광역시 부평구 평천로255번길 13, 7층 705호  (청천동) 7층 705호 외 1필지",기타 전기 변환장치 제조업,"변압기, 철도용 미니본드"
1319,신흥프라스틱,제조업,1222582038,"인천광역시 부평구 부평대로 301 2층 213호 (청천동, 남광센트렉스) 2층 213호",비 및 솔 제조업,칫솔 및 주방용품
1320,싸인종합광고,제조업,1222448014,"인천광역시 부평구 평천로255번길 13, 3층 307호 (청천동) 3층 307호",스크린 인쇄업 외 1 종,"스크린 인쇄,  기타 인쇄물"
1321,쌍마공업,제조업,1225376806,인천광역시 부평구 서달로320번길 16 (청천동),디지털 적층 성형기계 제조업 외 1 종,호이스트부품
1322,써니북스,제조업,1810900715,"인천광역시 부평구 새벌로 45, 2층 (청천동)",제책업,서적
1323,썬의지보조기의료기,제조업,1221843852,"인천광역시 부평구 부평대로 337, 5층 526호(청천동, 부평 제이타워3차 지식산업센터) 5층 526호",정형외과용 및 신체보정용 기기 제조업,의수족
1324,썬쥬얼리,제조업,1221396112,"인천광역시 부평구 부평대로 283, A동 7층 710 (청천동, 부평 우림라이온스밸리)",컨베이어장치 제조업 외 1 종,컨베이어
1325,썬테크,제조업,1301740179,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 752호,그 외 기타 전자부품 제조업,전자부품
1326,썬텍,제조업,1371079792,"인천광역시 부평구 부평북로 245, 4층(청천동, 레드런)(청천동)",전기용 탄소제품 및 절연제품 제조업,"멤브레인 스위치, 발열체"
1327,씨앤피테크,제조업,6701500195,"인천광역시 부평구 부평대로 293, 11층 1110호, 1112호(청천동, 부평테크시티)",전기.전자 및 정밀기기 수리업,전자부품수리
1328,씨앤피테크 2공장,제조업,6701500195,"인천광역시 부평구 부평대로 293, 부평테크시티 1112호 (청천동)",전기.전자 및 정밀기기 수리업,전자부품수리
1329,씨에스프리시전,제조업,1212098978,인천광역시 부평구 서달로298번길 98 (청천동) 1층,주형 및 금형 제조업,금형
1330,씨티엔에스(주),제조업,1308600057,"인천광역시 부평구 부평대로 301 7층 703호 (청천동, 남광센트렉스) 7층 703호",그 외 기타 특수목적용 기계 제조업 외 1 종,자동화설비
1331,씽큐텍,제조업,8082301402,"인천광역시 부평구 부평대로 337, 8층 810호(청천동, 부평 제이타워3차 지식산업센터) 8층 810호 외 1필지",유압기기 제조업,유공압기기
