순번,회사명,공장대표주소(도로명),업종명,생산품,데이터기준일
111,주식회사 와이비씨푸드,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층 2호 외 1필지,기타 수산동물 가공 및 저장 처리업,수산물 가공품,2025-05-27
112,주식회사 우신에프에스,인천광역시 중구 항동7가 58-170번지 외 1필지,"수산동물 훈제, 조리 및 유사 조제식품 제조업","자숙전복, 자숙홍합, 자숙문어",2025-05-27
113,지에스칼텍스(주) 윤활유공장,인천광역시 중구 월미로 182 (북성동1가),윤활유 및 그리스 제조업,윤활유,2025-05-27
114,진성정보시스템(주),인천광역시 중구 운남로 64-23 (운남동),방송장비 제조업,보안용카메라,2025-05-27
115,진양수산,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층3호,수산동물 냉동품 제조업,냉동수산물,2025-05-27
116,천호보링공업사,인천광역시 중구 서해대로 130 (신흥동3가),건설 및 채광용 기계장비 제조업,토목기계장비,2025-05-27
117,충북기공사,인천광역시 중구 서해대로 130 (신흥동3가),선박 구성 부분품 제조업,선박구성부분품,2025-05-27
118,태성조기,인천광역시 중구 연안부두로91번길 12 (항동7가),선박 구성 부분품 제조업,선박구성부분품,2025-05-27
119,토담식품,인천광역시 중구 연안부두로107번길 10-15 (항동7가),수산동물 건조 및 염장품 제조업,"어리굴젓, 연근, 밴댕이젓",2025-05-27
120,티에스사료(주),"인천광역시 중구 월미로 181 (북성동1가, 대한제당㈜)",배합 사료 제조업,사료,2025-05-27
121,평화자동차정비 주식회사,인천광역시 중구 서해대로140번길 8 (신흥동3가),건설 및 채광용 기계장비 제조업,토목건설기계,2025-05-27
122,풍성산기,인천광역시 중구 연안부두로107번길 20-13 (항동7가),선박 구성 부분품 제조업,선박구성부분품,2025-05-27
123,프로금속,인천광역시 중구 항동7가 65번지,선박 구성 부분품 제조업,선박부분품,2025-05-27
124,하늘금속,인천광역시 중구 서해대로210번길 36 (신흥동3가),간판 및 광고물 제조업,간판 및 광고물,2025-05-27
125,한국정공,인천광역시 중구 신흥동3가 42-35번지,기타 가공 공작기계 제조업,"지그정반, 근형플레이트, 프레스다이 등",2025-05-27
126,한성정공,인천광역시 중구 서해대로 167 (항동7가) 외 2필지,주형 및 금형 제조업,"금형, 드라이브 플레이트(자동차부품)",2025-05-27
127,현대공영(주),인천광역시 중구 서해대로 114 (신흥동3가),"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","방파제, 방파제벽돌, 방파제, 방파제벽돌",2025-05-27
128,화남기계,인천광역시 중구 축항대로296번길 56-46(신흥동3가),분사기 및 소화기 제조업,무인기관실용 자동소화장치,2025-05-27
129,화창종합디젤,인천광역시 중구 축항대로118번길 164 (항동7가),선박 구성 부분품 제조업,감속기 등 중고엔진 수리 등,2025-05-27
130,희창물산(주),"인천광역시 중구 축항대로86번길 138 (항동7가, 희창물산㈜)",수산동물 냉동품 제조업,냉동품,2025-05-27
