연번,회사명,공장대표주소,업종
2106,제이엘후드텍,"인천광역시 부평구 부평대로 301 8층 824호 (청천동, 남광센트렉스) 8층 824호",과자류 및 코코아 제품 제조업
2107,제이엠씨 ,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 9층 902호",포장용 플라스틱 성형용기 제조업
2108,제이엠에스,"인천광역시 부평구 부평대로 283, C동 9층 905 (청천동, 부평 우림라이온스밸리)",스크린 인쇄업
2109,제이오토먼트,"인천광역시 부평구 평천로255번길 13, 3층 305호 (청천동) 3층 305호",비주거용 건물 임대업
2110,제이와이스코리아(주),"인천광역시 부평구 새벌로 4, 공장동 3층 301호(청천동)",기타 직물제품 제조업
2111,제이원 켐텍,"인천광역시 부평구 부평대로 337, 12층 1242호(청천동, 부평 제이타워3차 지식산업센터) 12층 1242호",경영 컨설팅업
2112,제이원컴퍼니,"인천광역시 부평구 주부토로 236, (갈산동, 인천테크노밸리 U1센터) 제비동 3층 311호",기타 인쇄업
2113,제이케이 인테리어,"인천광역시 부평구 부평대로 337, 11층 1128호(청천동, 부평 제이타워3차 지식산업센터) 11층 1128호",비주거용 건물 임대업
2114,제이케이테크,"인천광역시 부평구 부평대로 337, 10층 1005호(청천동, 부평 제이타워3차 지식산업센터) 10층 1005호",기타 전기 변환장치 제조업
2115,제이케이텍,"인천광역시 부평구 부평대로 337, 3층 331호(청천동, 부평 제이타워3차 지식산업센터) 3층 331호",컴퓨터 제조업
2116,제이콤(주),"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제시동 17층 1713호",유선 통신장비 제조업 외 1 종
2117,제이텍,"인천광역시 부평구 평천로199번길 34, 2층 (청천동)",전시용 모형 제조업 외 1 종
2118,제일FC,인천광역시 부평구 가좌로84번길 59(십정동),기타 식사용 가공처리 조리식품 제조업
2119,제일기획에스엔피(주),"인천광역시 부평구 주부토로 236,(갈산동) 제디동 2층 216호",기타 인쇄업
2120,제일이엔지,인천광역시 부평구 평천로199번길 53 (청천동),주형 및 금형 제조업
2121,제일정밀,"인천광역시 부평구 새벌로 29, 4층 418호(청천동, 부평테크노타워) 4층 418호",기타 가공 공작기계 제조업 외 1 종
2122,제일정밀,"인천광역시 부평구 부평대로 337, 3층 306호(청천동, 부평 제이타워3차 지식산업센터) 3층 306호",그 외 기타 특수목적용 기계 제조업 외 1 종
2123,제일진흥(주),"인천광역시 부평구 백범로577번길 20 (십정동, 경인센타)",비주거용 건물 임대업 외 2 종
2124,제피에스볼링,"인천광역시 부평구 부평대로 293, 5층 501호 (청천동, 부평테크시티) 5층 501호",가방 및 기타 보호용 케이스 제조업
2125,조선아이에스(주),인천광역시 부평구 부평대로313번길 14 (청천동),"광고물 문안, 도안, 설계 등 작성업"
2126,조선환경신문 인천지사,"인천광역시 부평구 부평대로 337, 8층 827호(청천동, 부평 제이타워3차 지식산업센터) 8층 827호",신문 발행업
2127,조이,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 7층 717호,기타 직물제품 제조업
2128,조이포스터,"인천광역시 부평구 부평대로 337, 5층 513호 (청천동, 부평 제이타워3차 지식산업센터) 5층 513호",경 인쇄업
2129,조이풀컴퍼니(주),"인천광역시 부평구 새벌로 29 3층 306호 (청천동, 부평테크노타워) 3층 306호",인테리어 디자인업 외 1 종
2130,종화철강,인천광역시 부평구 부평북로 42 (청천동),자동차용 금속 압형제품 제조업 외 1 종
2131,주경정밀,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B227호",자동차용 금속 압형제품 제조업 외 1 종
2132,주노어패럴,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B2층 B201호 외 6필지",셔츠 및 블라우스 제조업 외 1 종
2133,주성산업,"인천광역시 부평구 청농로32번길 10, 1층 (청천동)",주형 및 금형 제조업
2134,주성테크,"인천광역시 부평구 부평대로 301 4층 416호 (청천동, 남광센트렉스) 4층 416호",반도체 제조용 기계 제조업
2135,주식회사 건영종합전기,인천광역시 부평구 열우물로 149 (십정동),그 외 기타 전기장비 제조업
2136,주식회사 계양조명,"인천광역시 부평구 부평대로 337, 6층 647호 (청천동, 부평 제이타워3차 지식산업센터) 6층 647호 외 1필지",일반용 전기 조명장치 제조업
2137,주식회사 뉴엘앤비,"인천광역시 부평구 부평대로 293, 11층 1118호 (청천동, 부평테크시티) 11층 1118호",일반용 전기 조명장치 제조업
2138,주식회사 다인,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) C동 9층 907호",그 외 기타 플라스틱 제품 제조업
2139,주식회사 닷,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 5층 510-C호",그 외 기타 전자부품 제조업 외 1 종
2140,주식회사 대현테크노,"인천광역시 부평구 백범로577번길 20, 공장동동 6층 642호 (십정동, 경인센타) 공장동 6층 642호",운송장비 조립용 플라스틱제품 제조업
2141,주식회사 더블유케이푸드,"인천광역시 부평구 부평북로236번길 49, 306호(청천동, 천미테크) (청천동)",기타 식사용 가공처리 조리식품 제조업
2142,주식회사 더블케이앤제이,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 4층 410호",콜센터 및 텔레마케팅 서비스업
2143,주식회사 더에스엔제이,"인천광역시 부평구 새벌로 4, 2층 (청천동)",핸드백 및 지갑 제조업
2144,주식회사 덕산,"인천광역시 부평구 길주로 633, 801호, 803호, 804호 (삼산동, 삼산메디캐슬)",방송장비 제조업 외 5 종
2145,주식회사 동동구리무,인천광역시 부평구 새벌로 60 (청천동),화장품 제조업
2146,주식회사 동신하이텍,인천광역시 부평구 새벌로 28 (청천동),벽 및 바닥 피복용 플라스틱제품 제조업 외 2 종
2147,주식회사 동양인터내셔날,"인천광역시 부평구 새벌로 4 (청천동) 3층, 4층","근무복, 작업복 및 유사의복 제조업 외 8 종"
2148,주식회사 동익엔지니어링,"인천광역시 부평구 부평대로 301 5층 523호 (청천동, 남광센트렉스) 5층 523호",배전반 및 전기 자동제어반 제조업
2149,주식회사 디오르,"인천광역시 부평구 주부토로 236, (갈산동, 인천테크노밸리 U1센터) 제디동 4층 416호",일반용 전기 조명장치 제조업
2150,주식회사 디오엠테크,"인천광역시 부평구 백범로577번길 20, 공장동동 5층 538호 (십정동, 경인센타) 공장동 5층 538호",가정용 및 산업용 공기 조화장치 제조업 외 1 종
2151,주식회사 디자인푸드,인천광역시 부평구 안남로369번길 50 (청천동) 2층,도시락류 제조업
2152,주식회사 리노셈,"인천광역시 부평구 부평대로 301 8층 822호 (청천동, 남광센트렉스) 8층 822호 외 7필지",그 외 기타 의료용 기기 제조업
2153,주식회사 맥파이온,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 3층 302-A호 외 1필지",산업용 로봇 제조업
2154,주식회사 메이튼오토랩,"인천광역시 부평구 안남로369번길 8, 1~4층 (청천동)",자동차 차체용 신품 부품 제조업
2155,주식회사 모닝상사,인천광역시 부평구 백범로577번길 15-10 (십정동),"근무복, 작업복 및 유사의복 제조업 외 3 종"
2156,주식회사 벚꽃,"인천광역시 부평구 부평대로 337, 4층 417호(청천동, 부평 제이타워3차 지식산업센터) 4층 417호",경영 컨설팅업
2157,주식회사 베스트라이프,"인천광역시 부평구 부평대로 283, B동 4층 409호 (청천동, 부평 우림라이온스밸리)",액체 여과기 제조업 외 1 종
2158,주식회사 브로테크,"인천광역시 부평구 부평대로 301 9층 910호 (청천동, 남광센트렉스) 9층 910호",기타 절연선 및 케이블 제조업
2159,주식회사 브로테크,"인천광역시 부평구 부평대로 301 9층 910호 (청천동, 남광센트렉스) 9층 910호",절연 코드세트 및 기타 도체 제조업
2160,주식회사 브릴리언트,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 609호",비디오 및 기타 영상기기 제조업
2161,주식회사 비바,인천광역시 부평구 청중로 98-1 (청천동),기타 무선 통신장비 제조업 외 2 종
2162,주식회사 비에스아이엔티(부평지점),"인천광역시 부평구 부평대로 293 1층 B101-1호 (청천동, 부평테크시티) 1층 B101-1호","근무복, 작업복 및 유사의복 제조업 외 17 종"
2163,주식회사 비엘에어,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 5층 531호",가정용 및 산업용 공기 조화장치 제조업 외 1 종
2164,주식회사 삼구이앤티,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 3층 309호",전자부품 실장기판 제조업
2165,주식회사 삼우화인텍,"인천광역시 부평구 부평대로 301 3층 313호 (청천동, 남광센트렉스) 3층 313호",비주거용 건물 임대업
2166,주식회사 선일컴퍼니,인천광역시 부평구 부평대로313번길 84 (청천동),유아용 의복 제조업
2167,주식회사 세이버스,"인천광역시 부평구 무네미로448번길 56, S404호(구산동, 한국폴리텍대학(인천캠퍼스))",기타 전기 변환장치 제조업
2168,주식회사 세창엔지니어링,"인천광역시 부평구 안남로 404, 1~2층(일부) (청천동)",일반용 전기 조명장치 제조업
2169,주식회사 스마트에프앤디,"인천광역시 부평구 부평대로313번길 32, 3층 (청천동)",남자용 겉옷 제조업 외 9 종
2170,주식회사 스마티웍스,"인천광역시 부평구 부평대로 283, A동 6층 612 (청천동, 부평 우림라이온스밸리) A동 6층 612호",전시 및 광고용 조명장치 제조업 외 2 종
2171,주식회사 스페이스엠,인천광역시 부평구 항동로103번길 32 (일신동),"금속 문, 창, 셔터 및 관련제품 제조업 외 9 종"
2172,주식회사 시공상회,"인천광역시 부평구 부평대로 337, 7층 731호 (청천동, 부평 제이타워3차 지식산업센터) 7층 731호",기타 목재가구 제조업
2173,주식회사 시소컴퍼니,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 1층 104호",기타 게임 소프트웨어 개발 및 공급업 외 1 종
2174,주식회사 시소컴퍼니,"인천광역시 부평구 부평대로 283, B동 7층 708호 (청천동, 부평 우림라이온스밸리)",기타 게임 소프트웨어 개발 및 공급업 외 1 종
2175,주식회사 신성라이텍,"인천광역시 부평구 새벌로 44, 3층 305호 (청천동)",기타 전기 변환장치 제조업 외 1 종
2176,주식회사 신안룩스,"인천광역시 부평구 평천로255번길 38, 4층 (청천동)",일반용 전기 조명장치 제조업
2177,주식회사 썬텍,"인천광역시 부평구 부평대로 301 7층 703호 (청천동, 남광센트렉스) 7층 703호",비주거용 건물 임대업
2178,주식회사 씨앤에이치,"인천광역시 부평구 평천로93번길 5-1, 101호(청천동, 남강쉐르빌)",전자감지장치 제조업 외 6 종
2179,주식회사 씨엠네트워크,"인천광역시 부평구 부평대로 283, C동 8층 809 (청천동, 부평 우림라이온스밸리)",방송장비 제조업
2180,주식회사 아시아홈테크,"인천광역시 부평구 부평북로 247, 2층 (청천동)",목재문 및 관련제품 제조업
2181,주식회사 아이제이글로벌,"인천광역시 부평구 부평대로 337, 9층 921호 (청천동, 부평 제이타워3차 지식산업센터) 9층 921호 외 1필지",담배제품 제조업
2182,주식회사 아지즈,"인천광역시 부평구 청천마차로 92, 4층 (청천동)",전기경보 및 신호장치 제조업 외 2 종
2183,주식회사 에스디라이팅,"인천광역시 부평구 새벌로 44, 306호 (청천동)",일반용 전기 조명장치 제조업
2184,주식회사 에스엔티,"인천광역시 부평구 백범로577번길 20, 공장동동 6층 642호 (십정동, 경인센타) 공장동 6층 642호",침구 및 관련제품 제조업
2185,주식회사 에스이엠,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 609-B호 외 1필지",보안시스템 서비스업
2186,주식회사 에이치더블유엘,"인천광역시 부평구 평천로199번길 22, 1층 일부, 2,3층 (청천동)",포장용 플라스틱 성형용기 제조업
2187,주식회사 에이치지,"인천광역시 부평구 주부토로 236, 디동 706호 (갈산동, 인천테크노밸리 U1센터) 디동 706호",그 외 기타 금속가공업
2188,주식회사 에코세미텍,"인천광역시 부평구 부평대로 301 8층 820호 (청천동, 남광센트렉스) 8층 820호",발광 다이오드 제조업 외 1 종
2189,주식회사 엔디케이,"인천광역시 부평구 부평대로 337, 4층 422호 (청천동, 부평 제이타워3차 지식산업센터) 4층 422호",동력식 수지공구 제조업
2190,주식회사 엔와이지,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 6층 603-B호",그 외 기타 전자부품 제조업
2191,주식회사 엔젤시스템,"인천광역시 부평구 부평대로 293, 7층 715호 (청천동, 부평테크시티) 7층 715호 외 2필지",응용 소프트웨어 개발 및 공급업
2192,주식회사 엘이디솔루션,"인천광역시 부평구 백범로577번길 20, 공장동동 8층 811호 (십정동, 경인센타) 공장동 8층 811호",전자부품 실장기판 제조업 외 3 종
2193,주식회사 엠유트론,"인천광역시 부평구 부평대로 293, 11층 1119호(청천동, 부평테크시티) 11층 1119호",시스템 소프트웨어 개발 및 공급업
2194,주식회사 오션솔라라이팅,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) C동 3층 308호",일반용 전기 조명장치 제조업 외 1 종
2195,주식회사 오픈네트웍스,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 7층 709호 7층 709호,통신 재판매업
2196,주식회사 웰라인시스템,"인천광역시 부평구 경인로1059번길 28, 2층 201호 (부개동)",전자부품 실장기판 제조업
2197,주식회사 유림전력,"인천광역시 부평구 부평대로 293, 7층 703호 (청천동, 부평테크시티) 7층 703호",전기회로 접속장치 제조업
2198,주식회사 융성,"인천광역시 부평구 주부토로 236, A동 B109호 (갈산동, 인천테크노밸리 U1센터) A동 B109호","금속 문, 창, 셔터 및 관련제품 제조업 외 6 종"
2199,주식회사 이노바메디,"인천광역시 부평구 부평대로 337, 12층 1214호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1214호",그 외 기타 의료용 기기 제조업 외 1 종
2200,주식회사 이니지오,"인천광역시 부평구 부평대로 337, 11층 1128호(청천동, 부평 제이타워3차 지식산업센터) 11층 1128호",금속 가구 제조업
2201,주식회사 이알,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 3층 303호",이동전화기 제조업
2202,주식회사 이앤리빙,"인천광역시 부평구 안남로434번길 57, 3층 (청천동)",커튼 및 유사제품 제조업
2203,주식회사 이재현푸드,"인천광역시 부평구 부평대로 337, 4층 416호 (청천동, 부평 제이타워3차 지식산업센터) 4층 416호",천연 및 혼합조제 조미료 제조업
2204,주식회사 이지케이,"인천광역시 부평구 부평대로 293, 7층 718호(일부) (청천동, 부평테크시티) 7층 718호",전기경보 및 신호장치 제조업
2205,주식회사 이피에스,"인천광역시 부평구 부평대로297번길 28, 1층 (청천동)",인쇄회로기판용 적층판 제조업 외 2 종
2206,주식회사 인천스카이,"인천광역시 부평구 새벌로 45, 2층 (청천동)",전동기 및 발전기 제조업
2207,주식회사 인하앤니즈랩,"인천광역시 부평구 부평대로 301, 3층 320호 (청천동, 남광센트렉스) 3층 320호","물질 검사, 측정 및 분석기구 제조업 외 1 종"
2208,주식회사 잔별마켓,"인천광역시 부평구 부평대로 337, 9층 936호 (청천동, 부평 제이타워3차 지식산업센터) 9층 936호",포장 및 충전업
2209,주식회사 제우스디자인,"인천광역시 부평구 새벌로 29, 4층 404호(청천동, 부평테크노타워) 4층 404호",기타 목재가구 제조업 외 1 종
2210,주식회사 제이앤,인천광역시 부평구 부평대로 337 (청천동),비주거용 건물 임대업 외 2 종
2211,주식회사 제이앤,인천광역시 부평구 부평대로 337 (청천동),비주거용 건물 임대업 외 2 종
2212,주식회사 지티에스앤,"인천광역시 부평구 평천로141번길 39, 2층(청천동)",기타 운동 및 경기용구 제조업 외 2 종
2213,주식회사 집쇼코리아,"인천광역시 부평구 부평대로 293, 2층 B212호 (청천동, 부평테크시티) 2층 B212호",전시용 모형 제조업 외 2 종
2214,주식회사 케이원테크 ,"인천광역시 부평구 부평대로 301 5층 508-2호 (청천동, 남광센트렉스) 5층 508-2호",비주거용 건물 임대업
2215,주식회사 코머스,"인천광역시 부평구 부평대로 337, 11층 1114호(청천동, 부평 제이타워3차 지식산업센터) 11층 1114호",광고 대행업
2216,주식회사 코스랩코리아,"인천광역시 부평구 안남로402번길 70, 2층 202호 (청천동)",화장품 제조업
2217,주식회사 크레아,인천광역시 부평구 부평대로297번길 58 (청천동),자동차 차체용 신품 부품 제조업
2218,주식회사 키다리아저씨,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B204호","체조, 육상 및 체력단련용 장비 제조업"
2219,주식회사 탐라,"인천광역시 부평구 부평북로 5, 3층 (청천동)",기타 주변기기 제조업
2220,주식회사 태성엔지니어링,인천광역시 부평구 평천로115번길 17 (청천동),전동기 및 발전기 제조업
2221,주식회사 태성엔텍,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 4층 442호 외 1필지",배전반 및 전기 자동제어반 제조업
2222,주식회사 티앤제이티,"인천광역시 부평구 부평대로 301 7층 701호 (청천동, 남광센트렉스) 7층 701호",기기용 자동측정 및 제어장치 제조업
2223,주식회사 티엠라이팅,"인천광역시 부평구 경인로 1025-1, 2층 (부개동)",일반용 전기 조명장치 제조업
2224,주식회사 파워스캔,"인천광역시 부평구 평천로 251, 2층 (청천동)","전자기 측정, 시험 및 분석기구 제조업"
2225,주식회사 파이로직스,인천광역시 부평구 새벌로 44 (청천동),방송장비 제조업
2226,주식회사 파파테크,"인천광역시 부평구 새벌로 29 7층 711호 (청천동, 부평테크노타워) 7층 711호",배전반 및 전기 자동제어반 제조업 외 2 종
2227,주식회사 포그코리아,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) B동 6층 611호 외 1필지",시스템 소프트웨어 개발 및 공급업
2228,주식회사 폰케어,"인천광역시 부평구 부평대로 283, C동 5층 505 (청천동, 부평 우림라이온스밸리)",기타 전기 변환장치 제조업 외 1 종
2229,주식회사 프리티걸즈,"인천광역시 부평구 부평대로313번길 77, 3층 (청천동)",유아용 의복 제조업
2230,주식회사 한국시니어테크,"인천광역시 부평구 부평대로 293, 7층 711호 (청천동, 부평테크시티) 7층 711호 외 1필지",응용 소프트웨어 개발 및 공급업
2231,주식회사 한빛방재,인천광역시 부평구 평천로255번길 13 11층 1110호  (청천동) 11층 1110호,기타 엔지니어링 서비스업
2232,주식회사 해리,인천광역시 부평구 부평북로236번길 39 (청천동),금속 위생용품 제조업 외 1 종
2233,주식회사 행복한다람쥐단,"인천광역시 부평구 부평대로 293, 8층 814호 (청천동, 부평테크시티) 8층 814호",시스템 소프트웨어 개발 및 공급업
2234,주식회사 현대티앤알,"인천광역시 부평구 백범로577번길 20, 공장동동 7층 731호 (십정동, 경인센타) 공장동 7층 731호",비디오 및 기타 영상기기 제조업 외 1 종
2235,주식회사 화담,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) B동 6층 611호",전자감지장치 제조업
2236,주식회사 화진몰테크,인천광역시 부평구 부평북로 189 (청천동),그 외 기타 플라스틱 제품 제조업 외 2 종
2237,주식회사 휴앤텍,인천광역시 부평구 안남로 408 (청천동),가정용 및 산업용 공기 조화장치 제조업 외 3 종
2238,주식회사 희망드리미,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 5층 509호",빵류 제조업 외 2 종
2239,주식회사경신인천공장,인천광역시 부평구 가좌로12번길 59 (십정동),자동차용 신품 전기장치 제조업
2240,주식회사제이에이치코리아,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 8층 831호",화장품 제조업
2241,주식회사해찬시스템,"인천광역시 부평구 백범로577번길 20, 공장동동 5층 526호 (십정동, 경인센타) 공장동 5층 526호",비디오 및 기타 영상기기 제조업 외 4 종
2242,주안AMT,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 4층 406호",자동차용 금속 압형제품 제조업 외 1 종
2243,주안디디피,"인천광역시 부평구 부평대로 283, C동 5층 501 (청천동, 부평 우림라이온스밸리)",그 외 기타 전자부품 제조업
2244,주영,"인천광역시 부평구 부평대로 337, 12층 1207호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1207호",비주거용 건물 임대업
2245,주영ENG,인천광역시 부평구 항동로125번길 7 (일신동),주형 및 금형 제조업
2246,주원스텐레스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 3층 307호",비주거용 건물 임대업
2247,주원시스템,"인천광역시 부평구 부평대로 293, 11층 1105호 (청천동, 부평테크시티) 11층 1105호",배전반 및 전기 자동제어반 제조업
2248,주원전자,"인천광역시 부평구 부평대로 337, 6층 639호(청천동, 부평 제이타워3차 지식산업센터) 6층 639호",그 외 기타 전기장비 제조업
2249,주은테크,인천광역시 부평구 평천로255번길 13 7층 708호  (청천동) 7층 708호,배전반 및 전기 자동제어반 제조업
2250,주학이엔지(주),"인천광역시 부평구 주부토로 236, D동 503호 (갈산동, 인천테크노밸리 U1센터) D동 503호",전시 및 광고용 조명장치 제조업
2251,주호테크,"인천광역시 부평구 주부토로 236, A동 B101호(갈산동, 인천테크노밸리 U1센터) A동 B101호",주형 및 금형 제조업 외 3 종
2252,준실업,인천광역시 부평구 청천마차로 216 (청천동),그 외 기타 전자부품 제조업 외 1 종
2253,준일산업(주),인천광역시 부평구 안남로418번길 81 (청천동),포장용 플라스틱 성형용기 제조업
2254,준테크,"인천광역시 부평구 부평대로 301 3층 302호 (청천동, 남광센트렉스) 3층 302호",기타 가정용 전기기기 제조업
2255,준테크,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 11층 1108호","전기회로 개폐, 보호장치 제조업 외 1 종"
2256,중소기업경영지원단 온뉴,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 9층 904호",경영 컨설팅업
2257,중앙S&EC,"인천광역시 부평구 부평대로 337, 10층 1030호 (청천동, 부평 제이타워3차 지식산업센터) 10층 1030호",경영 컨설팅업
2258,중앙엔지니어링,인천광역시 부평구 부평북로 3 (청천동),주형 및 금형 제조업
2259,중앙전기,"인천광역시 부평구 부평대로 337, 7층 733호(청천동, 부평 제이타워3차 지식산업센터) 7층 733호",배전반 및 전기 자동제어반 제조업
2260,중원엔지니어링,"인천광역시 부평구 부평대로 337, 2층 228호(청천동, 부평 제이타워3차 지식산업센터) 2층 228호 외 2필지",절삭가공 및 유사처리업
2261,지니비젼,"인천광역시 부평구 부평대로 337, 8층 810호(청천동, 부평 제이타워3차 지식산업센터) 8층 810호",광고 대행업
2262,지바시스템 주식회사 3공장,"인천광역시 부평구 부평대로 293, 8층 807호(청천동, 부평테크시티) 8층 807호",배전반 및 전기 자동제어반 제조업
2263,지비시스템 주식회사,"인천광역시 부평구 부평대로 293 8층 805호 (청천동, 부평테크시티) 8층 805호 외 2필지",배전반 및 전기 자동제어반 제조업
2264,지승시스템,"인천광역시 부평구 부평대로 337, 7층 751호(청천동, 부평 제이타워3차 지식산업센터) 7층 751호",배전반 및 전기 자동제어반 제조업
2265,지에스엠비즈(주),인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 B1층 B111호,기기용 자동측정 및 제어장치 제조업
2266,지에이,인천광역시 부평구 부평대로329번길 62 (청천동),자동차용 신품 전기장치 제조업
2267,지에프,"인천광역시 부평구 새벌로 29 4층 408호 (청천동, 부평테크노타워) 4층 408호",액체 펌프 제조업
2268,지와이컨넥터,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 2층 206호 외 1필지",그 외 기타 전자부품 제조업 외 1 종
2269,지우전자(주),"인천광역시 부평구 부평대로 301, 3층 315호 (청천동, 남광센트렉스) 3층 315호",기타 주변기기 제조업 외 2 종
2270,지의용,"인천광역시 부평구 부평대로 301, 7층 702호 (청천동, 남광센트렉스) 7층 702호",비주거용 건물 임대업
2271,지이에스텍(주),"인천광역시 부평구 부평대로 301 8층 809호 (청천동, 남광센트렉스) 8층 809호",응용 소프트웨어 개발 및 공급업
2272,진 에듀 코리아,"인천광역시 부평구 부평대로 337, 4층 437호(청천동, 부평 제이타워3차 지식산업센터) 4층 437호",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
2273,진명옵티칼(주),"인천광역시 부평구 부평대로313번길 18, 1층 (청천동)",안경 및 안경렌즈 제조업
2274,진성ENG(2공장),"인천광역시 부평구 부평대로 301, 7층 724호 (청천동, 남광센트렉스) 7층 724호",배전반 및 전기 자동제어반 제조업
2275,진성P&T,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 1층 125호",절삭가공 및 유사처리업
2276,진성메카,"인천광역시 부평구 부평대로 337, 10층 1034호 (청천동, 부평 제이타워3차 지식산업센터) 10층 1034호",그 외 기타 전자부품 제조업
2277,진성정공,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 1층 147호",기타 물품 취급장비 제조업
2278,진성정밀,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 6층 608호",주형 및 금형 제조업
2279,진양오일씰산업,인천광역시 부평구 부평북로 193 (청천동),고무패킹류 제조업 외 3 종
2280,진양정공,"인천광역시 부평구 부평대로 337 1층 136호 (청천동, 부평 제이타워3차 지식산업센터) 1층 136호 외 2필지",볼트 및 너트류 제조업
2281,진영프라텍,"인천광역시 부평구 청천마차로 234, 1동 1층일부 (청천동)",그 외 기타 플라스틱 제품 제조업
2282,진일씨엔에스,"인천광역시 부평구 새벌로 29 7층 701호 (청천동, 부평테크노타워) 7층 701호","근무복, 작업복 및 유사의복 제조업 외 10 종"
2283,진장식,인천광역시 부평구 정석로 9 (십정동),커튼 및 유사제품 제조업 외 2 종
2284,진풍정밀,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 B1층 B107호 외 1필지",그 외 기타 플라스틱 제품 제조업
2285,진화퍼시픽 주식회사,"인천광역시 부평구 평천로199번길 56, 1동 4층(청천동)","천막, 텐트 및 유사 제품 제조업 외 13 종"
2286,진흥NCT,인천광역시 부평구 부평북로 54 (청천동),날붙이 제조업
2287,차고지팩토리 ,"인천광역시 부평구 부평대로 337, 7층 731호(청천동, 부평 제이타워3차 지식산업센터) 7층 731호",목재 도구 및 주방용 나무제품 제조업
2288,착한화장품연구소,"인천광역시 부평구 부평대로 337, 12층 1269호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1269호",포장 및 충전업
2289,참죤의료기산업,인천광역시 부평구 새벌로 45 (청천동),그 외 기타 의료용 기기 제조업
2290,창성엔지니어링,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",주형 및 금형 제조업 외 1 종
2291,창성전자,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",운송장비 조립용 플라스틱제품 제조업 외 1 종
2292,창성화학공업사,인천광역시 부평구 경원대로1037번길 16 (십정동),플라스틱 필름 제조업 외 1 종
2293,창영기계,"인천광역시 부평구 부평대로 337, 12층 1208호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1208호",비주거용 건물 임대업
2294,천도기술,"인천광역시 부평구 부평대로 301 9층 916호 (청천동, 남광센트렉스) 9층 916호",전자 응용 절삭기계 제조업
2295,천미테크,인천광역시 부평구 부평북로236번길 49 (청천동),기타 무선 통신장비 제조업
2296,천일2,"인천광역시 부평구 부평대로 337, 3층 330호 (청천동, 부평 제이타워3차 지식산업센터) 3층 330호",비주거용 건물 임대업
2297,천일산업,인천광역시 부평구 가좌로84번길 55 (십정동),도장 및 기타 피막처리업
2298,철물달인,"인천광역시 부평구 부평대로 337, 11층 1117호 (청천동, 부평 제이타워3차 지식산업센터) 11층 1117호",그 외 기타 전기장비 제조업
2299,체어본,"인천광역시 부평구 새벌로 29 8층 803호 (청천동, 부평테크노타워) 8층 803호",그 외 기타 가구 제조업
