연번,회사명,공장대표주소,업종
97,(주)더비씨,"인천광역시 부평구 부평대로 301 8층 818-2호 (청천동, 남광센트렉스) 8층 818-2호","기타 기술 시험, 검사 및 분석업 외 1 종"
98,(주)더플러스엔지니어링,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 11층 1103-B호",건축설계 및 관련 서비스업
99,(주)덕성그린텍,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 12층 1201호",기체 여과기 제조업 외 2 종
100,(주)데브언리밋,"인천광역시 부평구 부평대로 293, 9층 907호 (청천동, 부평테크시티) 9층 907호",응용 소프트웨어 개발 및 공급업
101,(주)데이터하이브,"인천광역시 부평구 부평대로 293, 9층 913호 (청천동, 부평테크시티) 9층 913호",데이터베이스 및 온라인정보 제공업 외 2 종
102,(주)데이터하이브,"인천광역시 부평구 부평대로 293, 9층 913호 (청천동, 부평테크시티) 9층 913호",데이터베이스 및 온라인정보 제공업 외 2 종
103,(주)데코원,인천광역시 부평구 평천로 205 (청천동) 외 1필지,침구 및 관련제품 제조업 외 1 종
104,(주)도움다리,인천광역시 부평구 주부토로 279 (갈산동),그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종
105,(주)도원에이치,인천광역시 부평구 부평대로313번길 84 (청천동),기타 직물제품 제조업
106,(주)동곡,인천광역시 부평구 부평대로313번길 84 (청천동) 2층 1호,침구 및 관련제품 제조업 외 15 종
107,(주)동명양행,인천광역시 부평구 부평대로313번길 18 (청천동) 2층,"근무복, 작업복 및 유사의복 제조업 외 7 종"
108,(주)동명엔지니어링,인천광역시 부평구 부평북로 5(청천동),그 외 기타 일반목적용 기계 제조업 외 1 종
109,(주)동아에스티씨,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",그 외 기타 특수목적용 기계 제조업 외 1 종
110,(주)동아에프이,"인천광역시 부평구 경인로1083번길 62, 2층 (부개동)",배전반 및 전기 자동제어반 제조업
111,(주)동아에프이,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 5층 503-B호",전기회로 접속장치 제조업 외 1 종
112,(주)동양테크놀로지,"인천광역시 부평구 부평대로 283, B동 B104, C동 B131호 (청천동, 부평 우림라이온스밸리)",가정용 및 산업용 공기 조화장치 제조업 외 14 종
113,(주)동양후로아,"인천광역시 부평구 부평북로 363, A동 7호 (삼산동)",합성수지 및 기타 플라스틱 물질 제조업 외 1 종
114,(주)동와,인천광역시 부평구 안남로433번길 8 (청천동),기타 운동 및 경기용구 제조업
115,(주)동우전자,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 4층 403호 외 4필지",전자부품 실장기판 제조업
116,(주)동원롤,인천광역시 부평구 부평북로 379 (삼산동),그 외 기타 특수목적용 기계 제조업 외 2 종
117,(주)동익엔지니어링,인천광역시 부평구 평천로255번길 13 3층 303호  (청천동) 3층 303호,배전반 및 전기 자동제어반 제조업
118,(주)동진실리콘,"인천광역시 부평구 새벌로 29 5층 501호 (청천동, 부평테크노타워) 5층 501호",그 외 기타 고무제품 제조업
119,(주)두리엔터프라이즈,"인천광역시 부평구 백범로577번길 15 -13(십정동, 공장)",그 외 자동차용 신품 부품 제조업 외 4 종
120,(주)두영에프앤디,"인천광역시 부평구 경인로 1123,  1층 동관 (일신동)",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
121,(주)두진금형,인천광역시 부평구 장제로329번길 44 (갈산동),주형 및 금형 제조업
122,(주)두현인텍,인천광역시 부평구 안남로402번길 48(청천동),기타 기계.장비 조립용 플라스틱 제품 제조업 외 2 종
123,(주)둘로스기업,인천광역시 부평구 안남로402번길 15 (청천동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종
124,(주)듀델코리아,"인천광역시 부평구 부평대로 337, 2층 214호 (청천동, 부평 제이타워3차 지식산업센터) 2층 214호",사업시설 유지.관리 서비스업
125,(주)듀센 코리아,"인천광역시 부평구 부평대로 293 11층 1109호 (청천동, 부평테크시티) 11층 1109호",기타 엔지니어링 서비스업
126,(주)듀센코리아,"인천광역시 부평구 새벌로 9, 3~4층 (청천동)",이동전화기 제조업 외 6 종
127,(주)듀센코리아,인천광역시 부평구 부평대로297번길 73 (청천동),이동전화기 제조업 외 5 종
128,(주)듀오카,"인천광역시 부평구 부평대로 337, 10층 1027호 (청천동, 부평 제이타워3차 지식산업센터) 10층 1027호 외 1필지",데이터베이스 및 온라인정보 제공업 외 2 종
129,(주)드림인,"인천광역시 부평구 안남로369번길 30, 3층 3-7호(청천동)",가방 및 기타 보호용 케이스 제조업
130,(주)드림테크이엔씨,"인천광역시 부평구 부평대로 283, A동 7층 712 (청천동, 부평 우림라이온스밸리)","전기회로 개폐, 보호장치 제조업 외 2 종"
131,(주)드림퍼니쳐,인천광역시 부평구 부평북로 183-1 (청천동),기타 목재가구 제조업
132,(주)드웰링,"인천광역시 부평구 부평대로 283, C동 8층 803호 (청천동, 부평 우림라이온스밸리)","물질 검사, 측정 및 분석기구 제조업 외 1 종"
133,(주)디뷰파트너스 (D-View Partners),인천광역시 부평구 가재울로 163 (십정동),커튼 및 유사제품 제조업
134,(주)디브이알씨앤씨,"인천광역시 부평구 부평대로 301 4층 418호 (청천동, 남광센트렉스) 4층 418호",방송장비 제조업 외 5 종
135,(주)디스텍,인천광역시 부평구 주부토로262번길 30 (갈산동),유선 통신장비 제조업 외 2 종
136,(주)디스텍,"인천광역시 부평구 평천로199번길 53, C동 3층 (청천동)",기타 음향기기 제조업
137,(주)디스플레이비투비,"인천광역시 부평구 부평대로 301, 3층 303호 (청천동, 남광센트렉스) 3층 303호",컴퓨터 모니터 제조업 외 3 종
138,(주)디앤디우니코(D&D UNICO Co.Ltd),인천광역시 부평구 평천로199번길 53 (청천동),가방 및 기타 보호용 케이스 제조업
139,(주)디앤시스,"인천광역시 부평구 무네미로448번길 56, 하이테크관307호 (구산동, 폴리텍Ⅱ대학)",컴퓨터 제조업
140,(주)디앤시스,인천광역시 부평구 부평대로297번길 34 (청천동),컴퓨터 제조업
141,(주)디앤시스,"인천광역시 부평구 부평대로 337, 7층 745호 (청천동, 부평 제이타워3차 지식산업센터) 7층 745호",컴퓨터 제조업
142,(주)디앤시스,인천광역시 부평구 새벌로 15 (청천동),컴퓨터 제조업
143,(주)디앤피파크,"인천광역시 부평구 부평대로 301 9층 925호 (청천동, 남광센트렉스) 9층 925호 외 7필지",그 외 기타 전자부품 제조업 외 1 종
144,(주)디에스이엔지,인천광역시 부평구 청천마차로 250 (청천동),일반철물 제조업 외 4 종
145,(주)디에스이엔지,"인천광역시 부평구 부평대로 337, 12층 1217호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1217호",기타 엔지니어링 서비스업
146,(주)디에이텍,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 7층 710호",전기경보 및 신호장치 제조업 외 1 종
147,(주)디에프코리아,"인천광역시 부평구 평천로199번길 53, A동 2층 (청천동)",전구 및 램프 제조업 외 1 종
148,(주)디엔테크,"인천광역시 부평구 부평대로297번길 96, 4층(청천동)",치과용 기기 제조업
149,(주)디와이,"인천광역시 부평구 장제로 170, 지하1층 (부평동, 금호레스빌)",문구용 종이제품 제조업
150,(주)디자인시스템,"인천광역시 부평구 부평대로 337, 7층 720호(청천동, 부평 제이타워3차 지식산업센터) 7층 720호 외 2필지",일반용 전기 조명장치 제조업 외 1 종
151,(주)디저트앤,인천광역시 부평구 부평대로313번길 18 (청천동) 3층,빵류 제조업
152,(주)디저트앤 부평지점,"인천광역시 부평구 부평대로 337, 7층 746호(청천동, 부평 제이타워3차 지식산업센터) 7층 746호",빵류 제조업
153,(주)디지탈웍스,"인천광역시 부평구 부평대로 283, C동 2층 206 (청천동, 부평 우림라이온스밸리)",배전반 및 전기 자동제어반 제조업
154,(주)디지탈웨어,"인천광역시 부평구 부평대로 283, C동 9층 909 (청천동, 부평 우림라이온스밸리)",비디오 및 기타 영상기기 제조업 외 4 종
