번호,산업분류번호,업체명,소재지,주생산품,데이터기준일자
138,20,(주)디엔에프,"대전광역시 대덕구 대화로132번길 142 (대화동, 디엔에프)","표면 광택제, 반도체 전구체, 반도체 전구체",2025-08-18
139,20,(주)디엔에프 제2공장,"대전광역시 대덕구 대전로1331번길 190, 디엔에프 대화2공장 (대화동)",고기능성 코팅액,2025-08-18
140,20,(주)디엔에프신소재,"대전광역시 대덕구 대전로1331번길 190, (주)디엔에프신소재(대화동, (주)디엔에프 대화2공장)","차량용모니터, 전후방카메라 등",2025-08-18
141,26,(주)디엠텍,"대전광역시 대덕구 선비마을로5번길 13, 2층 (송촌동)",자동차부품,2025-08-18
142,30,(주)디와이메탈웍스 제2공장,"대전광역시 대덕구 대화로132번길 113 (대화동, 유신당인쇄)","탈취제, 이산화염소 수용액",2025-08-18
143,10,(주)디와이씨,대전광역시 대덕구 신일서로85번길 53(신일동),인젝터,2025-08-18
144,30,(주)디젤서비스코리아,대전광역시 대덕구 대화로50번길 63 (대화동),항공기컨테이너,2025-08-18
145,29,(주)디케이에이 코리아,대전광역시 대덕구 벚꽃길 91 (상서동),화장품 외,2025-08-18
146,20,(주)또르르,"대전광역시 대덕구 문평서로17번길 55, 2층 (문평동)","폴리에틸렌, 폴리에틸렌, 폴리에틸렌",2025-08-18
147,22,(주)라이온켐텍,"대전광역시 대덕구 대덕대로1277번길 36 (문평동, (주)라이온켐텍)",플라스틱 시트 및 판,2025-08-18
148,23,(주)라이온켐텍,대전광역시 대덕구 문평서로 70 (문평동),금융권 여직원복외,2025-08-18
149,14,(주)라이트모드,"대전광역시 대덕구 우암로 435, A지1층 (비래동)",시뮬레이터 프로그램,2025-08-18
150,58,(주)라인디지털,대전광역시 대덕구 대화로32번길 60-50(대화동),서미스터,2025-08-18
151,26,(주)래트론,"대전광역시 대덕구 대덕대로1448번길 182 (신일동, (주)래트론)",필름형 히터,2025-08-18
152,26,(주)래트론,"대전광역시 대덕구 신탄진로756번길 80, 1동 2층 (신탄진동, (주)에스알아이텍)",온도센서,2025-08-18
153,26,(주)래트론1공장,대전광역시 대덕구 신일동로33번길 31 (신일동),방사선원표준용기,2025-08-18
154,25,(주)램파트,"대전광역시 대덕구 문평서로17번길 55, 2층 (문평동)",공기청정기,2025-08-18
155,29,(주)랩죤,대전광역시 대덕구 대화로50번길 47 (대화동),"알미늄창호, 프리스틱창호",2025-08-18
156,25,(주)럭키건설산업,대전광역시 대덕구 오정로76번길 16 (오정동),스크린골프센스,2025-08-18
157,26,(주)레드골프글로벌,대전광역시 대덕구 신일서로67번길 56 (신일동),LED램프,2025-08-18
158,28,(주)레딕스,대전광역시 대덕구 문평서로 8-24 (문평동),자동화 장비,2025-08-18
159,28,(주)레이제라,"대전광역시 대덕구 대화로 120, 11층 1119호(대화동, 가온비즈타워) 11층 1119호 외 2필지","앨씨디부품,로봇부품",2025-08-18
160,29,(주)로보엔지니어링,"대전광역시 대덕구 평촌2길 60 (평촌동, (주)로봇엔지니어링)",알미늄방충망,2025-08-18
161,25,(주)로얄방충망,"대전광역시 대덕구 대덕대로1447번길 53 (문평동, (주)로얄방충망)","전자부품(TR,MSR,IC 등), 전자부품(TR,MSR,IC 등), 전자부품(TR,MSR,IC 등), 전자부품(TR,MSR,IC 등)",2025-08-18
162,26,(주)로옴코리아,"대전광역시 대덕구 문평서로17번안길 40 (문평동, 로옴코리아)",전자부품,2025-08-18
163,26,(주)로옴코리아,"대전광역시 대덕구 문평동 42-2,5번지",mixer커피,2025-08-18
164,10,(주)로즈가든,"대전광역시 대덕구 방두말5길 11 (상서동, (주)대화디지탈)",가스분석기,2025-08-18
165,27,(주)로카스,"대전광역시 대덕구 신일서로85번길 91, 3층 303호 (신일동, 벤쳐타운다산관)",화학첨가물,2025-08-18
166,20,(주)롤로,대전광역시 대덕구 신일서로67번길 54 (신일동),"조명기구, 조명기구, 조명기구",2025-08-18
167,28,(주)루미아전기조명,대전광역시 대덕구 한남로 159 (오정동),"보안소프트웨어 개발, 컴퓨터 보안 관련 유지보수",2025-08-18
168,58,(주)류텍,"대전광역시 대덕구 대화로106번길 66, 11층 1124호(대화동, 펜타플렉스) 11층 1124호",산업용 가스,2025-08-18
169,20,(주)리가스,대전광역시 대덕구 문평서로17번길 46 (문평동),산업용 가스,2025-08-18
170,20,(주)리가스,대전광역시 대덕구 대덕대로1284번길 17 (신일동),"NeuralBlock V1.0, Frsh/Biotrack(Saas) / 블록체인 관련 네트워크 서비스 구축 및 관리",2025-08-18
171,62,(주)리드포인트시스템,"대전광역시 대덕구 대화로 120,(대화동, 가온비즈타워) 1동 10층 1036호 외 1필지","잔류가스분석시스템, 헬륨누설감지시스템",2025-08-18
172,29,(주)리얼텍,"대전광역시 대덕구 대화로 120, 6층 635호(대화동, 가온비즈타워) 6층 635호 외 1필지","에스테필, 파워필",2025-08-18
173,21,(주)리젠바이오텍,대전광역시 대덕구 대화로139번길 20 (대화동),산업용가스,2025-08-18
174,20,(주)릭스에어,대전광역시 대덕구 문평서로17번길 46(문평동),"책상,책꽂이,식탁,수납장",2025-08-18
175,32,(주)링크텍,대전광역시 대덕구 오정동 486-2번지,"Dry Scrubber, 흡착제",2025-08-18
176,29,(주)마디,대전광역시 대덕구 신일서로18번길 38-34 (신일동),Dry Scrubber 외,2025-08-18
177,29,(주)마디,대전광역시 대덕구 대덕대로 1324 (신일동),수술용봉합사,2025-08-18
178,21,(주)마중물오에스,대전광역시 대덕구 문평서로18번길 55 (문평동),음식물 처리기 기계 부품 외,2025-08-18
179,25,(주)마하하이테크,대전광역시 대덕구 신일서로18번길 38-42(신일동),"소프트웨어, 기술자문",2025-08-18
180,62,(주)메디네트,"대전광역시 대덕구 대화로 120, 4층 405호(대화동, 가온비즈타워) 4층 405호 외 1필지","환자용 에이프런, 좌훈치마, 치매장갑",2025-08-18
181,14,(주)메디칼유,"대전광역시 대덕구 대화로 120, 6층 601호(대화동, 가온비즈타워) 6층 601호 외 2필지",방산부품,2025-08-18
182,25,(주)명성공업,대전광역시 대덕구 문평동로48번길 46 (문평동),호환절삭공구,2025-08-18
183,25,(주)명성정밀,대전광역시 대덕구 문평동로 41-22 (문평동),체육복,2025-08-18
184,14,(주)명신,대전광역시 대덕구 오정동 149-5번지,재생용 파지,2025-08-18
185,38,(주)명신환경산업,대전광역시 대덕구 대화로32번길 193 (대화동) 외 1필지,아니록스롤,2025-08-18
186,29,(주)명일,대전광역시 대덕구 방두말3길 38 (평촌동),반도체설비부품,2025-08-18
187,25,(주)명테크,"대전광역시 대덕구 상서당1길 52-7, 상서동 (상서동)",모노필라멘트,2025-08-18
188,20,(주)모노테크,"대전광역시 대덕구 신일서로 45, B (신일동)",엔진오일,2025-08-18
189,19,(주)모리스오일,대전광역시 대덕구 신탄진로 651 (평촌동),염색사,2025-08-18
190,13,(주)목련,대전광역시 대덕구 신일서로68번길 11 (신일동),타올,2025-08-18
191,13,(주)무한타올,"대전광역시 대덕구 대화로106번길 120 (대화동, (주)무한타올)",자급식 호흡기,2025-08-18
192,27,(주)미래뷰,"대전광역시 대덕구 신일동로 105, 3층 306호(신일동, 벤쳐타운장영실관) 3층 306호",경보기,2025-08-18
193,28,(주)미성테크,"대전광역시 대덕구 대화로106번길 66, 4층 431호(대화동, 펜타플렉스) 4층 431호",자동화 기계 및 제어장치,2025-08-18
194,28,(주)바구스,"대전광역시 대덕구 대화로 120, 5층 533호(대화동, 가온비즈타워) 5층 533호",안경렌즈,2025-08-18
195,27,(주)바모스비젼,대전광역시 대덕구 신일서로18번길 100 (신일동),합성유전자,2025-08-18
196,21,(주)바이오니아,"대전광역시 대덕구 문평서로 8-11 (문평동, (주)바이오니아)","실리콘 접착제, 의학 및 약학 연구",2025-08-18
197,20,(주)바이오니아,대전광역시 대덕구 문평서로 8-26(문평동),오일캡슐,2025-08-18
198,20,(주)바이오제닉스,"대전광역시 대덕구 신일서로85번길 53, A동 (신일동)",크레인,2025-08-18
199,29,(주)반도호이스트,대전광역시 대덕구 대덕대로1417번길 36 (문평동),"자동문,반자동문,난간대",2025-08-18
200,25,(주)범진산업,대전광역시 대덕구 오정로 77 (오정동),"연구목적용 특수장비 , 기타 가공장비",2025-08-18
201,29,(주)베스트,대전광역시 대덕구 신일서로18번길 2 (신일동),LCD세정제,2025-08-18
202,20,(주)벡스,대전광역시 대덕구 신일동로 71 (신일동),LCD세정제,2025-08-18
203,20,(주)벡스,대전광역시 대덕구 신일동로 71 (신일동),"철재문,난간대",2025-08-18
204,25,(주)보한,대전광역시 대덕구 한남로150번길 87 (오정동),수처리 설비 외,2025-08-18
205,29,(주)부강테크,"대전광역시 대덕구 신일서로125번길 78, 2동 1층 (신일동)",레미콘,2025-08-18
206,23,(주)부국레미콘대전,대전광역시 대덕구 대화로119번길 5 (대화동) 외 3필지,주철제 보일러,2025-08-18
207,25,(주)부국보일러,대전광역시 대덕구 신일동로 105 (신일동) 벤쳐타운장영실관 405호,"동제련,정련 및 합금 제조업",2025-08-18
208,24,(주)부림비철금속,대전광역시 대덕구 평촌3길 10 (평촌동),자동차 종합정비,2025-08-18
209,95,(주)북대전현대서비스,대전광역시 대덕구 대전로 1324(읍내동) 외 2필지,전원공급장치,2025-08-18
210,28,(주)뷰파워,"대전광역시 대덕구 대화로106번길 66, 2층 230호(대화동, 펜타플렉스) 2층 230호",사격용 모의 총기,2025-08-18
211,25,(주)블루스퀘어,대전광역시 대덕구 문평서로18번길 15(문평동),"컴퓨터 시스템, 전산시스템 관리 및 유지보수",2025-08-18
