순번,업체명,업종,주생산품,용지면적,제조시설,부대시설,남,여
246,한국경영컨설팅연구소1,콜센터 및 텔레마케팅 서비스업 (75991),"서비스(건강식품, 텔레마케이팅)",29.35,96.41,96.11,0,0
247,한국경영컨설팅연구소2,콜센터 및 텔레마케팅 서비스업 (75991),"서비스(건강식품, 텔레마케이팅)",27.36,89.88,89.61,0,0
248,한신엔지니어링(주),기타 공학 연구개발업 (70129),"원자력 연료봉검사장비, 방사선 계측장비 등 개발 및 설계",37.55,123.35,122.97,0,0
249,한온소프트,응용 소프트웨어 개발 및 공급업 (58222),소프트웨어 개발,70.85,229.68,228.74,1,1
250,허전컨설팅,기타 공학 연구개발업 (70129),"원자력, 핵관련 연구개발보고서, 용역보고서",43.64,143.37,142.93,1,0
251,화인종합상사,"전자기 측정, 시험 및 분석기구 제조업 (27212)","시험측정기, 챔버",46.87,153.99,153.52,0,0
252,효윤컨설팅,경영 컨설팅업 (71531),"경영자문, 노사관리 서비스",43.89,144.2,143.76,0,0
253,휴거스,떡류 제조업 (10711),찹쌀떡,1800,33,60,0,0
254,(주)수만,"전자기 측정, 시험 및 분석기구 제조업 (27212)",실험설비,1653.2,1196.01,365.97,25,2
255,(주)엠유니크,반도체 제조용 기계 제조업 (29271),반도체기기,1984.1,1155.54,340.92,5,0
256,(주)이편한자동화기술,교통 신호장치 제조업 (28903),산업용 안전장치,222.4,52.6,169.8,4,1
257,(주)테크노블루,그 외 기타 전자부품 제조업 (26299),"전지,전자 및 정밀기기 전자회로, 기판, 부속품",6129.5,6986.4,1746.99,11,2
258,(주)테크노블루,그 외 기타 전자부품 제조업 (26299),"전기. 전자 및 정밀기기 전자회로, 기판, 부속품",6129.5,6986.4,1746.99,11,2
259,(주)포벨,기타 무선 통신장비 제조업 (26429),광통신용 모듈,742,253,489,16,26
260,(주)휴랩제2공장,"기타 목재가구 제조업 외 2종 (32029, 32091, 32099)","실험대, 이동서랍장, 이동캐비넷",200,200,0,6,0
261,동오시스템,주형 및 금형 제조업 (29294),금속가공,264.29,264.29,0,1,0
262,이엘플러스(주),그 외 기타 분류 안된 화학제품 제조업 (20499),기능성 탈취제,1875.9,743.28,1468.68,1,2
263,(주)건영식품,"기타 곡물 가공품 제조업 외 1종 (10619, 10712)","핫도그, 빵류",1652.9,1294.31,477.73,15,14
264,(주)셀포인트,전기ㆍ전자공학 연구개발업 (70121),자동차용 반도체 및 회로,381,0,381,2,1
265,(주)에스지에너지,그 외 기타 전기장비 제조업 (28909),태양광모듈,3312.5,1144.85,803.13,8,10
266,(주)엠씨에이,그 외 기타 분류 안된 비금속 광물제품 제조업 (23999),촉촉이 모래,1505.1,1168.66,67.16,3,5
267,(주)유니플라텍,"기타 인쇄업 외 4종 (18119, 20499, 25929, 28512, 28902)","난방필름, 항균필름",301.15,92.33,129.95,1,1
268,(주)이노아이오티,"기타 전기 변환장치 제조업 외 1종 (28119, 70121)",무접점 전원공급장치,264,264,88,2,0
269,(주)이룸에스앤디,기타 건축용 나무제품 제조업 (16229),화장실칸막이(큐비클),1355.4,1027.04,39.13,2,2
270,(주)재연,그 외 기타 특수목적용 기계 제조업 (29299),"가스공급시스템, 수소차량 부품용 시험 장비",917.7,490,81.39,4,1
271,(주)제이원아이비,핵반응기 및 증기보일러 제조업 (25130),보일러,495,447,48,15,3
272,(주)테그웨이,그 외 기타 전자부품 제조업 (26299),유연열전소자,6820.4,4000,1317.18,13,3
273,닥터하스킨(주),화장품 제조업 (20423),화장품,2314.3,1000,3717.26,5,4
274,디저트이야기(주),빵류 제조업 (10712),쿠키 및 달고나,264.08,164.91,30,0,10
